County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
RedRiverParish,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435,1.30071435
RichlandParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
SabineParish,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168
StBernardParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StCharlesParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StHelenaParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StJamesParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StJohntheBaptistParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StLandryParish,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752,1.28082752
StMartinParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
StMaryParish,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999,1.4796958199999999
StTammanyParish,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595,1.330544595
TangipahoaParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
TensasParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
TerrebonneParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
UnionParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
VermilionParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
VernonParish,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265,1.49958265
WashingtonParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
WebsterParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
WestBatonRougeParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
WestCarrollParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
WestFelicianaParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
WinnParish,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443,1.172870443
AcadiaParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
AllenParish,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998,1.1515631249999998
AscensionParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
AssumptionParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
AvoyellesParish,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529,1.513787529
BeauregardParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
BienvilleParish,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119
BossierParish,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168
