Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Cincinnati,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Mansfield,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Mansfield,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Mansfield,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Mansfield,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkersburg,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkersburg,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkersburg,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkersburg,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeling,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeling,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeling,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeling,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
