"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.321369487625106,0.678630512374894,5,6
2,0.473499644401482,0.526500355598518,3,5
3,0.358643441359276,0.641356558640724,14,12
4,0.330140264787446,0.669859735212554,4,8
5,0.0763722238391646,0.923627776160835,0,6
6,0.192501294148437,0.807498705851563,1,3
7,0.112043246120397,0.887956753879602,7,16
8,0.0189302848865985,0.981069715113402,2,15
9,0,1,0,10
10,0.511086890555729,0.488913109444271,1,0
11,0.532061763030145,0.467938236969855,4,2
12,0.819930335210797,0.180069664789204,43,7
13,1,0,18,0
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,1,3
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,2,1
18,0.621822248871706,0.378177751128294,16,6
19,0.458896381705954,0.541103618294046,4,2
20,0.153884141884506,0.846115858115494,1,4
21,0.48565728180227,0.51434271819773,1,1
22,0.634547071721447,0.365452928278553,7,1
23,0.220262195048898,0.779737804951102,1,1
24,0.143309869173441,0.856690130826559,1,2
25,0.240872701447485,0.759127298552515,11,23
26,0.400830373434404,0.599169626565596,22,13
27,0,1,0,11
28,0.13006920545436,0.86993079454564,2,4
29,0.499509853805331,0.500490146194669,3,0
30,0.122154702334916,0.877845297665084,4,1
31,0.814137000169948,0.185862999830052,58,9
32,0.111509729259209,0.888490270740792,6,3
33,0.724962755258548,0.275037244741452,47,10
34,0.0718497815226677,0.928150218477332,9,28
35,0.267488635666556,0.732511364333444,2,1
36,0.770621215581867,0.229378784418133,28,4
37,0.0687078468861626,0.931292153113837,0,6
38,0.301345390186715,0.698654609813286,0,0
39,0.439692517539921,0.560307482460079,8,3
40,0.45356672685518,0.54643327314482,121,62
41,0.707278975603522,0.292721024396478,52,9
43,0.00593593581748605,0.994064064182514,1,25
99,0.859647241917913,0.140352758082088,10,1
