Value,Area,Fwy,Art,Other
BusVmt,BristolBristol,,,
TruckVmt,BristolBristol,,,
BusVmt,Charlottesville,,,
TruckVmt,Charlottesville,,,
BusVmt,Harrisonburg,,,
TruckVmt,Harrisonburg,,,
BusVmt,Kingsport,,,
TruckVmt,Kingsport,,,
BusVmt,Richmond,,,
TruckVmt,Richmond,,,
BusVmt,Roanoke,,,
TruckVmt,Roanoke,,,
BusVmt,VirginiaBeach,,,
TruckVmt,VirginiaBeach,,,
BusVmt,Washington,,,
TruckVmt,Washington,,,
BusVmt,Winchester,,,
TruckVmt,Winchester,,,
