County,Region,Msa
Nortoncity,,NA
Petersburgcity,,Richmond
Poquosoncity,,VirginiaBeach
AppomattoxCounty,,NA
Portsmouthcity,,VirginiaBeach
Radfordcity,,Roanoke
Richmondcity,,Richmond
Roanokecity,,Roanoke
Salemcity,,Roanoke
Stauntoncity,,NA
ClarkeCounty,,NA
Suffolkcity,,VirginiaBeach
VirginiaBeachcity,,VirginiaBeach
Waynesborocity,,NA
Williamsburgcity,,VirginiaBeach
Winchestercity,,Winchester
Manassascity,,Washington
Alexandriacity,,Washington
AccomackCounty,,NA
AlbemarleCounty,,Charlottesville
AlleghanyCounty,,NA
AmeliaCounty,,NA
Bristolcity,,BristolBristol
AmherstCounty,,Roanoke
Emporiacity,,NA
ArlingtonCounty,,Washington
AugustaCounty,,NA
BathCounty,,NA
BuenaVistacity,,NA
BedfordCounty,,Roanoke
BlandCounty,,NA
BotetourtCounty,,Roanoke
BrunswickCounty,,NA
BuchananCounty,,NA
Charlottesvillecity,,Charlottesville
BuckinghamCounty,,NA
CampbellCounty,,Roanoke
CarolineCounty,,NA
CarrollCounty,,NA
CharlesCityCounty,,NA
CharlotteCounty,,NA
Chesapeakecity,,VirginiaBeach
ManassasParkcity,,Washington
ChesterfieldCounty,,Richmond
Bedfordcity,,NA
CraigCounty,,NA
CulpeperCounty,,NA
CumberlandCounty,,NA
DickensonCounty,,NA
DinwiddieCounty,,Richmond
EssexCounty,,NA
ColonialHeightscity,,Richmond
FairfaxCounty,,Washington
FauquierCounty,,Washington
FloydCounty,,NA
FluvannaCounty,,NA
FranklinCounty,,NA
Covingtoncity,,NA
FrederickCounty,,Winchester
GilesCounty,,NA
GloucesterCounty,,VirginiaBeach
GoochlandCounty,,Richmond
GraysonCounty,,NA
Danvillecity,,NA
GreeneCounty,,NA
GreensvilleCounty,,NA
HalifaxCounty,,NA
HanoverCounty,,Richmond
HenricoCounty,,Richmond
Fairfaxcity,,Washington
HenryCounty,,NA
HighlandCounty,,NA
IsleofWightCounty,,VirginiaBeach
JamesCityCounty,,VirginiaBeach
KingandQueenCounty,,NA
FallsChurchcity,,Washington
KingGeorgeCounty,,NA
KingWilliamCounty,,NA
LancasterCounty,,NA
LeeCounty,,NA
LoudounCounty,,Washington
Franklincity,,NA
LouisaCounty,,NA
LunenburgCounty,,NA
MadisonCounty,,NA
MathewsCounty,,NA
MecklenburgCounty,,NA
Fredericksburgcity,,Washington
MiddlesexCounty,,NA
MontgomeryCounty,,Roanoke
NelsonCounty,,NA
NewKentCounty,,NA
Galaxcity,,NA
NorthamptonCounty,,NA
NorthumberlandCounty,,NA
NottowayCounty,,NA
OrangeCounty,,NA
Hamptoncity,,VirginiaBeach
PageCounty,,NA
PatrickCounty,,NA
PittsylvaniaCounty,,NA
PowhatanCounty,,Richmond
PrinceEdwardCounty,,NA
Harrisonburgcity,,Harrisonburg
PrinceGeorgeCounty,,Richmond
PrinceWilliamCounty,,Washington
PulaskiCounty,,Roanoke
RappahannockCounty,,NA
Hopewellcity,,Richmond
RichmondCounty,,NA
RoanokeCounty,,Roanoke
RockbridgeCounty,,NA
RockinghamCounty,,Harrisonburg
Lexingtoncity,,NA
RussellCounty,,NA
Lynchburgcity,,Roanoke
ScottCounty,,Kingsport
ShenandoahCounty,,NA
SmythCounty,,NA
SouthamptonCounty,,NA
SpotsylvaniaCounty,,Washington
Martinsvillecity,,NA
StaffordCounty,,Washington
SurryCounty,,NA
SussexCounty,,NA
TazewellCounty,,NA
WarrenCounty,,NA
NewportNewscity,,VirginiaBeach
WashingtonCounty,,BristolBristol
WestmorelandCounty,,NA
WiseCounty,,NA
WytheCounty,,NA
Norfolkcity,,VirginiaBeach
YorkCounty,,VirginiaBeach
