Msa,DvmtFactor
Roanoke,0.90
Harrisonburg,0.75
VirginiaBeach,1.00
BristolBristol,0.75
Winchester,0.75
Richmond,1.00
Kingsport,0.70
Charlottesville,0.75
Washington,1.00
