County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BarbourCounty,2932,1196,1915,5476,2309,2761
BerkeleyCounty,21891,6658,12666,38131,12965,11858
BooneCounty,4695,1528,2443,8698,3776,3489
BraxtonCounty,2459,872,1530,4859,2257,2546
BrookeCounty,3703,1689,2490,7781,3804,4602
CabellCounty,15798,6424,15639,30577,12517,15364
CalhounCounty,1254,435,771,2540,1242,1385
ClayCounty,1827,614,913,3210,1350,1472
DoddridgeCounty,1295,630,894,2842,1212,1329
FayetteCounty,7842,2730,4954,15630,7081,7802
GilmerCounty,1038,584,1501,3357,1020,1193
GrantCounty,2100,713,1104,3994,1837,2189
GreenbrierCounty,5855,2022,3863,11418,5484,6838
HampshireCounty,4337,1552,2321,8281,3575,3898
HancockCounty,5069,1716,2800,10540,4797,5754
HardyCounty,2467,836,1438,4929,2026,2329
HarrisonCounty,12355,4375,7600,23727,9634,11408
JacksonCounty,5294,1943,3028,9898,3883,5165
JeffersonCounty,10631,3808,6363,19431,6951,6314
KanawhaCounty,32941,11261,22393,65724,28429,32315
LewisCounty,2753,1001,1683,5594,2413,2928
LincolnCounty,4008,1421,2275,7615,3116,3285
LoganCounty,6115,2173,3846,13139,5895,5575
McDowellCounty,3599,1319,2383,7652,3502,3658
MarionCounty,9253,3751,7421,18577,7875,9541
MarshallCounty,5550,2088,3316,11009,5330,5814
MasonCounty,4894,1645,2852,9408,3871,4654
MercerCounty,10565,3944,7313,19787,9442,11213
MineralCounty,4796,2180,3060,9224,4059,4893
MingoCounty,4897,1629,3015,9548,4127,3623
MonongaliaCounty,12705,9778,26871,27164,9845,9826
MonroeCounty,2328,782,1262,4409,2070,2651
MorganCounty,2922,1028,1559,6060,2756,3216
NicholasCounty,4519,1663,2630,8867,4077,4477
OhioCounty,6930,3236,5566,13921,6577,8213
PendletonCounty,1189,439,737,2429,1220,1681
PleasantsCounty,1232,505,794,2787,1059,1228
PocahontasCounty,1274,430,871,2985,1475,1684
PrestonCounty,5395,1869,4080,12041,4878,5257
PutnamCounty,10934,3361,5380,20099,7735,7977
RaleighCounty,13685,4481,9211,26949,11872,12661
RandolphCounty,4654,1838,3376,9997,4294,5246
RitchieCounty,1813,656,995,3606,1582,1797
RoaneCounty,2703,876,1409,5078,2294,2566
SummersCounty,1996,810,1346,4882,2211,2682
TaylorCounty,2929,956,1826,6001,2439,2744
TuckerCounty,1088,460,640,2327,1125,1501
TylerCounty,1560,579,768,3143,1458,1700
UpshurCounty,4100,1879,3144,7680,3407,4044
WayneCounty,7806,2818,4484,14443,5916,7014
WebsterCounty,1556,612,869,3069,1444,1604
WetzelCounty,2788,1075,1599,5448,2434,3239
WirtCounty,981,364,554,2045,879,894
WoodCounty,15573,5435,9498,29647,12085,14718
WyomingCounty,4248,1425,2389,8231,3914,3589
