County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
SeminoleCounty,1655,571,821,2785,1240,1657
SpaldingCounty,13588,4383,8228,21546,7789,8539
StephensCounty,4891,1852,3224,8276,3584,4348
StewartCounty,745,346,1151,2266,692,858
SumterCounty,6816,2868,5219,9981,3792,4143
TalbotCounty,1174,467,623,2320,1162,1119
TaliaferroCounty,263,112,185,541,264,352
TattnallCounty,4488,1526,4054,9761,2720,2971
TaylorCounty,1728,718,962,3020,1148,1330
TelfairCounty,2736,944,2225,6344,2000,2251
TerrellCounty,1901,659,1166,2930,1271,1388
ThomasCounty,9193,3104,5082,14890,5711,6740
TiftCounty,8697,3390,5591,12862,4455,5123
ToombsCounty,6360,1948,3296,8723,3154,3742
TownsCounty,1345,826,897,2671,1671,3061
TreutlenCounty,1470,445,915,2270,845,940
TroupCounty,14656,5175,8502,22494,7914,8303
TurnerCounty,1808,653,1098,2844,1126,1401
TwiggsCounty,1489,619,963,3085,1408,1459
UnionCounty,3137,1095,1693,6085,3671,5675
UpsonCounty,5188,2001,3022,9120,3570,4252
WalkerCounty,13431,4501,7590,24057,8875,10302
WaltonCounty,18653,5972,9292,30029,9730,10092
WareCounty,7094,2453,4900,11892,4442,5531
WarrenCounty,1121,402,605,1849,810,1047
WashingtonCounty,4069,1547,2676,7410,2604,2881
WayneCounty,6239,1979,3755,10658,3606,3862
WebsterCounty,591,180,283,941,384,420
WheelerCounty,1210,367,1194,2871,897,882
WhiteCounty,5097,1838,2781,8820,3854,4754
WhitfieldCounty,24538,7757,13509,34864,10486,11445
WilcoxCounty,1464,510,1370,3426,1164,1321
WilkesCounty,1915,683,1115,3390,1519,1971
WilkinsonCounty,1930,613,1091,3150,1275,1504
WorthCounty,4378,1589,2600,7089,2889,3134
