"FAFZone","AlbanyCounty","AlleganyCounty","BronxCounty","BroomeCounty","CattaraugusCounty","CayugaCounty","ChautauquaCounty","ChemungCounty","ChenangoCounty","ClintonCounty","ColumbiaCounty","CortlandCounty","DelawareCounty","DutchessCounty","ErieCounty","EssexCounty","FranklinCounty","FultonCounty","GeneseeCounty","GreeneCounty","HamiltonCounty","HerkimerCounty","JeffersonCounty","KingsCounty","LewisCounty","LivingstonCounty","MadisonCounty","MonroeCounty","MontgomeryCounty","NassauCounty","NewYorkCounty","NiagaraCounty","OneidaCounty","OnondagaCounty","OntarioCounty","OrangeCounty","OrleansCounty","OswegoCounty","OtsegoCounty","PutnamCounty","QueensCounty","RensselaerCounty","RichmondCounty","RocklandCounty","StLawrenceCounty","SaratogaCounty","SchenectadyCounty","SchoharieCounty","SchuylerCounty","SenecaCounty","SteubenCounty","SuffolkCounty","SullivanCounty","TiogaCounty","TompkinsCounty","UlsterCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestchesterCounty","WyomingCounty","YatesCounty"
"11",1087.79,947.24,985.56,986.87,906.49,1035.9,869.5,974.51,1020.28,1249.96,1073.15,1022.89,1018.04,1028.78,909.5,1203.14,1226.81,1118.17,948.38,1060.83,1153.21,1094.43,1119.74,979.285,1132.57,968.59,1065.25,980.2,1104.98,1000.59,976.605,933.96,1091.41,1048.72,999.62,988.85,963.5,1072.06,1053.67,1028.89,984.91,1097.5,972.4,993.32,1177.58,1116.91,1107.68,1084.39,985.38,1011.835,979.875,1028.26,995.39,975.11,999.06,1014.21,1149.06,1148.37,1027.54,1003.96,944.97,1001.695
"12",1319.15,1183.75,1216.9,1218.2,1143,1290.6,1106,1203.15,1251.65,1481.3,1304.5,1254.25,1249.4,1260.15,1146,1434.5,1467.6,1349.5,1184.9,1292.2,1390.1,1328.2,1360.55,1210.65,1372.4,1205.1,1301.55,1216.7,1336.3,1231.95,1207.95,1170.45,1331.7,1288.55,1236.15,1220.2,1200,1324.7,1285,1260.25,1216.25,1328.85,1203.75,1224.65,1418.4,1348.25,1339.05,1315.75,1216.15,1262.05,1217.95,1259.6,1226.75,1206.45,1226.3,1245.55,1380.4,1379.7,1264.05,1235.3,1181.5,1239.75
"19",1141.34727272727,999.880000000001,1039.11090909091,1040.43090909091,960.901818181818,1088.17272727273,923.918181818182,1021.89636363636,1073.84,1299.14545454545,1126.70545454545,1075.78363636363,1071.59090909091,1082.34,963.925454545455,1252.32363636364,1274.45636363636,1167.51454545455,1002.80363636364,1114.38,1200.85090909091,1142.07272727273,1167.38181818182,1032.83,1180.21454545455,1022.22545454546,1113.34181818182,1034.63272727273,1154.09090909091,1054.14727272727,1030.15454545454,988.370909090909,1139.04545454545,1096.36909090909,1050.94,1042.4,1017.92363636364,1118.50363636364,1107.22909090909,1082.44909090909,1038.46363636364,1151.05636363636,1025.94727272727,1046.86363636364,1225.21090909091,1170.01636363636,1160.78363636364,1137.93636363636,1033.00909090909,1059.26181818182,1026.31090909091,1081.80181818181,1048.94909090909,1029.1,1046.32363636364,1067.76545454545,1202.20363636364,1201.92545454545,1075.53272727272,1057.49818181818,999.381818181818,1048.14090909091
"20",1404.34827586207,1243.94482758621,1393.68620689655,1335.51724137931,1217.23793103448,1305.87586206897,1193.01034482759,1296.26551724138,1357.41034482759,1465.48965517241,1431.01724137931,1332.51379310345,1377.59655172414,1411.20344827586,1219.22413793103,1434.80689655172,1429.7275862069,1388.38620689655,1244.69310344828,1413.75862068965,1391.78275862069,1361.42068965517,1359.57931034483,1395.79137931034,1370.48965517241,1257.93103448276,1335.66896551724,1265.54137931034,1378.81034482759,1409.11379310345,1391.15689655172,1235.23448275862,1342.36896551724,1315.6724137931,1278.26896551724,1385.03448275862,1254.60344827586,1321.25517241379,1379.27931034483,1414.30689655172,1400.46551724138,1415.46896551724,1392.46896551724,1395.48620689655,1397.46206896552,1401.66206896552,1395.21379310345,1393.68620689655,1297.82413793103,1295.23793103448,1273.84827586207,1427.22068965517,1379.36551724138,1323.94137931034,1316.09310344828,1401.64482758621,1424.2724137931,1429.98965517241,1296.55517241379,1402.45172413793,1242.44827586207,1288.14482758621
"41",2517.85,2273.05,2459.35,2412.85,2232.25,2367.55,2195.3,2352.9,2446.25,2611.15,2550.55,2408.25,2477.05,2506.25,2235.35,2564.35,2556.65,2493.5,2274.15,2538.25,2498.65,2452.35,2449.55,2453.1,2466.2,2294.35,2413.05,2306,2478.85,2474.45,2450.4,2259.75,2423.25,2382.55,2325.45,2466.25,2289.35,2391.05,2479.65,2510.95,2458.75,2534.85,2446.25,2467.15,2507.35,2513.75,2503.95,2501.6,2355.25,2351.35,2318.65,2502.05,2457.65,2395.15,2383.15,2491.65,2548.25,2557,2353.35,2477.75,2270.75,2340.5
"42",2502.025,2257.2,2443.55,2396.95,2216.45,2351.725,2179.45,2337.05,2430.35,2595.35,2534.75,2392.35,2461.175,2490.35,2219.45,2548.5,2540.75,2477.65,2258.35,2522.4,2482.85,2436.5,2433.675,2437.25,2450.35,2278.55,2397.2,2290.15,2463.05,2458.575,2434.6,2243.9,2407.425,2366.65,2309.55,2450.45,2273.45,2375.2,2463.75,2495.125,2442.9,2518.975,2430.375,2451.3,2491.5,2497.925,2488.05,2485.75,2339.45,2335.45,2302.85,2486.25,2441.8,2379.3,2367.35,2475.8,2532.45,2541.15,2337.5,2461.95,2254.9,2324.65
"49",2467.28636363636,2222.44090909091,2408.79545454545,2362.22272727273,2181.68636363637,2316.98636363637,2144.70454545455,2302.29545454545,2395.62272727272,2560.59545454546,2499.99545454545,2357.63181818182,2426.43181818182,2455.62272727272,2184.72272727273,2513.76818181818,2506.01818181818,2442.91818181818,2223.59545454546,2487.66818181819,2448.09545454546,2401.76818181818,2398.93181818182,2402.51818181818,2415.59545454546,2243.79545454545,2362.44090909091,2255.41818181818,2428.29545454545,2423.84090909091,2399.84090909091,2209.15909090909,2372.68636363637,2331.93181818182,2274.82272727272,2415.68636363637,2238.72272727273,2340.46818181819,2429.01818181818,2460.36818181818,2408.14090909091,2484.23181818182,2395.64090909091,2416.54090909091,2456.76818181818,2463.18636363637,2453.32272727272,2451.00454545455,2304.68636363637,2300.73181818182,2268.09545454546,2451.49090909091,2407.04090909091,2344.54090909091,2332.56818181818,2441.04090909091,2497.68636363637,2506.41818181818,2302.74090909091,2427.18636363637,2220.16818181819,2289.91818181818
"50",1343.67533333333,1098.848,1271.71733333333,1255.972,1058.086,1193.37266666667,1021.11066666666,1178.71066666667,1289.37733333334,1436.98466666667,1362.53,1234.026,1301.05466666667,1318.172,1061.12,1390.16333333333,1382.41466666666,1319.31333333333,1099.98733333333,1350.21266666667,1324.48466666667,1278.156,1275.34266666667,1265.43333333333,1292.00333333333,1120.19866666666,1238.848,1131.816,1304.69866666666,1286.754,1262.752,1085.55666666667,1249.074,1208.324,1151.22666666667,1278.23133333333,1115.12,1216.85466666666,1322.76666666667,1319.64066666667,1271.06333333333,1371.30133333334,1258.556,1279.46133333334,1333.16333333333,1339.574,1329.72666666667,1349.872,1181.08733333333,1177.128,1144.48466666667,1314.406,1280.00133333333,1220.94666666666,1208.97266666667,1303.59333333334,1374.08733333333,1382.81333333333,1179.14666666667,1290.106,1096.56733333333,1166.31466666666
"61",2819.46,2574.66,2794.74,2714.4,2533.88,2669.16,2496.9,2654.5,2747.84,2912.76,2858.58,2709.84,2778.66,2825.52,2536.9,2865.96,2858.2,2795.14,2575.76,2835.38,2800.26,2753.96,2751.16,2781.27,2767.8,2596,2714.66,2607.64,2780.5,2802.61,2778.58,2561.36,2724.86,2684.14,2627.04,2785.56,2590.9,2692.66,2781.2,2830.24,2786.92,2836.46,2774.4,2798.52,2808.96,2815.36,2805.54,2803.2,2656.88,2652.94,2620.26,2830.23,2776.94,2696.76,2684.76,2810.94,2849.88,2858.64,2654.96,2809.12,2572.36,2642.14
"62",2826.91428571429,2582.1,2810.67142857143,2721.88571428571,2541.35714285714,2676.64285714286,2504.37142857143,2661.97142857143,2755.28571428571,2920.24285714286,2867.65714285714,2717.28571428571,2786.1,2837.38571428571,2544.38571428571,2873.41428571429,2865.68571428571,2802.58571428571,2583.24285714286,2841.71428571429,2807.74285714286,2761.4,2758.6,2813.85714285714,2775.25714285714,2603.45714285714,2722.1,2615.08571428571,2787.95714285714,2834.2,2806.8,2568.8,2732.34285714286,2691.58571428571,2634.48571428571,2797.45714285714,2598.38571428571,2700.1,2788.68571428571,2842.14285714286,2821,2843.9,2808.78571428571,2813.4,2816.41428571429,2822.84285714286,2812.98571428571,2810.67142857143,2664.35714285714,2660.38571428571,2627.74285714286,2861.85714285714,2788.78571428571,2704.2,2692.21428571429,2822.8,2857.35714285714,2866.08571428571,2662.4,2824.04285714286,2579.8,2649.58571428571
