County,Region,Msa
SchuylerCounty,,NA
SenecaCounty,,NA
SteubenCounty,,Elmira
SuffolkCounty,,NewYorkNewark
SullivanCounty,,NA
TiogaCounty,,Binghamton
TompkinsCounty,,Ithaca
UlsterCounty,,NewYorkNewark
WarrenCounty,,AlbanySchenectady
WashingtonCounty,,AlbanySchenectady
WayneCounty,,Rochester
WestchesterCounty,,NewYorkNewark
WyomingCounty,,NA
YatesCounty,,NA
AlbanyCounty,,AlbanySchenectady
AlleganyCounty,,NA
BronxCounty,,NewYorkNewark
BroomeCounty,,Binghamton
CattaraugusCounty,,NA
CayugaCounty,,NA
ChautauquaCounty,,NA
ChemungCounty,,Elmira
ChenangoCounty,,NA
ClintonCounty,,NA
ColumbiaCounty,,NA
CortlandCounty,,NA
DelawareCounty,,NA
DutchessCounty,,NewYorkNewark
ErieCounty,,Buffalo
EssexCounty,,NA
FranklinCounty,,NA
FultonCounty,,NA
GeneseeCounty,,NA
GreeneCounty,,NewYorkNewark
HamiltonCounty,,NA
HerkimerCounty,,Utica
JeffersonCounty,,NA
KingsCounty,,NewYorkNewark
LewisCounty,,NA
LivingstonCounty,,NA
MadisonCounty,,Syracuse
MonroeCounty,,Rochester
MontgomeryCounty,,NA
NassauCounty,,NewYorkNewark
NewYorkCounty,,NewYorkNewark
NiagaraCounty,,Buffalo
OneidaCounty,,Utica
OnondagaCounty,,Syracuse
OntarioCounty,,Rochester
OrangeCounty,,NewYorkNewark
OrleansCounty,,NA
OswegoCounty,,Syracuse
OtsegoCounty,,NA
PutnamCounty,,NewYorkNewark
QueensCounty,,NewYorkNewark
RensselaerCounty,,AlbanySchenectady
RichmondCounty,,NewYorkNewark
RocklandCounty,,NewYorkNewark
StLawrenceCounty,,NA
SaratogaCounty,,AlbanySchenectady
SchenectadyCounty,,AlbanySchenectady
SchoharieCounty,,NA
