"County","Density"
"AlbanyCounty",73.6
"AlleganyCounty",37.6
"BronxCounty",15.9
"BroomeCounty",81.8
"CattaraugusCounty",38.5
"CayugaCounty",66
"ChautauquaCounty",57.9
"ChemungCounty",57.9
"ChenangoCounty",47.3
"ClintonCounty",52.1
"ColumbiaCounty",74.2
"CortlandCounty",44.8
"DelawareCounty",26.2
"DutchessCounty",121.8
"ErieCounty",121
"EssexCounty",16.5
"FranklinCounty",20
"FultonCounty",58.1
"GeneseeCounty",74.8
"GreeneCounty",56.4
"HamiltonCounty",2.8
"HerkimerCounty",24
"JeffersonCounty",45.6
"KingsCounty",5.8
"LewisCounty",18.5
"LivingstonCounty",58.5
"MadisonCounty",67.9
"MonroeCounty",132.4
"MontgomeryCounty",53.1
"NassauCounty",99.4
"NewYorkCounty",NA
"NiagaraCounty",113.3
"OneidaCounty",69
"OnondagaCounty",99.8
"OntarioCounty",84.8
"OrangeCounty",132.8
"OrleansCounty",68.2
"OswegoCounty",81.7
"OtsegoCounty",44.3
"PutnamCounty",136.7
"QueensCounty",0
"RensselaerCounty",83.4
"RichmondCounty",NA
"RocklandCounty",41.3
"StLawrenceCounty",26.1
"SaratogaCounty",93.2
"SchenectadyCounty",87.6
"SchoharieCounty",43.9
"SchuylerCounty",45.7
"SenecaCounty",65.6
"SteubenCounty",43.6
"SuffolkCounty",121.4
"SullivanCounty",60.3
"TiogaCounty",66.3
"TompkinsCounty",98.7
"UlsterCounty",80.7
"WarrenCounty",26.6
"WashingtonCounty",52.3
"WayneCounty",99.5
"WestchesterCounty",199.9
"WyomingCounty",46.1
"YatesCounty",54
