Value,Area,Fwy,Art,Other
BusVmt,AlbanySchenectady,,,
TruckVmt,AlbanySchenectady,,,
BusVmt,Binghamton,,,
TruckVmt,Binghamton,,,
BusVmt,Buffalo,,,
TruckVmt,Buffalo,,,
BusVmt,Elmira,,,
TruckVmt,Elmira,,,
BusVmt,Ithaca,,,
TruckVmt,Ithaca,,,
BusVmt,NewYorkNewark,,,
TruckVmt,NewYorkNewark,,,
BusVmt,Rochester,,,
TruckVmt,Rochester,,,
BusVmt,Syracuse,,,
TruckVmt,Syracuse,,,
BusVmt,Utica,,,
TruckVmt,Utica,,,
