"County","AlbanyCounty","AlleganyCounty","BronxCounty","BroomeCounty","CattaraugusCounty","CayugaCounty","ChautauquaCounty","ChemungCounty","ChenangoCounty","ClintonCounty","ColumbiaCounty","CortlandCounty","DelawareCounty","DutchessCounty","ErieCounty","EssexCounty","FranklinCounty","FultonCounty","GeneseeCounty","GreeneCounty","HamiltonCounty","HerkimerCounty","JeffersonCounty","KingsCounty","LewisCounty","LivingstonCounty","MadisonCounty","MonroeCounty","MontgomeryCounty","NassauCounty","NewYorkCounty","NiagaraCounty","OneidaCounty","OnondagaCounty","OntarioCounty","OrangeCounty","OrleansCounty","OswegoCounty","OtsegoCounty","PutnamCounty","QueensCounty","RensselaerCounty","RichmondCounty","RocklandCounty","StLawrenceCounty","SaratogaCounty","SchenectadyCounty","SchoharieCounty","SchuylerCounty","SenecaCounty","SteubenCounty","SuffolkCounty","SullivanCounty","TiogaCounty","TompkinsCounty","UlsterCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestchesterCounty","WyomingCounty","YatesCounty"
"NiagaraCounty",293.8,93.1,396.6,218,73.1,143.5,83.4,157.4,230.1,387.1,334.5,184.2,265.9,376.3,25,340.3,332.5,269.4,50.1,307.6,274.6,228.2,225.4,399.8,242.1,82.7,188.9,65.5,254.8,420.1,392.7,17.4,199.2,158.4,101.3,341,38.8,150.7,250.8,377,406.9,310.7,394.7,376.5,283.3,289.7,279.8,277.5,152.7,127.2,123.2,447.8,302.6,186.7,165.4,333.6,324.2,332.9,112.6,387.2,61,126.9
"OneidaCounty",100.8,186.4,254.4,115.4,236.6,74.6,246.9,131.4,63.5,193.4,141.5,81.6,98.4,183.3,188.5,146.6,163.3,76.4,153.3,114.7,80.9,32.3,84.2,260.6,47.6,155.6,38.8,128.5,61.8,277.9,258.9,199.2,18.2,47.7,110.6,189.6,166,53.9,57.8,211.3,264.8,117.7,265.5,226.9,120.7,96.7,86.8,84.5,126.4,95.9,145.1,305.6,151.2,121.6,98.4,164.8,116.5,139.9,100.3,237.5,170.8,113.8
"OnondagaCounty",142.3,145.6,255.4,72.3,195.8,28.2,206.2,88.3,73.7,235.6,183,38.5,120.2,216.2,147.7,188.8,181.9,118,112.5,141.4,123.1,76.8,74.8,258.5,91.4,114.8,32.5,87.8,103.3,278.9,251.4,158.4,47.7,14.6,69.9,199.7,125.3,38.9,88.9,235.7,265.7,159.3,253.5,235.3,132.6,138.2,128.4,111.3,85.6,55.2,104.3,306.5,161.4,78.4,55.2,192.4,172.7,181.5,58.8,245.9,130,73.1
"OntarioCounty",205.2,83.3,289.9,106.8,113,40.3,149.1,70.5,120,298.5,245.9,81.1,154.7,250.7,90.6,251.7,244,180.9,49,219.1,186,139.7,136.9,293,153.6,44,100.4,30.7,166.3,313.4,285.9,101.3,110.6,69.9,13.2,234.2,68.2,86,162.3,270.2,300.2,222.2,288,269.8,194.7,201.1,191.3,189,49.6,27.4,61.8,341,195.9,86.2,64.8,226.9,235.6,244.4,40.7,280.4,59.2,26.1
"OrangeCounty",106.9,271.7,68.3,129.4,318.2,201.8,359.3,185.1,152.7,269,92.2,165.4,103.1,48.7,319.7,222.2,279.8,153.7,293.4,79.9,200.8,187.9,271.8,74.5,246.6,264.5,180.4,274.6,147.5,91.8,72.7,341,189.6,199.7,234.2,14.9,312.1,235.9,151.7,45.5,78.6,116.6,79.4,40.7,303.5,136,120.4,115.1,193.3,209.6,227.5,119.5,39.7,154.7,179.1,53.2,168.1,167.5,243.6,51.4,287.9,222.8
"OrleansCounty",260.6,91.3,368,184.9,102.6,110.3,113,129.3,197,354,301.4,151.1,232.8,343.2,54.5,307.1,274.6,236.3,22,274.5,241.4,195.1,167.5,371.1,184.2,54.6,155.8,38.1,221.7,391.5,364.1,38.8,166,125.3,68.2,312.4,14.7,115.2,217.7,348.3,378.3,277.6,366.1,347.9,225.3,256.5,246.7,244.4,119.6,94.1,95.1,419.1,274,153.6,132.2,305,291.1,299.8,77.1,358.5,45.7,93.8
"OswegoCounty",154.1,161.7,291.5,108.4,204.4,49.5,214.7,124.4,105.3,205.8,194.8,74.6,154,236.6,156.3,195,159.8,129.7,121.1,168,129.3,85.6,52.7,294.7,69.4,122.2,64.1,85.9,115.1,315,287.6,150.7,53.9,38.9,86,235.9,115.2,18.6,111.1,271.9,301.9,171,289.6,271.5,110.6,150,140.1,137.8,97,65.8,120.5,342.7,197.5,114.6,91.4,218.1,164.9,193.2,54.5,282.1,137.4,89.2
"OtsegoCounty",93,214.8,214.8,67.8,261.3,106.5,302.4,128.2,49.1,240.1,106.6,78.5,42.7,136.8,240.1,193.3,204.8,75.9,204.9,81.6,110.9,45.2,141.5,221,98.6,207.7,61.4,180.2,62.4,238.4,219.3,250.8,57.8,88.9,162.3,151.7,217.7,111.1,16.4,167.9,225.2,110,226,187.3,172.5,102.9,82.6,59.3,124.8,147.6,170.6,266,113.4,97.8,102.1,111.4,139.2,155.3,152,197.9,222.4,165.5
"PutnamCounty",112.3,307.6,54.2,165.4,354.2,237.8,395.2,221.1,188.7,274.5,77.4,201.4,137.1,35,355.7,227.7,285.3,159.1,329.4,85.4,206.3,193.4,307.7,69.1,252,300.5,198.2,310.6,152.9,74.8,58.6,377,211.3,235.7,270.2,45.5,348.1,271.9,167.9,8.1,62.7,116.5,78.3,40.8,308.9,141.4,125.8,120.6,229.3,245.6,263.5,102.4,75.6,190.6,215.1,75.8,173.6,154.7,279.5,31.4,323.9,258.7
"QueensCounty",165.8,337.6,12.1,195.4,384.2,267.8,425.2,251,226.1,328,131.6,231.4,176.6,89.2,385.7,281.1,338.7,212.6,359.4,138.8,259.8,246.9,337.7,9.7,305.5,330.5,253.9,340.6,206.4,16.6,11.6,406.9,264.8,265.7,300.2,78.6,378.1,301.9,225.2,62.7,6.9,165.2,28.2,42.1,362.4,194.9,179.3,174,259.3,275.5,293.5,49.2,113.1,220.6,245,121,227.1,208.9,309.5,33.8,353.8,288.7
"RensselaerCounty",21.8,296.2,165.2,149.2,342.8,186.1,358.5,209.6,134.5,168.4,42.6,169.9,121.3,88.6,300,121.5,179.1,65.6,264.9,52,112.8,99.9,201.4,171.3,158.5,267.2,124.8,240.1,59.4,177.3,169.6,310.7,117.7,159.3,222.2,116.6,277.6,171,110,116.5,165.2,13.3,176.3,137.6,202.8,35.3,28.3,63.5,206.3,207.5,252.1,204.9,118.3,179.2,183.5,75.5,67.4,59.8,211.9,130.9,282.3,225.4
"RichmondCounty",166.6,325.4,30.8,183.2,372,255.6,413,238.8,216.6,328.8,151.9,219.2,177.3,111.6,373.5,281.9,339.5,213.4,347.1,139.6,260.5,247.7,325.5,15.6,306.3,318.3,254.7,328.4,207.2,43.9,23.3,394.7,265.5,253.5,288,79.4,365.9,289.6,226,79.1,28.2,176.3,5.2,50.4,363.2,195.7,180.1,174.8,247.1,263.3,281.3,71.6,113.9,208.4,232.8,121.8,227.9,227.2,297.3,48.3,341.6,276.5
"RocklandCounty",127.9,307.2,31.8,165,353.8,237.4,394.8,220.6,188.2,290.1,113.3,201,138.6,55.9,355.3,243.2,300.8,174.7,329,100.9,221.9,209,307.3,46.7,267.6,300.1,216,310.2,168.5,55.3,36.2,376.5,226.9,235.3,269.8,40.7,347.7,271.5,187.3,40.8,42.1,137.6,50.4,7.3,324.5,157,141.4,136.1,228.9,245.1,263.1,83,75.2,190.2,214.6,83.1,189.2,188.5,279.1,14.9,323.4,258.3
"StLawrenceCounty",198.4,270.4,352,202.1,320.7,158.7,331,218.1,178.9,96,233.1,168.3,213.1,281,272.6,108.5,50,165.7,237.4,229.4,117.9,130.1,64,358.2,75.8,239.7,157.7,212.6,176.5,375.6,356.5,283.3,120.7,132.6,194.7,303.5,225.3,110.6,172.5,308.9,362.4,202.8,363.2,324.5,27.3,172.1,201.5,199.2,210.5,180,229.2,403.2,291.2,208.2,185.1,262.4,135.6,194.4,164.6,335.1,254.9,197.9
