Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Asheville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Asheville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Asheville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Asheville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldsboro,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldsboro,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldsboro,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldsboro,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
RockyMount,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
RockyMount,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
RockyMount,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
RockyMount,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
