"County","Metropolitan","Town","Rural"
"HawaiiCounty",0,0.6201,0.3799
"HonoluluCounty",0.9611,0.0303,0.0086
"KalawaoCounty",0,0,1
"KauaiCounty",0,0.8714,0.1286
"MauiCounty",0.3613,0.4931,0.1457
