Msa,Fwy,Art
AlbanySchenectady,0,0
Binghamton,0,0
Buffalo,0,0
Elmira,0,0
Ithaca,0,0
NewYorkNewark,0,0
Rochester,0,0
Syracuse,0,0
Utica,0,0
