Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AlbanySchenectady,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
AlbanySchenectady,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
AlbanySchenectady,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
AlbanySchenectady,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Binghamton,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Ithaca,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
NewYorkNewark,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
NewYorkNewark,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
NewYorkNewark,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
NewYorkNewark,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Utica,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Utica,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Utica,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Utica,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
