Year,AutoRange,AutoPropEv,AutoMpkwh,LtTruckRange,LtTruckPropEv,LtTruckMpkwh
1975,0,0,3,0,0,2
1976,0,0,3,0,0,2
1977,0,0,3,0,0,2
1978,0,0,3,0,0,2
1979,0,0,3,0,0,2
1980,0,0,3,0,0,2
1981,0,0,3,0,0,2
1982,0,0,3,0,0,2
1983,0,0,3,0,0,2
1984,0,0,3,0,0,2
1985,0,0,3,0,0,2
1986,0,0,3,0,0,2
1987,0,0,3,0,0,2
1988,0,0,3,0,0,2
1989,0,0,3,0,0,2
1990,0,0,3,0,0,2
1991,0,0,3,0,0,2
1992,0,0,3,0,0,2
1993,0,0,3,0,0,2
1994,0,0,3,0,0,2
1995,0,0,3,0,0,2
1996,0,0,3,0,0,2
1997,0,0,3,0,0,2
1998,0,0,3,0,0,2
1999,0,0,3,0,0,2
2000,0,0,3,0,0,2
2001,0,0,3,0,0,2
2002,0,0,3,0,0,2
2003,0,0,3,0,0,2
2004,0,0,3,0,0,2
2005,0,0,3,0,0,2
2006,0,0,3,0,0,2
2007,0,0,3,0,0,2
2008,0,0,3,0,0,2
2009,0,0,3,0,0,2
2010,50,0.01,3,25,0.01,2
2011,50,0.02,3,25,0.02,2
2012,50,0.03,3,25,0.03,2
2013,50,0.04,3,25,0.04,2
2014,50,0.05,3,25,0.05,2
2015,75,0.06,3,50,0.06,2
2016,75,0.07,3,50,0.07,2
2017,75,0.08,3,50,0.08,2
2018,75,0.09,3,50,0.09,2
2019,75,0.1,3,50,0.1,2
2020,100,0.11,3,75,0.11,2
2021,100,0.12,3,75,0.12,2
2022,100,0.13,3,75,0.13,2
2023,100,0.14,3,75,0.14,2
2024,100,0.15,3,75,0.15,2
2025,125,0.16,3,100,0.16,2
2026,125,0.17,3.5,100,0.17,2
2027,125,0.18,3.5,100,0.18,2
2028,125,0.19,3.5,100,0.19,2
2029,125,0.2,3.5,100,0.2,2
2030,150,0.21,3.5,125,0.21,2
2031,150,0.22,3.5,125,0.22,2
2032,150,0.23,3.5,125,0.23,2
2033,150,0.24,3.5,125,0.24,2
2034,150,0.25,3.5,125,0.25,2
2035,175,0.26,3.5,150,0.26,2
2036,175,0.27,3.5,150,0.27,2
2037,175,0.28,3.5,150,0.28,2
2038,175,0.29,3.5,150,0.29,2
2039,175,0.3,3.5,150,0.3,2
2040,200,0.31,3.5,175,0.31,2
2041,200,0.31,3.5,175,0.31,2
2042,200,0.31,3.5,175,0.31,2
2043,200,0.31,3.5,175,0.31,2
2044,200,0.31,3.5,175,0.31,2
2045,200,0.31,3.5,175,0.31,2
2046,200,0.31,3.5,175,0.31,2
2047,200,0.31,3.5,175,0.31,2
2048,200,0.31,3.5,175,0.31,2
2049,200,0.31,3.5,175,0.31,2
2050,200,0.31,3.5,175,0.31,2
