"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AlconaCounty",49,1,5,89,213,21,272,2,15,31,3,42,0,51,67,313,74,92,70,129
"AlgerCounty",43,2,6,139,496,26,165,27,39,121,18,36,10,39,178,285,130,241,37,617
"AlleganCounty",1237,36,47,1992,10622,1736,3207,1508,261,395,158,681,80,1535,2969,2730,1150,2074,1057,1212
"AlpenaCounty",56,121,57,489,1110,429,1749,233,270,834,117,295,23,319,802,2696,79,737,454,994
"AntrimCounty",185,1,6,266,904,85,341,23,106,106,93,213,2,45,289,225,16,820,214,345
"ArenacCounty",65,9,6,127,760,85,551,112,15,72,3,118,1,280,296,854,2,567,108,149
"BaragaCounty",89,5,16,91,499,33,175,6,44,56,42,33,0,548,226,432,8,541,50,769
"BarryCounty",298,4,52,391,3240,255,1020,96,187,584,57,249,100,453,1118,1645,89,935,408,554
"BayCounty",145,19,134,1113,3642,1373,4842,611,592,934,365,2046,72,1177,4817,4838,288,3689,1385,1596
"BenzieCounty",66,4,14,267,362,63,500,18,14,151,29,98,3,74,288,466,22,798,104,243
"BerrienCounty",580,67,1227,1778,14896,2001,5816,841,590,1861,460,1498,159,3538,4874,7552,645,8200,1829,2284
"BranchCounty",185,4,66,362,2397,692,1491,1291,185,524,42,150,5,641,177,1773,64,1377,294,912
"CalhounCounty",241,47,127,1537,10811,2033,4977,1689,449,895,284,2509,525,2973,3762,10459,408,5537,1697,1830
"CassCounty",240,19,91,327,2058,503,743,147,56,228,32,268,5,353,1338,1015,56,903,470,434
"CharlevoixCounty",11,17,139,496,2430,143,567,55,56,181,152,197,9,200,774,1631,192,1565,257,506
"CheboyganCounty",43,9,10,561,258,41,870,59,61,163,48,245,0,99,514,782,61,887,227,328
"ChippewaCounty",28,27,103,338,486,291,1451,213,144,311,77,312,5,191,1164,1713,712,1015,261,3457
"ClareCounty",61,2,57,247,718,172,805,112,30,165,23,203,4,296,1171,903,74,553,169,307
"ClintonCounty",653,60,13,1292,2496,1058,2269,667,223,1068,395,671,1717,629,1461,1576,320,1090,628,1111
"CrawfordCounty",1,17,18,182,412,109,398,55,24,83,25,99,1,59,209,694,16,478,112,444
"DeltaCounty",184,4,58,671,2055,380,1899,566,135,467,88,506,60,558,1104,1869,62,1196,871,661
"DickinsonCounty",116,10,108,1857,2538,539,1877,422,97,303,83,367,95,474,629,2778,98,920,432,398
"EatonCounty",67,37,36,1187,3440,1317,5672,4225,301,4547,357,1418,41,2658,2784,3468,168,3862,1370,2654
"EmmetCounty",31,5,57,1027,1271,287,1979,187,216,338,180,661,13,1951,816,3744,999,2472,627,601
"GeneseeCounty",654,61,62,3883,12496,6163,19946,3587,4223,4711,1410,4979,224,9627,13564,20903,1320,12084,4157,3659
"GladwinCounty",124,8,6,293,542,45,665,34,41,83,119,58,4,93,354,527,51,348,299,333
"GogebicCounty",104,6,23,167,750,110,780,66,76,131,43,114,2,56,490,902,229,795,152,636
"GrandTraverseCounty",285,260,196,2199,4284,1038,6117,686,868,2159,461,2183,60,1064,3942,10244,416,5630,1387,1729
"GratiotCounty",521,6,153,236,1793,608,996,216,74,337,61,241,86,798,1280,2361,34,665,244,1707
"HillsdaleCounty",437,1,4,322,3831,310,1260,210,250,262,121,308,7,820,1318,1602,42,686,472,302
"HoughtonCounty",74,24,58,724,708,167,1667,32,83,346,88,552,1,237,2043,2425,115,1110,306,710
"HuronCounty",689,16,47,510,1894,407,1214,376,134,481,28,234,141,1305,846,1557,79,791,340,608
"InghamCounty",430,248,669,3557,13156,3356,12328,3070,2704,5697,2295,7419,772,8571,23454,58799,1373,10665,6258,18479
"IoniaCounty",938,1,96,510,3353,282,1807,155,93,785,49,219,23,7377,1706,1116,83,948,394,2033
"IoscoCounty",50,15,12,222,1082,111,742,220,83,214,22,118,1,626,465,1007,21,1087,213,611
"IronCounty",76,48,18,148,408,65,489,46,55,138,26,146,111,136,157,834,101,259,227,231
"IsabellaCounty",158,427,21,1819,2731,447,2771,925,257,838,302,524,143,658,1102,2876,439,6327,597,965
"JacksonCounty",159,85,3447,1473,8478,1844,6750,1068,528,1327,512,1889,652,5073,3903,8982,389,4380,2214,3528
"KalamazooCounty",1846,47,221,3901,18034,6369,11672,2076,1045,5983,1895,4123,257,7377,12836,19176,1275,10821,3937,2609
"KalkaskaCounty",65,466,11,230,329,125,328,97,46,19,86,65,4,430,347,637,9,246,115,250
"KentCounty",1588,108,941,13530,61995,21533,32698,9696,4566,15240,3782,16542,8450,43456,24056,57495,3453,26331,12903,6878
"KeweenawCounty",11,3,0,38,4,3,25,5,0,8,1,4,0,3,10,2,8,66,6,20
"LakeCounty",37,0,0,35,95,31,148,9,3,58,16,18,3,30,72,350,7,121,38,255
"LapeerCounty",227,37,28,854,5120,383,2715,289,173,379,164,517,17,1347,832,2630,87,1712,517,1102
"LeelanauCounty",206,78,8,554,439,312,485,28,160,180,102,247,33,162,479,555,230,1501,150,911
