"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AcadiaParish",196,380,118,1536,1349,480,2256,551,150,451,281,422,258,352,1466,2520,179,1089,298,702
"AllenParish",71,3,53,84,599,87,554,45,40,107,26,159,2,295,732,949,2135,350,109,1162
"AscensionParish",108,77,225,6208,6688,2074,5761,1675,424,694,868,1032,242,1991,256,3488,628,3654,1298,730
"AssumptionParish",284,58,40,347,624,41,570,217,33,99,23,80,0,32,758,859,36,97,50,235
"AvoyellesParish",227,17,94,669,250,223,1367,92,75,450,81,319,42,154,1169,2305,1198,573,199,1221
"BeauregardParish",355,19,61,604,1111,113,1046,122,55,582,61,244,146,478,1440,1134,10,662,224,393
"BienvilleParish",153,152,36,130,1154,72,288,410,20,122,48,12,0,74,415,533,6,184,39,157
"BossierParish",71,1365,302,2524,2426,2072,6865,1129,693,985,617,1092,358,2427,1166,4272,2037,8030,1104,1731
"CaddoParish",203,2306,1248,5366,6864,5586,14242,3120,2053,3120,1942,4154,1221,8511,2462,28152,3229,10784,3161,3925
"CalcasieuParish",137,428,645,10809,7777,2507,9769,2539,1120,1708,1101,3796,808,3865,6913,11695,1735,10216,1875,4013
"CaldwellParish",62,32,26,66,59,23,335,15,39,156,20,87,6,73,369,580,20,128,47,167
"CameronParish",84,189,37,2686,235,327,175,300,35,11,31,46,13,69,292,56,87,24,45,229
"CatahoulaParish",70,46,90,136,75,101,350,11,9,119,15,139,10,14,1,392,0,109,67,286
"ClaiborneParish",52,399,76,262,225,89,278,154,13,86,32,70,36,46,416,842,19,155,59,487
"ConcordiaParish",134,195,91,183,122,292,824,559,25,166,61,125,86,182,678,1069,24,276,124,531
"DeSotoParish",111,948,159,603,778,87,775,295,45,181,33,86,7,206,1095,652,39,313,104,320
"EastBatonRougeParish",73,590,1378,34673,13048,10125,29494,6285,7110,9512,3429,18362,5576,16399,23404,41823,4412,22438,7604,19798
"EastCarrollParish",189,1,10,47,118,157,175,11,15,39,30,23,0,8,267,365,2,56,14,271
"EastFelicianaParish",43,44,18,120,295,62,272,109,27,135,16,40,0,47,339,1752,5,176,94,718
"EvangelineParish",91,23,155,260,901,143,995,273,91,318,118,102,19,342,811,2713,34,273,57,396
"FranklinParish",135,23,58,285,259,139,770,91,19,160,47,125,38,46,688,1052,15,338,55,250
"GrantParish",47,13,48,251,294,192,285,32,19,69,3,13,1,76,448,330,300,29,49,213
"IberiaParish",386,4000,233,2503,5420,1146,3551,1503,191,774,1626,1062,107,1500,2085,3847,219,1823,883,872
"IbervilleParish",207,376,116,1817,3959,254,1027,923,93,280,204,162,24,770,906,910,58,554,83,1692
"JacksonParish",111,86,28,183,481,26,425,97,50,105,24,44,18,60,372,612,52,154,84,301
