County,Metropolitan,Town
BeaverCounty,1,1
BoxElderCounty,1,1
CacheCounty,1,1
CarbonCounty,1,1
DaggettCounty,1,1
DavisCounty,1,1
DuchesneCounty,1,1
EmeryCounty,1,1
GarfieldCounty,1,1
GrandCounty,1,1
IronCounty,1,1
JuabCounty,1,1
KaneCounty,1,1
MillardCounty,1,1
MorganCounty,1,1
PiuteCounty,1,1
RichCounty,1,1
SaltLakeCounty,1,1
SanJuanCounty,1,1
SanpeteCounty,1,1
SevierCounty,1,1
SummitCounty,1,1
TooeleCounty,1,1
UintahCounty,1,1
UtahCounty,1,1
WasatchCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WeberCounty,1,1
