"SCTG","Payload","N"
1,12.2468285097997,1
2,13.9906102244086,5
3,5.97159131631259,39
4,11.2798150119434,5
5,15.3568767024241,2
6,4.86778101451742,12
7,12.4588802662229,43
8,6.79044821527048,14
9,12.5303662811142,0
10,12.7559630168912,1
11,14.7601763932821,9
12,16.3828858455449,96
13,14.57148120894,7
14,19.7343283246373,2
15,21.9759244651015,0
16,14.0428921341034,1
17,25.752,10
18,10.366871072635,37
19,9.3205966594687,5
20,14.6935220971178,1
21,5.12434471305138,1
22,9.93234871988097,1
23,12.2174191704086,2
24,9.66549316294252,3
25,17.5629107877451,5
26,5.9969180291615,32
27,16.5382555630002,1
28,13.1552492378572,3
29,5.51350467372506,2
30,10.307661585523,2
31,14.6115577573953,59
32,8.8172126213737,16
33,3.35223014557648,51
34,17.4687029838104,36
35,6.91185118160956,2
36,4.29042882547987,27
37,17.1134794135312,5
38,4.51852664992441,1
39,3.87388679369581,19
40,5.86844476027992,211
41,12.3480550067468,79
43,11.9720455770447,19
99,10.8934974922361,7
