"FAFZone","FairfieldCounty","HartfordCounty","LitchfieldCounty","MiddlesexCounty","NewHavenCounty","NewLondonCounty","TollandCounty","WindhamCounty"
"411",2999.69444444444,3043.11666666666,3017.76111111112,3046.31666666666,3024.55555555555,3066.57222222222,3061.53888888889,3082.66111111112
"419",2904.67777777778,2948.1,2922.74074074074,2951.28148148148,2929.52962962963,2971.55925925926,2966.51851851852,2987.64814814815
"421",169.583333333333,229.383333333333,209.866666666667,222.5,195.3,239,245.783333333333,266.9
"422",424.811111111111,470.8,445.422222222222,472.277777777778,449.288888888889,494,489.288888888889,510.388888888889
"423",146.52,194.98,169.6,195.64,171.7,217.24,213.44,234.58
"429",291.191489361702,337.895744680852,312.929787234043,339.41914893617,316.274468085106,361.558510638298,356.31914893617,377.410638297872
"441",130.74,82.8,119.8,82.88,106.74,57.78,66.29,48.36
"451",811.6,871.6,853.3,864.5,837.3,881.033333333333,887.8,908.9
"452",809.58,867.03,841.68,862.48,835.27,879,885.75,906.9
"459",779.660606060606,840.169696969697,819.824242424242,832.569696969697,805.366666666667,849.078787878788,855.851515151515,876.972727272727
"460",1590.21439393939,1633.63333333334,1608.27424242425,1636.82121212122,1615.0590909091,1657.08181818181,1652.05454545454,1673.17045454545
"471",1141.16666666667,1198.6,1173.26666666667,1194.06666666667,1166.86666666667,1210.56666666667,1217.36666666667,1238.46666666667
"472",962.129411764706,1020.01176470588,994.676470588235,1015.02941176471,987.829411764706,1031.52941176471,1038.31764705882,1059.42941176471
"473",778.915384615385,836.369230769231,811.007692307692,831.815384615385,804.615384615385,848.323076923077,855.1,876.215384615385
"479",935.057258064516,993.247580645161,967.889516129032,987.954032258064,960.752419354839,1004.46693548387,1011.24193548387,1032.37177419355
"481",1822.92,1880.34,1855,1875.82,1848.6,1892.32,1899.1,1920.22
"482",1599.025,1656.4875,1631.125,1651.9375,1624.725,1668.4375,1675.2125,1696.3375
"483",1924.16666666667,1981.63333333333,1956.26666666667,1977.05,1949.86666666667,1993.56666666667,2000.35,2021.46666666667
"484",1633.88421052632,1691.72105263158,1666.36315789474,1687.97894736842,1661.35263157895,1703.3,1710.41052631579,1731.53684210526
"485",2230.65,2288.1,2262.75,2283.55,2256.35,2300.05,2306.85,2327.95
"486",1716.93571428571,1774.38571428571,1749.02142857143,1769.83571428571,1742.61428571429,1786.34285714286,1793.10714285714,1814.24285714286
"487",2045.9,2103.3,2078,2098.8,2071.6,2115.3,2122.1,2143.2
"488",1903.625,1961.0875,1935.725,1956.5125,1929.325,1973.0375,1979.8125,2000.9375
"489",1805.5041025641,1863.65487179487,1838.2941025641,1861.49538461538,1836.23794871795,1874.91769230769,1882.2817948718,1903.40307692307
"491",2253.28,2296.74,2271.36,2299.92,2278.15,2320.16,2315.14,2336.26
"499",2303.33157894737,2346.75263157895,2321.38947368421,2349.93684210526,2328.18421052632,2370.20526315789,2365.17368421053,2386.30526315789
"500",261.742857142857,201.653571428572,217.675,225.985714285714,234.092857142857,244.678571428571,207.207142857143,211.357142857143
"511",416.817647058824,476.782352941176,458.517647058824,469.723529411765,442.517647058824,486.223529411765,493.011764705882,514.123529411765
"512",428.335714285715,488.285714285714,470.035714285715,481.232142857143,454.035714285715,497.746428571429,504.517857142857,525.646428571429
"513",332.820588235295,392.208823529411,372.273529411764,385.720588235294,358.532352941177,402.238235294118,409.020588235295,430.138235294118
"519",501.918023255814,560.231395348838,538.337790697675,554.818604651163,527.620930232559,571.332558139535,578.10523255814,599.228488372093
"531",2970.98888888889,3014.4,2989.06666666667,3017.58888888889,2995.86666666667,3037.87777777778,3032.85555555556,3053.96666666667
"532",2971.93333333333,3015.33333333333,2989.96666666667,3018.53333333333,2996.76666666667,3038.8,3033.73333333333,3054.86666666667
"539",2834.42222222222,2877.85555555556,2852.49259259259,2881.03333333333,2859.28148148148,2901.30740740741,2896.26666666667,2917.39259259259
"540",526.067272727273,583.021818181818,557.663636363636,578.849090909091,551.750909090909,595.672727272727,601.743636363636,622.861818181818
"551",970.225,1013.6375,988.2875,1016.8375,995.075,1037.0875,1032.0625,1053.1875
"559",1129.92265625,1173.33671875,1147.97421875,1176.52890625,1154.76484375,1196.78828125,1191.75390625,1212.87421875
"560",2003.65217391304,2047.06086956522,2021.70869565217,2050.26086956522,2028.5,2070.51739130435,2065.48695652174,2086.60869565217
