"County","Density"
"FairfieldCounty",230.5
"HartfordCounty",173.6
"LitchfieldCounty",95.2
"MiddlesexCounty",157
"NewHavenCounty",187.7
"NewLondonCounty",138.1
"TollandCounty",180.3
"WindhamCounty",126.4
