"County","FIPS","StateFIPS","CountyFIPS"
"FairfieldCounty",9001,9,1
"HartfordCounty",9003,9,3
"LitchfieldCounty",9005,9,5
"MiddlesexCounty",9007,9,7
"NewHavenCounty",9009,9,9
"NewLondonCounty",9011,9,11
"TollandCounty",9013,9,13
"WindhamCounty",9015,9,15
