"County","FairfieldCounty","HartfordCounty","LitchfieldCounty","MiddlesexCounty","NewHavenCounty","NewLondonCounty","TollandCounty","WindhamCounty"
"FairfieldCounty",14.9,69.7,53.8,64.8,34.3,81.3,88.1,109.2
"HartfordCounty",69.7,14.1,34,29.9,39.8,48.6,22.3,43.5
"LitchfieldCounty",53.8,34,15.8,53.7,34.2,86.8,59.8,80.9
"MiddlesexCounty",64.8,29.9,53.7,10.8,35.9,34.9,46.1,67.3
"NewHavenCounty",34.3,39.8,34.2,35.9,15.1,58.8,56.1,77.2
"NewLondonCounty",81.3,48.6,86.8,34.9,58.8,14.3,37.1,43.9
"TollandCounty",88.1,22.3,59.8,46.1,56.1,37.1,10.5,23.5
"WindhamCounty",109.2,43.5,80.9,67.3,77.2,43.9,23.5,11.8
