Value,Area,Fwy,Art,Other
BusVmt,NewYorkNewark,,,
TruckVmt,NewYorkNewark,,,
BusVmt,NorwichNewLondon,,,
TruckVmt,NorwichNewLondon,,,
BusVmt,Worcester,,,
TruckVmt,Worcester,,,
