"SCTG","PctEmpty","N"
1,0.404712182455824,3
2,0.409262159847782,5
3,0.308671123965226,55
4,0.40062253072999,7
5,0.227263773609242,11
6,0.225675702411336,20
7,0.196420350252886,58
8,0.194722758343657,12
9,0.220797674677544,0
10,0.345868222703136,4
11,0.412208823721309,18
12,0.455040019466838,35
13,0.382289317879428,5
14,0.330631811974,0
15,0.394477968299597,0
16,0.411406611770122,1
17,0.405256894636644,5
18,0.30780628855648,7
19,0.391911338871507,10
20,0.211996988173549,14
21,0.163003296356002,0
22,0.449816595432604,10
23,0.329297413853261,8
24,0.259173648542417,8
25,0.430737531709114,8
26,0.361628988656057,44
27,0.207833893632727,5
28,0.216947168869503,8
29,0.142965266998763,5
30,0.150707615637309,8
31,0.36283646356498,81
32,0.30987600754379,13
33,0.119736099238993,64
34,0.184017013468196,34
35,0.159588441529491,8
36,0.36223425760892,30
37,0.179037995207116,3
38,0.253528170079209,2
39,0.263425648915862,21
40,0.211990858393603,276
41,0.305146869658692,62
43,0.135550437301173,87
99,0.377666020609811,8
