"FAFZone","AlamedaCounty","AlpineCounty","AmadorCounty","ButteCounty","CalaverasCounty","ColusaCounty","ContraCostaCounty","DelNorteCounty","ElDoradoCounty","FresnoCounty","GlennCounty","HumboldtCounty","ImperialCounty","InyoCounty","KernCounty","KingsCounty","LakeCounty","LassenCounty","LosAngelesCounty","MaderaCounty","MarinCounty","MariposaCounty","MendocinoCounty","MercedCounty","ModocCounty","MonoCounty","MontereyCounty","NapaCounty","NevadaCounty","OrangeCounty","PlacerCounty","PlumasCounty","RiversideCounty","SacramentoCounty","SanBenitoCounty","SanBernardinoCounty","SanDiegoCounty","SanFranciscoCounty","SanJoaquinCounty","SanLuisObispoCounty","SanMateoCounty","SantaBarbaraCounty","SantaClaraCounty","SantaCruzCounty","ShastaCounty","SierraCounty","SiskiyouCounty","SolanoCounty","SonomaCounty","StanislausCounty","SutterCounty","TehamaCounty","TrinityCounty","TulareCounty","TuolumneCounty","VenturaCounty","YoloCounty","YubaCounty"
"11",2340.33,2351.8,2359.05,2441.25,2349.48,2423.83,2346.17,2704.895,2389.73,2192.77,2459.63,2636.02,1921.93,2122.62,2058.83,2170.44,2467.84,2437.46,2062.9,2217.21,2374.98,2274.41,2498.69,2258.72,2493.83,2218.69,2272.83,2383.84,2400.98,2059.01,2398.35,2408.23,2020.24,2354.11,2266.61,1987.85,2020.96,2363.02,2316.3,2188.67,2349.98,2166.61,2320.73,2321.5,2534.1,2396.95,2597.74,2368.43,2412.19,2280.52,2401.82,2492.52,2580.295,2144.97,2332.02,2097.4,2384.55,2416.75
"12",2311.8,2317,2330.55,2412.75,2320.95,2395.3,2317.65,2676.4,2361.25,2164.25,2431.1,2607.5,1846.5,2094.1,2030.3,2141.95,2439.35,2380.6,2027.25,2188.7,2346.45,2245.9,2470.15,2230.2,2436.95,2190.15,2244.3,2355.35,2391.7,2013.45,2366.4,2351.35,1958.55,2325.55,2238.05,1974.85,1945.55,2334.45,2287.75,2160.15,2321.45,2152.25,2292.25,2292.95,2505.55,2340.1,2579.15,2339.9,2383.65,2252,2373.3,2464,2551.8,2116.45,2303.5,2082.85,2356.05,2388.25
"19",2343.48,2354.57454545455,2362.20363636364,2444.74909090909,2352.62909090909,2426.98,2349.31272727273,2708.05181818182,2392.73090909091,2195.92181818182,2462.77818181818,2639.03636363636,1915.35272727273,2125.76545454545,2061.97818181818,2173.58727272727,2471.00909090909,2451.96909090909,2069.33454545455,2220.36,2378.12545454545,2277.56181818182,2501.83090909091,2261.86727272727,2508.34363636364,2221.83090909091,2275.98,2387.00909090909,2417.60545454545,2060.21636363636,2400.60545454545,2422.73636363636,2017.00545454545,2357.24727272727,2269.74727272727,1993.03272727273,2017.55818181818,2366.15636363636,2319.43636363636,2191.81272727273,2353.12545454545,2183.98,2323.89454545455,2324.64,2534.15818181818,2411.46545454545,2597.54909090909,2371.57818181818,2415.33090909091,2283.68,2405.09636363636,2495.78,2581.75272727272,2148.11454545455,2335.18,2114.67818181818,2387.71636363636,2419.85818181818
"20",820.551724137931,857.213793103448,814.410344827586,733.824137931035,827.751724137931,739.658620689655,802.293103448276,611.041379310345,815.779310344828,899.620689655172,722.510344827586,670.575862068966,1161.05517241379,967.593103448276,980.648275862069,923.079310344828,770.124137931034,680.103448275862,1029.75517241379,877.303448275862,816.644827586207,886.844827586207,760.144827586206,853.124137931034,642.972413793103,878.393103448276,888.948275862069,795.148275862069,782.324137931035,1053.32413793103,783.393103448276,760.855172413793,1093.94482758621,783.78275862069,871.162068965517,1064.41379310345,1105.45517241379,815.693103448276,810.622413793104,950.631034482759,832.841379310345,995.175862068965,837.196551724138,854.789655172414,682.479310344828,801.144827586207,618.927586206897,787.596551724138,822.093103448276,830.834482758621,753.062068965517,699.662068965517,711.486206896552,927.203448275862,846.624137931034,1030.84137931034,769.468965517241,755.055172413793
"41",760.15,781.55,788.6,861.1,788.55,843.65,766,1124.75,819.3,622.7,879.5,1055.85,253.35,558.65,487.7,590.3,887.7,909.05,403.7,647.15,794.85,704.35,918.55,688.65,984.35,654.75,692.65,803.7,855.5,389.85,830.15,928.25,334.95,783.65,686.45,373.5,361.45,782.85,736.15,608.5,769.85,528.65,740.6,741.35,953.95,842.85,1027.55,788.3,832.05,706.5,821.65,912.35,1000.15,574.9,760.15,459.25,804.4,836.6
"42",879.1,900.5,907.55,980.05,907.5,962.6,884.95,1243.65,938.2,741.65,998.4,1174.8,341.85,677.6,606.6,709.2,1006.6,1028,522.6,766.1,913.75,823.3,1037.45,807.6,1103.3,773.65,811.6,922.6,974.4,508.8,949.1,1047.15,453.9,902.6,805.4,492.4,440.9,901.8,855.05,727.45,888.75,647.6,859.5,860.25,1072.9,961.8,1146.5,907.2,950.95,825.4,940.6,1031.3,1119.075,693.85,879.1,578.2,923.35,955.55
"49",800.063636363636,806.263636363636,824.081818181818,900.972727272727,819.718181818182,883.563636363636,805.909090909091,1164.63636363636,854.763636363636,655.990909090909,919.363636363636,1095.76363636364,346.663636363636,588.609090909091,521.536363636364,630.172727272727,927.590909090909,908.754545454545,473.954545454545,680.436363636364,834.709090909091,737.636363636364,958.427272727273,721.936363636364,975.427272727273,679.427272727273,732.563636363636,843.581818181818,888.363636363636,463.609090909091,863.063636363636,901.518181818182,417.163636363636,819.136363636364,726.345454545455,424.8,458.945454545455,822.763636363636,776.045454545455,648.409090909091,809.709090909091,590.545454545455,780.472727272727,781.236363636364,993.836363636364,854.236363636364,1067.44545454545,828.163636363636,871.927272727273,741.918181818182,861.563636363636,952.263636363636,1040.02727272727,608.163636363636,794.418181818182,521.227272727273,844.309090909091,876.481818181818
"50",1961.704,1962.71466666667,1980.26133333333,2057.22933333333,1970.852,2045.496,1967.532,2320.11266666667,2004.14933333333,1814.13733333333,2080.33866666667,2254.74666666667,1570.66866666667,1743.996,1680.204,1791.812,2089.51333333333,2026.56266666667,1689.68466666666,1838.58266666667,1996.34266666667,1895.78266666667,2120.052,1880.09733333333,2082.93066666667,1840.05333333333,1894.204,2005.22133333333,2020.79333333333,1685.25,2008.628,1997.31466666667,1653.44133333334,1975.58533333333,1887.97466666667,1609.22133333333,1681.46733333333,1984.384,1937.65733333333,1810.03333333333,1971.34133333333,1787.97466666667,1942.11333333333,1942.86266666667,2141.17866666667,1986.05066666667,2206.22266666667,1989.80666666667,2033.552,1901.90666666667,2020.94533333333,2108.616,2190.264,1766.332,1953.40666666667,1718.76533333333,2006.24133333333,2028.964
"81",1273.32083333334,1106.00416666666,1162.87916666666,1198.0375,1193.6125,1233.225,1245.44583333334,1455.2375,1137.12916666666,1158.70416666667,1233.125,1395.95416666667,1054.20833333333,1008.65,1024.7625,1136.37916666667,1277.2375,1156.8125,1032.9875,1183.13333333334,1267.3625,1240.34166666666,1334.37083333334,1223.625,1213.17916666666,1006.55833333333,1238.7625,1241.4375,1120.3375,1030.45,1141.15416666666,1127.57916666667,1033.24166666666,1178.5875,1232.53333333334,956.0875,1080.72083333333,1265.89583333333,1221.90833333334,1154.59583333333,1296.49583333334,1134.825,1282.5125,1284.58333333333,1244.19583333334,1116.2875,1286.97916666667,1223.025,1275.67083333333,1239.7,1176.1125,1245.00416666666,1299.4875,1110.90416666667,1222.41666666667,1065.63333333334,1194.65416666666,1157.5625
"89",1235.77596153847,1085.10673076923,1141.41826923077,1177.13173076923,1175.92596153846,1211.65096153846,1219.24230769231,1434.32019230769,1116.21634615384,1127.99903846154,1212.23846153846,1375.34423076923,958.297115384616,993.235576923077,994.055769230769,1105.66634615385,1255.66923076923,1135.90288461539,1001.42596153846,1152.43942307692,1243.30096153846,1200.39326923077,1314.24711538461,1186.73365384615,1192.27019230769,1005.56057692308,1208.43076923077,1219.83269230769,1099.42980769231,998.908653846153,1120.24711538461,1106.6625,989.214423076923,1156.72980769231,1200.60096153846,924.533653846153,1038.07980769231,1238.79423076923,1194.12307692308,1123.88557692308,1257.34903846153,1103.2875,1238.23557692307,1244.91442307693,1223.29711538462,1095.40096153846,1266.07596153846,1201.64230769231,1253.60865384615,1196.73365384615,1155.21634615384,1224.10673076923,1278.58365384615,1080.19134615384,1198.4375,1034.08365384615,1173.07211538462,1136.65673076923
