County,Region,Msa
ElDoradoCounty,,Sacramento
FresnoCounty,,Fresno
GlennCounty,,NA
HumboldtCounty,,NA
ImperialCounty,,Yuma
InyoCounty,,NA
KernCounty,,Bakersfield
KingsCounty,,Hanford
LakeCounty,,NA
LassenCounty,,NA
LosAngelesCounty,,LosAngelesLongBeachAnaheim
MaderaCounty,,Fresno
MarinCounty,,SanFranciscoOakland
MariposaCounty,,NA
MendocinoCounty,,NA
MercedCounty,,Modesto
ModocCounty,,NA
MonoCounty,,NA
MontereyCounty,,SanFranciscoOakland
NapaCounty,,Sacramento
NevadaCounty,,NA
OrangeCounty,,LosAngelesLongBeachAnaheim
PlacerCounty,,Sacramento
PlumasCounty,,NA
RiversideCounty,,LosAngelesLongBeachAnaheim
SacramentoCounty,,Sacramento
SanBenitoCounty,,NA
SanBernardinoCounty,,LosAngelesLongBeachAnaheim
SanDiegoCounty,,LosAngelesLongBeachAnaheim
SanFranciscoCounty,,SanFranciscoOakland
SanJoaquinCounty,,Stockton
SanLuisObispoCounty,,LosAngelesLongBeachAnaheim
SanMateoCounty,,SanFranciscoOakland
SantaBarbaraCounty,,LosAngelesLongBeachAnaheim
SantaClaraCounty,,SanFranciscoOakland
SantaCruzCounty,,SanFranciscoOakland
ShastaCounty,,Redding
SierraCounty,,Reno
SiskiyouCounty,,NA
SolanoCounty,,Sacramento
SonomaCounty,,SantaRosa
StanislausCounty,,Modesto
SutterCounty,,YubaCity
TehamaCounty,,NA
TrinityCounty,,NA
TulareCounty,,Visalia
TuolumneCounty,,NA
VenturaCounty,,LosAngelesLongBeachAnaheim
YoloCounty,,Sacramento
YubaCounty,,YubaCity
AlamedaCounty,,SanFranciscoOakland
AlpineCounty,,NA
AmadorCounty,,NA
ButteCounty,,Chico
CalaverasCounty,,NA
ColusaCounty,,NA
ContraCostaCounty,,SanFranciscoOakland
DelNorteCounty,,NA
