Value,Area,Fwy,Art,Other
BusVmt,Bakersfield,,,
TruckVmt,Bakersfield,,,
BusVmt,Chico,,,
TruckVmt,Chico,,,
BusVmt,Fresno,,,
TruckVmt,Fresno,,,
BusVmt,Hanford,,,
TruckVmt,Hanford,,,
BusVmt,LosAngelesLongBeachAnaheim,,,
TruckVmt,LosAngelesLongBeachAnaheim,,,
BusVmt,Modesto,,,
TruckVmt,Modesto,,,
BusVmt,Redding,,,
TruckVmt,Redding,,,
BusVmt,Reno,,,
TruckVmt,Reno,,,
BusVmt,Sacramento,,,
TruckVmt,Sacramento,,,
BusVmt,SanFranciscoOakland,,,
TruckVmt,SanFranciscoOakland,,,
BusVmt,SantaRosa,,,
TruckVmt,SantaRosa,,,
BusVmt,Stockton,,,
TruckVmt,Stockton,,,
BusVmt,Visalia,,,
TruckVmt,Visalia,,,
BusVmt,YubaCity,,,
TruckVmt,YubaCity,,,
BusVmt,Yuma,,,
TruckVmt,Yuma,,,
