"County","AlamedaCounty","AlpineCounty","AmadorCounty","ButteCounty","CalaverasCounty","ColusaCounty","ContraCostaCounty","DelNorteCounty","ElDoradoCounty","FresnoCounty","GlennCounty","HumboldtCounty","ImperialCounty","InyoCounty","KernCounty","KingsCounty","LakeCounty","LassenCounty","LosAngelesCounty","MaderaCounty","MarinCounty","MariposaCounty","MendocinoCounty","MercedCounty","ModocCounty","MonoCounty","MontereyCounty","NapaCounty","NevadaCounty","OrangeCounty","PlacerCounty","PlumasCounty","RiversideCounty","SacramentoCounty","SanBenitoCounty","SanBernardinoCounty","SanDiegoCounty","SanFranciscoCounty","SanJoaquinCounty","SanLuisObispoCounty","SanMateoCounty","SantaBarbaraCounty","SantaClaraCounty","SantaCruzCounty","ShastaCounty","SierraCounty","SiskiyouCounty","SolanoCounty","SonomaCounty","StanislausCounty","SutterCounty","TehamaCounty","TrinityCounty","TulareCounty","TuolumneCounty","VenturaCounty","YoloCounty","YubaCounty"
"AlamedaCounty",14.7,178.8,113.7,170.5,113.7,125,28.1,367.3,144.4,179.3,160.8,298.3,561.2,449.9,285.8,197.9,128.6,298,360.8,145.3,38.2,159.8,161.1,108.4,356.6,308.8,119,59.1,164.9,396.8,139.6,237.6,458.8,108.7,91.9,421.2,476.3,26.2,61.2,213.2,25.9,281.2,38.5,66.3,235.2,235.7,308.8,55.4,74.6,74.4,123.3,193.6,281.4,221.4,121,362.4,89.2,146
"AlpineCounty",178.8,14,66.4,178.9,61.7,180.9,164.5,487.2,64.4,251.2,216.7,419.2,582.6,275.6,369.7,279,224.9,185,454.3,217.1,208.6,146.2,282.1,180.2,260.3,139.4,274.6,182.6,111.7,490.3,108.2,144.9,480.1,113.2,230.9,426.4,527.6,201.5,117.5,342.1,197.6,418.3,192.4,219.3,291.2,111.9,364.8,164.2,216.9,146.2,156.5,249.6,337.3,293.3,89.1,456,142.4,149
"AmadorCounty",113.7,66.4,12.6,129.6,37.4,115.6,99.4,421.9,52.8,186.1,151.4,353.9,589.6,332.5,304.5,213.9,159.6,241.9,389.2,152,142.4,123.3,216.7,115.1,317.2,196.3,209.5,116.5,101.1,425.2,69.3,204.9,487.2,47,165.8,439.9,504.7,136.4,52.4,277,132.4,353.2,127.3,154.1,225.8,172,299.4,89.1,150.7,81.1,93.6,184.3,272,228.2,66.2,390.9,76.3,105.1
"ButteCounty",170.5,178.9,129.6,21.1,150,66.2,142.6,298.9,115.7,263.1,57.3,245.5,662.1,418.6,386.7,298.9,110.2,148.5,461.7,229,164.5,243.6,167.3,192.1,224.2,282.5,274.9,138.6,85.2,497.7,86.9,75.5,559.7,86.3,238.3,522.1,577.2,163.1,126.8,349.5,189.2,425.7,195.9,222.7,102.8,125.5,176.4,120.2,172.8,158.1,49.2,58.2,149,305.2,178.8,463.4,83.1,43.6
"CalaverasCounty",113.7,61.7,37.4,150,16.6,135.9,106.6,442.3,73.2,176.5,171.8,366.9,589.6,363.2,295,204.3,180,272.6,389.2,142.4,142.6,96.8,229.8,105.5,367.6,227,209.4,116.7,121.4,425.1,89.7,225.3,487.1,67.4,165.8,430.3,504.7,136.3,52.3,277,132.4,353.2,127.3,154.1,246.2,192.3,319.8,94.2,150.9,71.5,113.9,204.6,292.4,218.6,39.7,390.8,96.7,125.5
"ColusaCounty",125,180.9,115.6,66.2,135.9,17.5,97.1,307.8,117.7,245.6,37.3,242.3,644.7,434,369.3,281.5,48,189.8,444.3,211.6,119,226.1,105.1,174.7,233.1,297.9,229.4,86.2,91.7,480.3,99.4,133.3,542.3,68.8,202.2,504.7,559.8,117.5,109.4,323.5,143.7,391.5,150.4,177.2,111.7,128.3,185.3,74.7,127.3,140.7,40.5,70.2,157.9,287.8,164.8,445.9,47,50.1
"ContraCostaCounty",28.1,164.5,99.4,142.6,106.6,97.1,14.6,358.9,123.4,185.2,132.9,289.9,567,455.7,291.6,203.8,107.4,270.1,366.6,151.1,40.3,165.7,152.7,114.2,328.8,303.6,132.5,37.9,137,402.6,111.7,209.7,464.6,73.8,105.3,427,482.1,28.4,54.1,226.6,46.8,294.6,53.5,80.3,207.4,207.9,281,27.5,66.2,80.2,95.4,165.8,253.5,227.3,126.8,368.3,61.3,118.1
"DelNorteCounty",367.4,487.3,422,299,442.4,307.9,359,18,424.1,532.2,281.7,84.8,925.8,701.5,650.4,562.6,265.5,325.8,725.4,498.1,340.4,512.7,221.5,461.2,271.6,565.4,479.5,319.6,373,761.4,374.7,340.3,823.4,375.3,452.3,785.8,840.9,352.5,395.9,573.6,372.7,641.6,398.9,425.2,223.1,401.8,169.3,342.9,298.2,427.2,328.4,246.9,160,574.3,471.2,727,353.4,331.4
"ElDoradoCounty",144.4,64.4,52.8,115.7,73.2,117.7,123.4,424,21.8,216.8,153.5,356,620.3,317.5,335.2,244.6,161.7,216.2,419.9,182.7,145.3,159.1,218.8,145.8,291.4,181.4,240.2,119.4,76.7,455.9,44.9,159.2,517.9,49.9,196.5,470.6,535.4,143.9,83.1,307.7,163.1,383.9,158,184.8,227.9,126.3,301.5,101,153.6,111.8,93.3,186.4,274.1,258.9,102,421.5,79.1,85.7
"FresnoCounty",179.3,251.2,186.1,263.1,176.5,245.6,185.2,532.1,216.8,39.9,281.4,463,423.7,289.5,138.3,42.8,289.7,398.3,223.3,44.2,214,101.4,325.9,85.7,477.3,211.1,146,212.8,247.2,259.3,221.9,330.2,321.3,181.1,138.3,273.6,338.9,202,138.1,120.1,198.1,196.3,165.4,166.1,355.9,318.1,429.5,190.2,247,107.5,223.6,314.3,402.1,61.9,159,225,206.4,238.6
"GlennCounty",160.8,216.7,151.4,57.3,171.8,37.3,132.9,281.6,153.5,281.4,18.7,228.2,680.5,469.8,405.1,317.3,83.8,163.6,480.1,247.4,154.8,261.9,140.9,210.5,207,333.6,265.2,122,120.3,516,135.3,124.5,578,104.6,238,540.5,595.6,153.3,145.2,359.3,179.5,427.3,186.2,213,85.6,156.9,159.2,110.5,163.1,176.5,76.3,44,131.7,323.5,200.6,481.7,82.8,78.7
"HumboldtCounty",298.6,419.6,354.3,245.6,367.3,242.7,290.3,84.8,356.4,463.4,228.3,32.8,857.1,642.3,581.7,493.8,196.8,293.7,656.7,429.4,271.7,443.9,152.8,392.5,291.1,506.1,410.7,250.9,319.6,692.6,321.2,286.8,754.6,307.5,383.6,717,772.2,283.7,327.2,504.9,304,572.9,330.1,356.5,169.7,348.3,219.7,274.1,229.5,358.5,274.9,193.4,106.6,505.5,396.1,658.3,273.8,278
"ImperialCounty",561.2,582.6,589.6,662.1,589.6,644.7,567,925.7,620.3,423.7,680.5,856.7,34.4,359.7,288.7,391.3,688.7,710.1,204.7,448.1,595.8,505.4,719.5,489.7,785.3,455.7,493.7,604.7,656.5,190.9,631.2,729.2,136,584.6,487.4,174.5,128.7,583.8,537.1,409.5,570.8,329.6,541.6,542.3,754.9,643.8,828.5,589.3,633,507.5,622.7,713.4,801.1,375.9,561.2,260.2,605.4,637.6
"InyoCounty",449.9,275.6,332.5,418.6,363.2,434,455.7,701.5,317.5,289.5,469.8,642.2,359.7,52,168.4,280,478,403.1,229.8,313.9,484.5,371.1,535.1,355.4,478.4,148.7,382.4,435.7,340.9,254.4,361.7,373.8,257.2,366.3,376.1,203.4,304.7,472.5,425.8,298.2,459.5,310.5,430.3,431,490.5,336.9,533.3,417.3,469.9,377.3,396.7,465.6,545.7,241.7,270.8,241.3,395.4,378.1
"KernCounty",285.8,369.7,304.5,386.7,295,369.3,291.6,650.3,335.2,138.3,405.1,581.3,288.7,168.4,46.5,115.9,413.3,522,119.2,162.7,320.5,219.9,444.2,204.2,601,264.4,218.3,329.3,365.7,155.1,340.4,453.9,186.3,299.6,212.1,139.7,233.7,308.5,261.8,134.2,295.5,172.4,266.2,267,479.6,436.6,553.2,313.9,357.7,226,347.3,438,525.7,90.5,277.5,120.8,330,362.2
"KingsCounty",197.9,279,213.9,298.9,204.3,281.5,203.8,562.5,244.6,42.8,317.3,493.4,391.3,280,115.9,19.2,325.5,434.1,190.9,72,232.6,129.2,356.3,113.5,513.1,376,138.4,241.5,275,226.9,249.7,366,288.9,208.9,131.1,251.3,306.4,220.6,173.9,82,207.6,158.2,178.4,179.1,391.7,345.9,465.3,226.1,269.8,135.4,259.4,350.1,437.9,44.7,186.9,192.5,242.2,274.4
"LakeCounty",128.6,224.9,159.6,110.2,180,48,107.4,265.4,161.7,289.7,83.8,196.4,688.7,478,413.3,325.5,18.8,236.3,488.3,255.6,114.9,270.2,59.3,218.7,279.6,341.9,239.7,69.7,135.7,524.3,143.5,177.3,586.3,112.9,212.5,548.7,603.8,127,153.4,333.8,147.2,401.8,160.7,187.5,158.2,172.3,231.8,93,88.7,184.7,84.6,116.7,204.4,331.8,208.8,490,79.2,94.1
"LassenCounty",298.3,185,241.9,148.8,272.6,189.7,270.4,325.8,216.2,398.6,163.5,293.6,710.1,403.1,522.3,434.4,236.2,35.4,597.3,364.6,292.3,358.5,293.3,327.7,83.9,266.9,402.6,266.4,185,633.2,205.8,84.9,607.6,221.8,373.9,553.8,655.1,290.8,262.4,485.1,317,561.3,323.7,350.5,130.3,135.3,157.6,247.9,300.6,293.6,178.1,142.5,197.2,440.7,301.5,598.9,212.1,181.2
"LosAngelesCounty",360.8,454.3,389.2,461.7,389.2,444.3,366.6,725.3,419.9,223.3,480.1,656.3,204.7,229.8,119.2,190.9,488.3,597,35.5,247.8,395.4,305,519.1,289.3,675.9,325.8,293.3,404.3,456.1,39.8,430.8,528.8,102.3,384.2,287,105.7,119.3,383.5,336.7,204.7,370.4,130.1,341.2,341.9,554.5,527,628.1,388.9,432.6,307.1,422.3,513,600.7,175.5,360.8,58.9,405,437.2
"MaderaCounty",145.3,217.1,152,229,142.4,211.6,151.1,498,182.7,44.2,247.4,429,448.1,313.9,162.7,72,255.6,364.3,247.8,23.9,179.9,87.2,291.8,51.7,443.2,347.1,147.9,178.7,213.2,283.7,187.9,296.1,345.7,147,104.2,298,363.3,167.9,104,140,164,216.2,131.3,132,321.8,284,395.4,156.2,212.9,73.5,189.6,280.3,368,86.3,125,249.4,172.3,204.5
"MarinCounty",38.2,208.6,142.4,164.5,142.6,119,40.3,340.3,145.3,214,154.8,271.3,595.8,484.5,320.5,232.6,114.9,292,395.4,179.9,14.8,194.5,134.1,143,350.7,325.5,150.3,45.4,158.9,431.4,133.6,231.7,493.4,95.7,123.1,455.8,511,21.9,95.9,244.4,42.1,312.4,70.3,94.7,229.3,229.8,302.9,49.4,47.7,109,117.3,187.7,275.4,256.1,155.6,397.1,83.2,140
"MariposaCounty",159.8,146.2,123.3,243.6,96.8,226.1,165.7,512.6,159.1,101.4,261.9,443.5,505.4,371.1,219.9,129.2,270.2,358.5,305,87.2,194.5,19.7,306.4,66.2,457.8,114.8,183.3,193.3,227.7,340.9,202.4,310.7,402.9,161.6,139.7,355.2,420.5,182.5,118.6,206.6,178.6,282.8,166.8,167.5,336.4,298.6,410,170.7,227.5,88,204.1,294.8,382.6,143.5,77.7,306.6,186.9,219.1
"MendocinoCounty",161.1,282.1,216.7,167.3,229.8,105.1,152.7,221.4,218.8,325.9,140.9,152.4,719.5,535.1,444.2,356.3,59.3,293.4,519.1,291.8,134.1,306.4,32,254.9,336.8,399,273.2,113.3,192.9,555.1,200.6,234.5,617.1,170,246.1,579.5,634.7,146.2,189.6,367.4,166.4,435.3,192.6,219,215.4,229.5,289,136.6,91.9,220.9,141.7,173.8,243.2,368,258.6,520.8,136.3,151.2
"MercedCounty",108.4,180.2,115.1,192.1,105.5,174.7,114.2,461.1,145.8,85.7,210.5,392.1,489.7,355.4,204.2,113.5,218.7,327.4,289.3,51.7,143,66.2,254.9,22.8,406.3,310.2,127.5,141.8,176.3,325.2,151,259.2,387.2,110.1,83.8,339.5,404.8,131.1,67.1,184.6,127.1,260.8,110.9,111.6,284.9,247.1,358.5,119.3,176,36.6,152.7,243.4,331.1,127.8,88.1,290.9,135.4,167.6
"ModocCounty",356.6,260.3,317.2,224.2,367.6,233.1,328.8,271.6,291.4,477.3,207,291.1,785.3,478.4,601,513.1,279.6,83.9,675.9,443.2,350.7,457.8,336.8,406.3,33.4,342.2,461,317.8,260.2,711.9,281,159.6,682.9,300.5,433.9,629.1,791.5,349.2,341,555.2,375.4,623.2,382,408.9,121.5,210.6,148.8,306.3,359,372.3,253.6,172.1,194.6,519.4,396.4,677.6,278.6,256.6
"MonoCounty",308.8,139.4,196.3,282.5,227,297.9,303.6,565.4,181.4,211.1,333.6,506,455.7,148.7,264.4,376,341.9,266.9,325.8,347.1,325.5,114.8,399,310.2,342.2,28.8,404.5,299.6,204.8,350.5,225.6,237.7,353.3,230.1,360.9,299.5,400.8,324,247.4,394.2,327.5,406.6,322.4,349.2,354.3,200.7,397.1,281.1,333.8,276.1,260.5,329.4,409.6,337.7,134.7,337.4,259.3,242
"MontereyCounty",119,274.6,209.5,274.9,209.4,229.4,132.5,479.4,240.2,146,265.2,410.3,493.7,382.4,218.3,138.4,239.7,402.4,293.3,147.9,150.3,183.3,273.2,127.5,461,404.5,31.6,170.2,269.3,329.3,243.9,342,391.3,204.5,64.3,353.7,408.8,137.3,157,111.1,117,179.1,87.8,59.7,339.6,340.1,413.2,159.8,186.7,137.8,227.6,298,385.8,174.6,191.5,254.3,193.6,250.4
"NapaCounty",59.1,182.6,116.5,138.6,116.7,86.2,37.9,319.5,119.4,212.8,122,250.5,604.7,435.7,329.3,241.5,69.7,266.1,404.3,178.7,45.4,193.3,113.3,141.8,317.8,299.6,170.2,14.4,133,440.3,107.7,205.7,502.3,69.8,143,464.7,519.8,57.5,76.5,264.3,77.7,332.3,91.2,118,196.4,203.9,270,23.5,47.8,107.8,91.4,154.9,242.6,254.9,145.5,406,57.3,114.1
"NevadaCounty",164.9,111.7,101.1,85.2,121.4,91.7,137,372.9,76.7,247.2,120.3,319.5,656.5,340.9,365.7,275,135.7,185,456.1,213.2,158.9,227.7,192.9,176.3,260.2,204.8,269.3,133,16.1,492,32.7,115.7,554,70.1,232.7,501.1,571.6,157.4,113.6,343.9,183.6,420.1,190.3,217.1,176.9,82.8,250.5,114.6,167.2,142.3,63.3,132.2,223,289.4,150.3,457.7,86.2,44.8
"OrangeCounty",396.8,490.3,425.2,497.7,425.1,480.3,402.6,761.3,455.9,259.3,516,692.2,190.9,254.4,155.1,226.9,524.3,632.9,39.8,283.7,431.4,340.9,555.1,325.2,711.9,350.5,329.3,440.3,492,15.8,466.7,564.8,88.4,420.2,323,103.2,86.1,419.4,372.7,238.3,406.4,163.7,377.2,377.9,590.5,562.9,664.1,424.9,468.6,343,458.2,548.9,636.7,211.5,396.8,96.3,441,473.2
"PlacerCounty",139.6,108.2,69.3,86.9,89.7,99.4,111.7,374.6,44.9,221.9,135.3,337.7,631.2,361.7,340.4,249.7,143.5,205.8,430.8,187.9,133.6,202.4,200.6,151,281,225.6,243.9,107.7,32.7,466.7,19.9,136.5,528.7,44.8,207.4,475.8,546.3,132.1,88.2,318.6,158.3,394.8,165,191.8,178.5,103.6,252.1,89.3,141.9,116.9,57.8,133.8,224.7,264,118.5,432.4,60.9,48.3
"PlumasCounty",237.6,144.9,204.9,75.5,225.3,133.3,209.7,340.2,159.2,330.2,124.5,286.7,729.2,373.8,453.9,366,177.3,84.9,528.8,296.1,231.7,310.7,234.5,259.2,159.6,237.7,342,205.7,115.7,564.8,136.5,26.3,626.8,153.4,305.5,524.6,644.4,230.2,193.9,416.6,256.4,492.8,263,289.9,144.1,54.3,217.7,187.3,240,225.2,116.3,111.9,190.3,372.3,254.1,530.5,150.2,110.7
"RiversideCounty",458.8,480.1,487.2,559.7,487.1,542.3,464.6,823.3,517.9,321.3,578,754.2,136,257.2,186.3,288.9,586.3,607.6,102.3,345.7,493.4,402.9,617.1,387.2,682.9,353.3,391.3,502.3,554,88.4,528.7,626.8,44,482.2,385,105.9,84.7,481.4,434.7,307.1,468.4,227.2,439.2,439.9,652.5,541.4,726.1,486.9,530.6,405,520.2,610.9,698.7,273.5,458.8,157.8,503,535.2
"SacramentoCounty",108.7,113.2,47,86.3,67.4,68.8,73.8,375.2,49.9,181.1,104.6,307.1,584.6,366.3,299.6,208.9,112.9,221.5,384.2,147,95.7,161.6,170,110.1,300.5,230.1,204.5,69.8,70.1,420.2,44.8,153.4,482.2,16.2,160.9,434.9,499.8,94.2,47.4,272.1,127.5,348.3,122.3,149.2,179.1,141,252.7,51.3,104,76.1,46.8,137.5,225.3,223.2,96.2,385.9,29.6,61.8
"SanBenitoCounty",91.9,230.9,165.8,238.3,165.8,202.2,105.3,452.2,196.5,138.3,238,383.2,487.4,376.1,212.1,131.1,212.5,373.6,287,104.2,123.1,139.7,246.1,83.8,433.9,360.9,64.3,143,232.7,323,207.4,305.5,385,160.9,19.2,347.4,402.6,110.2,113.4,122.6,89.8,190.6,60.6,50.5,312.5,303.6,386.1,132.6,159.6,94.1,198.9,270.9,358.6,184,147.8,265.7,166.4,213.8
"SanBernardinoCounty",421.2,426.4,439.9,522.1,430.3,504.7,427,785.7,470.6,273.6,540.5,716.7,174.5,203.4,139.7,251.3,548.7,553.8,105.7,298,455.8,355.2,579.5,339.5,629.1,299.5,353.7,464.7,501.1,103.2,475.8,524.6,105.9,434.9,347.4,73,153.4,443.8,397.1,269.5,430.8,211.6,401.6,402.3,614.9,487.6,688.5,449.3,493,361.4,482.6,573.3,661.1,225.8,412.9,142.4,465.4,497.6
"SanDiegoCounty",476.3,527.6,504.7,577.2,504.7,559.8,482.1,840.8,535.4,338.9,595.6,771.8,128.7,304.7,233.7,306.4,603.8,655.1,119.3,363.3,511,420.5,634.7,404.8,791.5,400.8,408.8,519.8,571.6,86.1,546.3,644.4,84.7,499.8,402.6,153.4,34.6,499,452.3,317.9,486,243.3,456.7,457.5,670.1,642.5,743.7,504.4,548.2,422.6,537.8,628.5,716.2,291,476.3,175.9,520.5,552.7
"SanFranciscoCounty",26.2,201.5,136.4,163.1,136.3,117.5,28.4,352.4,143.9,202,153.3,283.3,583.8,472.5,308.5,220.6,127,290.5,383.5,167.9,21.9,182.5,146.2,131.1,349.2,324,137.3,57.5,157.4,419.4,132.1,230.2,481.4,94.2,110.2,443.8,499,7.8,83.9,231.5,24.6,299.5,52.7,77.1,227.8,228.3,301.4,47.9,59.7,97,115.8,186.2,274,244.1,143.6,374.6,81.8,138.6
"SanJoaquinCounty",61.2,117.3,52.2,127.6,52.1,110.2,54.1,396.6,82.9,138.1,146,327.6,537.1,425.8,261.8,173.9,154.2,262.9,336.7,104,95.9,118.6,190.5,67.1,341.9,247.2,157,77.3,113.3,372.7,88,194.8,434.7,47.2,113.4,397.1,452.3,83.9,19.4,224.6,80,300.8,74.8,101.7,220.5,184.2,294.1,54.8,111.6,33.1,88.2,178.9,266.6,180.2,77.5,338.4,70.9,103.1
"SanLuisObispoCounty",213.2,342.1,277,349.5,277,323.5,226.6,573.5,307.7,120.1,359.3,504.5,409.5,298.2,134.2,82,333.8,484.8,204.7,140,244.4,206.6,367.4,184.6,555.2,394.2,111.1,264.3,343.9,238.3,318.6,416.6,307.1,272.1,122.6,269.5,317.9,231.5,224.6,30.9,211.1,77,181.9,158.7,433.8,414.8,507.4,253.9,280.9,194.9,310.1,392.2,479.9,122.1,248.6,152.2,287.7,325
"SanMateoCounty",25.9,197.6,132.4,189.2,132.4,143.7,46.8,372.6,163.1,198.1,179.5,303.6,570.8,459.5,295.5,207.6,147.2,316.7,370.4,164,42.1,178.6,166.4,127.1,375.4,327.5,117,77.7,183.6,406.4,158.3,256.4,468.4,127.5,89.8,430.8,486,24.6,80,211.1,14,279.1,32.4,56.8,254,254.5,327.6,74.1,79.9,93.1,142,212.4,300.1,240.2,139.7,354.3,107.9,164.7
"SantaBarbaraCounty",281.2,418.3,353.2,425.7,353.2,391.5,294.6,641.5,383.9,196.3,427.3,572.5,329.6,310.5,172.4,158.2,401.8,561,130.1,216.2,312.4,282.8,435.3,260.8,623.2,406.6,179.1,332.3,420.1,163.7,394.8,492.8,227.2,348.3,190.6,211.6,243.3,299.5,300.8,77,279.1,31.7,249.9,226.6,501.8,491,575.3,321.9,348.8,271.1,386.3,460.2,547.9,198.3,324.8,77.6,355.7,401.2
