"County","Density"
"AlamedaCounty",12.5
"AlpineCounty",1.6
"AmadorCounty",39.2
"ButteCounty",26.8
"CalaverasCounty",34
"ColusaCounty",5.9
"ContraCostaCounty",20.3
"DelNorteCounty",9.7
"ElDoradoCounty",38.5
"FresnoCounty",17.5
"GlennCounty",8.8
"HumboldtCounty",11.4
"ImperialCounty",7.4
"InyoCounty",0.8
"KernCounty",10.8
"KingsCounty",12.3
"LakeCounty",17.4
"LassenCounty",5.4
"LosAngelesCounty",22.6
"MaderaCounty",23.7
"MarinCounty",37.4
"MariposaCounty",12.6
"MendocinoCounty",11.4
"MercedCounty",19.6
"ModocCounty",1.7
"MonoCounty",2.1
"MontereyCounty",12.8
"NapaCounty",25.8
"NevadaCounty",45.7
"OrangeCounty",16.2
"PlacerCounty",38
"PlumasCounty",5.8
"RiversideCounty",15.6
"SacramentoCounty",46
"SanBenitoCounty",9.6
"SanBernardinoCounty",5
"SanDiegoCounty",29.6
"SanFranciscoCounty",0
"SanJoaquinCounty",47
"SanLuisObispoCounty",14
"SanMateoCounty",44.2
"SantaBarbaraCounty",8.1
"SantaClaraCounty",20.1
"SantaCruzCounty",86.3
"ShastaCounty",14
"SierraCounty",3.4
"SiskiyouCounty",4.7
"SolanoCounty",21.7
"SonomaCounty",41.7
"StanislausCounty",29.9
"SutterCounty",24.3
"TehamaCounty",11.1
"TrinityCounty",4.3
"TulareCounty",14.5
"TuolumneCounty",12.4
"VenturaCounty",15.9
"YoloCounty",14.4
"YubaCounty",30.9
