"SCTG","Payload","N"
1,12.2468285097997,2
2,13.9906102244086,5
3,12.6920370302399,48
4,11.2798150119434,7
5,6.06246518035824,10
6,6.17455015984919,17
7,10.5712232080137,50
8,10.5640400935175,10
9,12.5303662811142,0
10,12.7559630168912,3
11,21.243169598294,17
12,18.931276234411,31
13,14.57148120894,3
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,1
17,24.3515448152176,4
18,11.7399553387464,6
19,9.3205966594687,9
20,12.7169665447177,12
21,5.12434471305138,0
22,9.93234871988097,9
23,12.2174191704086,7
24,9.66549316294252,5
25,17.5629107877451,7
26,8.79118701712733,36
27,16.5382555630002,4
28,13.1552492378572,4
29,5.51350467372506,4
30,10.307661585523,7
31,15.9484185351565,74
32,3.98764272253673,12
33,2.94543515712258,50
34,11.7711588947332,24
35,6.91185118160956,7
36,6.89639266920526,23
37,17.1134794135312,2
38,4.51852664992441,2
39,3.4468254396797,12
40,6.01309630314022,240
41,10.808489417779,55
43,10.32376279301,82
99,10.8934974922361,7
