Year,Truck,Bus,Train
1975,5.1,4.2,0.098265896
1976,5.1,4.1,0.098265896
1977,5.1,4.1,0.098265896
1978,5.1,4,0.098265896
1979,5.1,3.9,0.098265896
1980,5.3,3.9,0.098265896
1981,5.1,3.8,0.098265896
1982,5.2,3.8,0.098265896
1983,5.3,3.7,0.098265896
1984,5.5,3.7,0.098265896
1985,5.6,3.6,0.098265896
1986,5.6,3.6,0.098265896
1987,5.7,3.7,0.096335079
1988,5.8,3.7,0.085596708
1989,5.8,3.7,0.088016529
1990,5.8,3.8,0.10125523
1991,5.7,3.8,0.100729927
1992,5.8,3.7,0.096296296
1993,5.8,3.8,0.098576512
1994,5.8,3.8,0.120567376
1995,5.8,3.9,0.120138889
1996,5.9,3.8,0.117133956
1997,6.1,3.8,0.114127424
1998,6.1,3.6,0.11496063
1999,6,3.7,0.117067308
2000,6,3.6,0.114038877
2001,6,4,0.111498973
2002,5.9,4.3,0.119607843
2003,5.9,4.5,0.126824458
2004,5.7,4.5,0.121880651
2005,5.6,4.7,0.121190893
2006,5.6,4.7,0.121190893
2007,5.6,4.7,0.121190893
2008,5.6,4.7,0.121190893
2009,5.6,4.8,0.121190893
2010,5.6,4.8,0.121190893
2011,5.6,4.8,0.121190893
2012,5.6,4.8,0.121190893
2013,5.6,4.8,0.121190893
2014,5.6,4.8,0.121190893
2015,5.6,4.8,0.121190893
2016,5.6,4.8,0.121190893
2017,5.6,4.8,0.121190893
2018,5.6,4.8,0.121190893
2019,5.6,4.8,0.121190893
2020,5.6,4.8,0.121190893
2021,5.6,4.8,0.121190893
2022,5.6,4.8,0.121190893
2023,5.6,4.8,0.121190893
2024,5.6,4.8,0.121190893
2025,5.6,4.8,0.121190893
2026,5.6,4.8,0.121190893
2027,5.6,4.8,0.121190893
2028,5.6,4.8,0.121190893
2029,5.6,4.8,0.121190893
2030,5.6,4.8,0.121190893
2031,5.6,4.8,0.121190893
2032,5.6,4.8,0.121190893
2033,5.6,4.8,0.121190893
2034,5.6,4.8,0.121190893
2035,5.6,4.8,0.121190893
2036,5.6,4.8,0.121190893
2037,5.6,4.8,0.121190893
2038,5.6,4.8,0.121190893
2039,5.6,4.8,0.121190893
2040,5.6,4.8,0.121190893
2041,5.6,4.8,0.121190893
2042,5.6,4.8,0.121190893
2043,5.6,4.8,0.121190893
2044,5.6,4.8,0.121190893
2045,5.6,4.8,0.121190893
2046,5.6,4.8,0.121190893
2047,5.6,4.8,0.121190893
2048,5.6,4.8,0.121190893
2049,5.6,4.8,0.121190893
2050,5.6,4.8,0.121190893
