Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Duluth,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Duluth,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Duluth,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Duluth,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandForks,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandForks,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandForks,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandForks,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
MinneapolisStPaul,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
MinneapolisStPaul,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
MinneapolisStPaul,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
MinneapolisStPaul,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
