"FAFZone","AleutiansEastBorough","AleutiansWestCensusArea","AnchorageMunicipality","BethelCensusArea","BristolBayBorough","DenaliBorough","DillinghamCensusArea","FairbanksNorthStarBorough","HainesBorough","HoonahAngoonCensusArea","JuneauCityandBorough","KenaiPeninsulaBorough","KetchikanGatewayBorough","KodiakIslandBorough","LakeandPeninsulaBorough","MatanuskaSusitnaBorough","NomeCensusArea","NorthSlopeBorough","NorthwestArcticBorough","PetersburgCensusArea","PrinceofWalesHyderCensusArea","SitkaCityandBorough","SkagwayMunicipality","SoutheastFairbanksCensusArea","ValdezCordovaCensusArea","WadeHamptonCensusArea","WrangellCityandBorough","YakutatCityandBorough","YukonKoyukukCensusArea"
"11",,,2061,,,2054.77,,1939.29,1685.71,1756.94,1763.8,2227.11,1758.99,2458.83,,2037.01,,2671.22,,1988.39,1807.39,1852.1,1715.71,1784.75,1928.78,,1988.39,,2149.85
"12",,,2229.2,,,2222.95,,2107.45,1853.95,1925.15,1932,2395.3,2340.4,2627.05,,2205.25,,2839.45,,2569.75,2388.8,2020.3,1883.95,1952.95,2096.95,,2569.75,,2318.05
"19",,,2109.53272727273,,,2103.30363636364,,1987.83272727273,1734.27272727273,1805.49636363636,1812.34,2275.66363636364,1920.78,2507.38363636364,,2085.57818181818,,2719.77272727273,,2150.17818181818,1969.18545454545,1900.65818181818,1764.27272727273,1833.28909090909,1977.32181818182,,2150.17818181818,,2198.39272727273
"41",,,1782.95,,,1776.75,,1661.25,1407.7,1478.95,1485.75,1949.1,1714.35,2180.8,,1759,,2393.2,,1943.75,1762.75,1574.05,1437.7,1506.7,1650.75,,1943.75,,1871.8
"42",,,1904.2,,,1897.95,,1782.5,1528.95,1600.15,1607,2070.3,1833.3,2302.05,,1880.2,,2514.4,,2062.7,1881.7,1695.3,1558.95,1627.95,1772,,2062.7,,1993.05
"49",,,1732.80909090909,,,1726.58181818182,,1611.10909090909,1357.51818181818,1428.77272727273,1435.60909090909,1898.91818181818,1561.44545454545,2130.63636363636,,1708.82727272727,,2343.02727272727,,1790.84545454545,1609.84545454545,1523.90909090909,1387.51818181818,1456.56363636364,1600.60909090909,,1790.84545454545,,1821.66363636364
"50",,,1768.46666666667,,,1762.23466666667,,1646.77333333333,1393.204,1464.428,1471.27866666667,1934.596,1874.792,2166.31466666667,,1744.50933333333,,2378.708,,2104.19466666667,1923.2,1559.588,1423.204,1492.22533333333,1636.25733333333,,2104.19466666667,,1857.32666666667
"61",,,1699.56,,,1693.32,,1577.86,1324.32,1395.52,1402.36,1865.7,1354.12,2097.42,,1675.6,,2309.8,,1583.52,1402.56,1490.66,1354.32,1423.32,1567.32,,1583.52,,1788.42
"62",,,1277.31428571429,,,1271.07142857143,,1155.6,902.057142857143,973.271428571428,980.114285714286,1443.44285714286,930,1675.15714285714,,1253.35714285714,,1887.55714285714,,1159.41428571429,978.414285714286,1068.42857142857,932.057142857143,1001.07142857143,1145.1,,1159.41428571429,,1366.17142857143
"63",,,1777.8,,,1771.6,,1656.1,1402.5,1473.8,1480.6,1943.9,1430.5,2175.6,,1753.8,,2388,,1659.9,1478.9,1568.9,1432.5,1501.6,1645.6,,1659.9,,1866.7
