"County","AleutiansEastBorough","AleutiansWestCensusArea","AnchorageMunicipality","BethelCensusArea","BristolBayBorough","DenaliBorough","DillinghamCensusArea","FairbanksNorthStarBorough","HainesBorough","HoonahAngoonCensusArea","JuneauCityandBorough","KenaiPeninsulaBorough","KetchikanGatewayBorough","KodiakIslandBorough","LakeandPeninsulaBorough","MatanuskaSusitnaBorough","NomeCensusArea","NorthSlopeBorough","NorthwestArcticBorough","PetersburgCensusArea","PrinceofWalesHyderCensusArea","SitkaCityandBorough","SkagwayMunicipality","SoutheastFairbanksCensusArea","ValdezCordovaCensusArea","WadeHamptonCensusArea","WrangellCityandBorough","YakutatCityandBorough","YukonKoyukukCensusArea"
"AleutiansEastBorough",63,,,,,,,,,,,,,,,,,,,,,,29,,,,,,
"AleutiansWestCensusArea",,61.1,,,,,,,,,,,,,,,,,,,,,29,,,,,,
"AnchorageMunicipality",,,22.8,,,251.2,,368.1,448.8,531.8,538.6,166.4,833.3,398.2,,60,,1087.2,,673.9,846.7,626.9,478.8,368.1,234.5,,673.9,,565.8
"BethelCensusArea",,,,110.3,,,176.7,,,,,,,,,,,,,,,,29,,,190.9,,,
"BristolBayBorough",,,,,15.6,,,,,,,,,,20.8,,,,,,,,29,,,,,,
"DenaliBorough",,,251.2,,,58.2,,117,442.6,525.5,532.4,417.3,827.1,649,,227.9,,836,,667.7,840.5,620.7,472.6,277.3,413.7,,667.7,,314.6
"DillinghamCensusArea",,,,176.7,,,73.7,,,,,,,,,,,,,,,,29,,,,,,
"FairbanksNorthStarBorough",,,368.1,,,117,,44.4,327.1,410.1,416.9,534.3,711.6,766,,344.8,,733.5,,552.2,725,505.2,357.1,161.8,296.8,,552.2,,212.1
"HainesBorough",,,448.8,,,442.6,,327.1,27,84,90.9,615,385.6,846.7,,424.9,,1059.1,,226.2,399,179.2,,172.6,316.6,,226.2,,537.7
"HoonahAngoonCensusArea",,,531.8,,,525.5,,410.1,84,55.3,66.7,697.9,357,929.6,,507.8,,1142,,197.6,370.4,119.8,114,255.5,399.6,,197.6,,620.6
"JuneauCityandBorough",,,538.6,,,532.4,,416.9,90.9,66.7,28.6,704.8,297.5,936.5,,514.7,,1148.9,,138.1,310.9,161.9,120.9,262.4,406.4,,138.1,,627.5
"KenaiPeninsulaBorough",,,166.4,,,417.3,,534.3,615,697.9,704.8,75.7,999.5,249.4,,226.1,,1253.3,,840,1012.9,793.1,645,534.2,400.6,,840,,731.9
"KetchikanGatewayBorough",,,833.3,,,827.1,,711.6,385.6,357,297.5,999.5,21.5,1231.2,,809.4,,1443.6,,235.9,54.9,315.3,415.6,557.1,701.1,,235.9,,922.2
"KodiakIslandBorough",,,398.2,,,649,,766,846.7,929.6,936.5,249.4,1231.2,56,,457.9,,1485,,1071.8,1244.6,1024.8,876.7,765.9,632.4,,1071.8,,963.6
"LakeandPeninsulaBorough",,,,,20.8,,,,,,,,,,87.6,,,,,,,,29,,,,,,
"MatanuskaSusitnaBorough",,,60,,,227.9,,344.8,424.9,507.8,514.7,226.1,809.4,457.9,,81.7,,1063.8,,650,822.8,603,454.9,344.1,210.6,,650,,542.5
"NomeCensusArea",,,,,,,,,,,,,,,,,86.5,,225,,,,29,,,,,,
"NorthSlopeBorough",,,1087.2,,,836,,733.5,1059.1,1142,1148.9,1253.3,1443.6,1485,,1063.8,,157.7,,1284.2,1457,1237.2,1089.1,893.8,1028.8,,1284.2,,664.3
"NorthwestArcticBorough",,,,,,,,,,,,,,,,,225,,103.7,,,,29,,,,,,
"PetersburgCensusArea",,,673.9,,,667.7,,552.2,226.2,197.6,138.1,840,235.9,1071.8,,650,,1284.2,,48.7,249.3,155.9,256.2,397.7,541.7,,,,762.8
"PrinceofWalesHyderCensusArea",,,846.7,,,840.5,,725,399,370.4,310.9,1012.9,54.9,1244.6,,822.8,,1457,,249.3,61.6,328.8,429,570.5,714.5,,249.3,,935.6
"SitkaCityandBorough",,,626.9,,,620.7,,505.2,179.2,119.8,161.9,793.1,315.3,1024.8,,603,,1237.2,,155.9,328.8,35.8,209.2,350.7,494.7,,155.9,,715.8
"SkagwayMunicipality",29,29,478.8,29,29,472.6,29,357.1,,114,120.9,645,415.6,876.7,29,454.9,29,1089.1,29,256.2,429,209.2,87,202.6,346.6,29,256.2,29,567.7
"SoutheastFairbanksCensusArea",,,368.1,,,277.3,,161.8,172.6,255.5,262.4,534.2,557.1,765.9,,344.1,,893.8,,397.7,570.5,350.7,202.6,81.9,235.9,,397.7,,372.4
"ValdezCordovaCensusArea",,,234.5,,,413.7,,296.8,316.6,399.6,406.4,400.6,701.1,632.4,,210.6,,1028.8,,541.7,714.5,494.7,346.6,235.9,103,,541.7,,507.4
"WadeHamptonCensusArea",,,,190.9,,,,,,,,,,,,,,,,,,,29,,,72.2,,,
"WrangellCityandBorough",,,673.9,,,667.7,,552.2,226.2,197.6,138.1,840,235.9,1071.8,,650,,1284.2,,,249.3,155.9,256.2,397.7,541.7,,48.7,,762.8
"YakutatCityandBorough",,,,,,,,,,,,,,,,,,,,,,,29,,,,,49.9,
"YukonKoyukukCensusArea",,,565.8,,,314.6,,212.1,537.7,620.6,627.5,731.9,922.2,963.6,,542.5,,664.3,,762.8,935.6,715.8,567.7,372.4,507.4,,762.8,,197.3
