"County","AdamsCounty","BarnesCounty","BensonCounty","BillingsCounty","BottineauCounty","BowmanCounty","BurkeCounty","BurleighCounty","CassCounty","CavalierCounty","DickeyCounty","DivideCounty","DunnCounty","EddyCounty","EmmonsCounty","FosterCounty","GoldenValleyCounty","GrandForksCounty","GrantCounty","GriggsCounty","HettingerCounty","KidderCounty","LaMoureCounty","LoganCounty","McHenryCounty","McIntoshCounty","McKenzieCounty","McLeanCounty","MercerCounty","MortonCounty","MountrailCounty","NelsonCounty","OliverCounty","PembinaCounty","PierceCounty","RamseyCounty","RansomCounty","RenvilleCounty","RichlandCounty","RoletteCounty","SargentCounty","SheridanCounty","SiouxCounty","SlopeCounty","StarkCounty","SteeleCounty","StutsmanCounty","TownerCounty","TraillCounty","WalshCounty","WardCounty","WellsCounty","WilliamsCounty"
"DickeyCounty",269.1,95.8,164.5,299.2,261.5,343.4,329.5,160.5,145.3,231.1,17.4,373.3,285.1,138.1,104.5,121.2,317.5,205.8,236.9,128.6,286.4,124.9,43,88.8,233.7,71.2,353.6,225.9,238,194.5,319.2,171.6,209.6,250.2,198.8,178,84.1,285.6,106.4,243.1,66.5,191.6,202.9,324.5,259.5,159.3,77.6,202.8,186.1,217.9,249.1,147.4,342.8
"DivideCounty",261.4,341,249.5,170,146.4,231.4,56.3,247.6,390.4,254.7,373.3,18.5,169.1,265.3,311.3,274.1,171.1,338.1,280.9,307.2,236,281.2,350.3,336.1,173.8,355.6,95.6,183,210.5,258.8,94.1,305.4,232.4,300.5,210.2,271.7,391.1,102.2,445.8,186.6,420.9,216.6,306.1,212.5,193.6,337.4,305.9,225.5,374.2,309.8,129.4,229.5,49.3
"DunnCounty",116.6,254,220.1,67,208.8,128.1,154.1,133.3,303.4,308.4,285.1,169.1,23.5,217.2,190.1,200.4,102.2,337.1,118.1,233.4,97.2,180.1,262.1,214.9,172.9,234.5,74.8,92.7,48.6,102.9,99.5,265.6,73.1,354.2,209.3,270.7,304.1,168.4,358.8,244.2,333.9,145.7,170.9,109.2,51.7,263.6,220.8,269.4,290.5,333,148.9,178.5,132.5
"EddyCounty",295,105.7,39.1,288.4,143.3,332.6,221.5,149.8,143.5,105.7,138.1,265.3,217.2,13.1,172.5,38.9,306.7,109.8,226.1,57.5,275.6,110,115.1,140,125.7,172.2,240.9,140.3,171.1,183.7,190.5,58.4,165,154,90.8,52.7,155.8,177.7,198.9,117.7,185.6,96.1,213.6,313.7,248.7,87.7,70.7,77.4,114.5,121.6,141.1,42.6,234.8
"EmmonsCounty",210.8,152.2,175.4,204.1,199.2,248.4,267.5,65.5,201.6,265.1,104.5,311.3,190.1,172.5,20.3,155.7,222.5,262.2,141.8,185,191.4,78.3,94.2,56.8,171.4,46.3,258.6,130.9,143,99.5,224.2,227.9,114.6,306.6,163.3,212.5,135.2,223.6,177.3,212.9,151.7,103.4,129.4,229.4,164.5,215.6,119,226.1,242.5,274.3,187.1,133.8,280.8
"FosterCounty",278.2,77.8,65.3,271.5,162.4,315.8,230.3,132.9,120.3,127.3,121.2,274.1,200.4,38.9,155.7,13.1,289.9,114.6,209.2,34.3,258.8,93.1,98.2,123.2,134.6,155.4,249.8,123.4,154.2,166.9,199.3,67.8,148.2,158.9,99.7,78.9,124.9,186.5,175.7,143.9,154.8,81.4,196.7,296.8,231.9,64.5,53.8,103.6,91.3,126.6,150,48.2,243.6
"GoldenValleyCounty",131,286.4,309.6,34.5,302.4,101,230.6,165.7,335.8,399.3,317.5,171.1,102.2,306.7,222.5,289.9,16.3,396.4,150.5,319.2,105.6,212.5,294.5,247.3,266.5,266.9,111.2,186.3,142.2,135.3,176,362.1,143.7,440.8,297.5,346.7,336.5,244.9,391.2,337.8,366.3,237.6,203.3,82.1,63.2,349.8,253.2,360.3,376.7,408.5,242.5,268,134.5
"GrandForksCounty",384.7,136.9,107.1,378.1,195.5,422.3,294.3,239.4,101.1,108,205.8,338.1,337.1,109.8,262.2,114.6,396.4,19.5,315.8,82.7,365.3,203.8,182.8,208.2,175.1,240.4,332.8,247.1,290.9,273.4,263.3,53.6,288.5,92.1,143.7,91.1,144,250.4,134.5,168.4,180,190.4,303.3,403.4,338.4,70.9,156.4,128.1,50.8,49.2,213.9,147.4,307.6
"GrantCounty",64.7,205.7,229,132.1,241.2,112.3,261.6,85,255.2,318.7,236.9,280.9,118.1,226.1,141.8,209.2,150.5,315.8,21,238.5,45.3,131.9,213.9,166.7,205.2,186.2,186.6,125.1,81,74.1,212.8,281.5,82.5,360.1,216.8,266,255.8,217.8,310.6,266.5,285.6,156.9,68.7,102.2,92.4,269.2,172.6,279.7,296,327.8,181.3,187.4,244.3
"GriggsCounty",307.5,46,97.9,300.8,192.4,345.1,263.4,162.2,88.4,104.9,128.6,307.2,233.4,57.5,185,34.3,319.2,82.7,238.5,13.8,288.1,126.6,105.6,130.9,172,163.1,282.8,156.5,187.3,196.2,232.4,45.4,211.3,127.1,132.7,88.1,93.1,219.6,143.8,165.3,122.9,114.4,226,326.1,261.1,32.6,79.2,125,59.4,94.7,183.1,81.3,276.7
