"County","Density"
"AdamsCounty",2.4
"BarnesCounty",2.9
"BensonCounty",4.8
"BillingsCounty",0.7
"BottineauCounty",3.9
"BowmanCounty",2.7
"BurkeCounty",1.8
"BurleighCounty",9.4
"CassCounty",9.1
"CavalierCounty",2.7
"DickeyCounty",4.7
"DivideCounty",1.6
"DunnCounty",1.8
"EddyCounty",3.8
"EmmonsCounty",2.4
"FosterCounty",5.3
"GoldenValleyCounty",1.7
"GrandForksCounty",7.9
"GrantCounty",1.4
"GriggsCounty",3.4
"HettingerCounty",2.2
"KidderCounty",1.8
"LaMoureCounty",3.6
"LoganCounty",2
"McHenryCounty",2.9
"McIntoshCounty",2.9
"McKenzieCounty",2.3
"McLeanCounty",4.2
"MercerCounty",5.3
"MortonCounty",4.6
"MountrailCounty",4.2
"NelsonCounty",3.2
"OliverCounty",2.6
"PembinaCounty",6.6
"PierceCounty",1.5
"RamseyCounty",3.4
"RansomCounty",6.3
"RenvilleCounty",2.8
"RichlandCounty",5.9
"RoletteCounty",15.4
"SargentCounty",4.5
"SheridanCounty",1.4
"SiouxCounty",3.8
"SlopeCounty",0.6
"StarkCounty",5
"SteeleCounty",2.8
"StutsmanCounty",2.6
"TownerCounty",2.2
"TraillCounty",9.4
"WalshCounty",5.4
"WardCounty",6.8
"WellsCounty",3.3
"WilliamsCounty",3.5
