Value,Area,Fwy,Art,Other
BusVmt,Bismarck,,,
TruckVmt,Bismarck,,,
BusVmt,Fargo,,,
TruckVmt,Fargo,,,
BusVmt,GrandForks,,,
TruckVmt,GrandForks,,,
