"FAFZone","AdamsCounty","BarnesCounty","BensonCounty","BillingsCounty","BottineauCounty","BowmanCounty","BurkeCounty","BurleighCounty","CassCounty","CavalierCounty","DickeyCounty","DivideCounty","DunnCounty","EddyCounty","EmmonsCounty","FosterCounty","GoldenValleyCounty","GrandForksCounty","GrantCounty","GriggsCounty","HettingerCounty","KidderCounty","LaMoureCounty","LoganCounty","McHenryCounty","McIntoshCounty","McKenzieCounty","McLeanCounty","MercerCounty","MortonCounty","MountrailCounty","NelsonCounty","OliverCounty","PembinaCounty","PierceCounty","RamseyCounty","RansomCounty","RenvilleCounty","RichlandCounty","RoletteCounty","SargentCounty","SheridanCounty","SiouxCounty","SlopeCounty","StarkCounty","SteeleCounty","StutsmanCounty","TownerCounty","TraillCounty","WalshCounty","WardCounty","WellsCounty","WilliamsCounty"
"11",1550.45,1351.3,1482.7,1618.02,1571.19,1600.72,1647.13,1479.4,1304.3,1488.86,1355.35,1690.93,1603.97,1444.02,1440.94,1420.8,1636.37,1379.67,1546.95,1388.94,1574.1,1443.79,1373.83,1441.48,1550.77,1406.19,1672.47,1544.8,1556.89,1513.37,1638.06,1429.21,1528.45,1448.05,1519.34,1466.79,1321.15,1603.3,1270.58,1544.05,1312.13,1510.45,1466.64,1636.57,1578.34,1373.7,1396.4,1503.7,1346.15,1422.71,1566.78,1465.02,1660.44
"12",1672.65,1519.5,1650.95,1786.25,1739.35,1722.95,1815.35,1647.6,1472.5,1657.05,1477.55,1859.15,1772.15,1612.25,1563.15,1589,1804.55,1547.85,1642,1557.15,1691.75,1612,1500.45,1555.05,1718.95,1528.45,1840.65,1713,1725.1,1681.55,1806.25,1597.45,1696.65,1616.25,1687.55,1635,1458.15,1771.5,1421.55,1712.25,1434.35,1678.65,1588.85,1749.5,1746.55,1541.9,1564.6,1671.9,1514.35,1590.95,1734.95,1633.25,1828.65
"19",1588.90545454545,1399.84545454545,1531.26181818182,1666.58545454545,1619.72181818182,1639.18727272727,1695.68363636364,1527.94,1352.84545454545,1537.40363636364,1393.80727272727,1739.48545454545,1652.51090909091,1492.58545454545,1479.39454545455,1469.36363636364,1684.91090909091,1428.20545454545,1574.57818181818,1437.49636363636,1609.89090909091,1492.33090909091,1409.75272727273,1474.51090909091,1599.30545454545,1444.66545454545,1721.01090909091,1593.34,1605.43090909091,1561.91090909091,1686.60363636364,1477.77272727273,1577,1496.59818181818,1567.89090909091,1515.33090909091,1361.04545454545,1651.84545454545,1314.56909090909,1592.59818181818,1342.76727272727,1559,1505.10363636364,1669.43090909091,1626.89090909091,1422.24909090909,1444.94909090909,1552.24909090909,1394.69454545455,1471.27272727273,1615.32181818182,1513.57454545455,1708.99636363636
"20",423.389655172414,406.51724137931,296.996551724138,362.789655172414,227.855172413793,401.031034482759,220.048275862069,345.375862068965,438.934482758621,298.855172413793,427.703448275862,228.744827586207,365.644827586207,356.962068965517,387.062068965517,362.744827586207,367.524137931034,355.044827586207,436.165517241379,384.420689655172,406.768965517241,367.365517241379,412.634482758621,403.355172413793,297.024137931034,416.141379310345,317.472413793103,303.065517241379,374.248275862069,395.644827586207,260.858620689655,333.644827586207,335.431034482759,221.51724137931,271.279310344828,311.537931034483,439.355172413793,250.079310344828,475.231034482759,254.210344827586,458.88275862069,325.065517241379,429.524137931034,391.341379310345,378.993103448276,364.506896551724,383.548275862069,279.706896551724,378.724137931034,334.958620689655,267.941379310345,333.493103448276,249.624137931034
"41",1414.35,1665,1688.25,1462.55,1708.15,1381.05,1653.05,1571.45,1752.4,1778,1578.5,1599.5,1508,1685.4,1518.7,1668.5,1492.85,1827.7,1467.45,1697.8,1432,1591.15,1602.9,1573.6,1672.25,1533.4,1542.85,1592.1,1547.95,1541.05,1581.75,1740.8,1549.5,1896.1,1676.1,1725.35,1642.5,1650.75,1701.4,1725.7,1618.7,1616.2,1493.6,1407.65,1469,1728.5,1631.9,1739,1794.2,1787.1,1648.25,1646.7,1562.9
"42",1476.2,1726.4,1749.65,1524.4,1770.025,1442.9,1696.4,1633.3,1813.75,1839.35,1639.95,1642.85,1569.85,1746.75,1580.15,1729.9,1536.2,1889.1,1529.3,1759.2,1493.85,1652.55,1664.325,1634.95,1734.1,1594.8,1586.25,1653.95,1609.825,1602.9,1643.6,1802.15,1611.35,1957.5,1737.525,1786.75,1703.9,1712.55,1762.775,1787.15,1680.1,1677.6,1555.05,1469.45,1530.85,1789.85,1693.275,1800.35,1855.6,1848.5,1710.15,1708.1,1606.25
"49",1336.99545454546,1610.38636363637,1633.60454545454,1394.48636363637,1628.49545454546,1300.00454545454,1561.67727272728,1509.49545454546,1687.38636363637,1710.43181818182,1509.50454545454,1508.11363636363,1446.03181818181,1630.72272727273,1447.81363636363,1613.86818181818,1401.4590909091,1758.71363636364,1391.09545454545,1643.1590909091,1354.62272727273,1536.51363636363,1532.01363636363,1502.65,1596.63181818182,1462.46818181819,1451.49545454546,1530.14090909091,1486.01363636363,1479.11363636363,1508.81363636363,1686.11818181818,1487.55,1820.55,1609.31363636363,1670.70454545455,1571.97727272728,1573.08636363636,1628.58636363636,1652.15,1550.41363636364,1561.57727272727,1417.70454545455,1326.56818181818,1407.03181818181,1673.83181818181,1577.23181818182,1671.42272727273,1728.95,1732.45,1567.12272727273,1592.03181818181,1471.51363636363
"50",1211.96,1058.78666666667,1190.19733333333,1325.51466666667,1278.65733333333,1262.23466666667,1354.616,1186.87866666667,1011.788,1196.336,1016.86133333333,1398.41866666667,1311.444,1151.51466666667,1102.444,1128.29733333333,1343.84533333333,1087.136,1181.29733333333,1096.42533333333,1231.07066666667,1151.27333333333,1039.70533333333,1094.33733333333,1258.23466666667,1067.71866666667,1379.944,1252.27866666667,1264.36933333333,1220.84533333333,1345.53866666667,1136.704,1235.94,1155.52533333333,1226.82666666667,1174.27333333333,997.418666666667,1310.78666666667,960.805333333333,1251.52533333333,973.636,1217.94,1128.156,1288.79733333333,1285.82666666667,1081.188,1103.88933333333,1211.188,1053.62666666667,1130.204,1274.25733333333,1172.50933333333,1367.928
"61",1456.32,1790.62,1813.86,1538.72,1741.62,1409.52,1668.32,1669.92,1840.12,1856.3,1651.36,1614.76,1606.46,1811,1584.64,1794.12,1508.12,1900.66,1513.12,1823.42,1473.96,1716.78,1668.84,1639.5,1720.72,1599.32,1558.12,1690.56,1646.42,1639.52,1639.92,1866.38,1648,1945.04,1757.12,1850.96,1709.92,1691.78,1736.14,1781.86,1694.22,1741.82,1541.14,1436.1,1567.46,1854.12,1757.5,1817.28,1880.92,1912.72,1676.32,1772.32,1578.14
"62",1392.51428571429,1621.04285714286,1644.27142857143,1369.1,1572.04285714286,1347.2,1498.7,1500.3,1670.5,1686.68571428571,1652.17142857143,1445.15714285714,1436.87142857143,1641.38571428571,1557.11428571429,1624.51428571429,1338.5,1731.07142857143,1485.11428571429,1653.8,1440.25714285714,1547.17142857143,1629.17142857143,1581.98571428571,1551.1,1601.51428571429,1388.54285714286,1520.97142857143,1476.84285714286,1469.94285714286,1470.3,1696.78571428571,1478.38571428571,1775.47142857143,1587.5,1681.37142857143,1671.15714285714,1522.17142857143,1725.9,1612.25714285714,1700.97142857143,1572.2,1537.9,1366.68571428571,1397.87142857143,1684.5,1587.9,1647.67142857143,1711.3,1743.1,1506.7,1602.68571428571,1408.57142857143
