"SCTG","Payload","N"
1,12.2468285097997,9
2,14.5004496140476,468
3,14.175534342405,52
4,12.3127453247696,26
5,15.3568767024241,1
6,5.92686271885712,1
7,11.7318190153761,17
8,10.2941785681165,2
9,12.5303662811142,0
10,12.7559630168912,0
11,14.7601763932821,3
12,16.5453388332818,36
13,14.57148120894,3
14,19.7343283246373,0
15,21.9759244651015,2
16,14.0428921341034,3
17,24.3515448152176,0
18,11.7399553387464,5
19,9.3205966594687,3
20,14.6935220971178,1
21,5.12434471305138,2
22,10.2681408681194,32
23,12.2174191704086,7
24,9.66549316294252,0
25,17.5629107877451,0
26,10.9158891397531,10
27,16.5382555630002,0
28,13.1552492378572,0
29,5.51350467372506,1
30,10.307661585523,0
31,18.7262724217628,18
32,12.2402812906222,5
33,7.21628216913914,20
34,14.4578227954721,19
35,6.91185118160956,0
36,7.85412420282208,7
37,17.1134794135312,6
38,4.51852664992441,0
39,7.06406860103406,4
40,10.1620177879171,100
41,6.22545314058671,25
43,16.6344819186119,8
99,10.8934974922361,5
