"County","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"PascoCounty",124.4,176.2,320.9,138.1,147.8,259.9,283.3,123.6,50,153.3,189.1,157.1,113.8,118.3,186.2,413.3,149.5,257.6,248.1,113.9,163.8,305.1,185.7,90.8,185.9,20.9,115.3,26.6,323.6,160.2,286.2,199.7,154.3,76.3,157,215.9,89.4,255.5,211.1,69.5,84.8,193,271.1,377.7,195.1,372.9,155.2,85.9,99.1,225.3,15.2,42.6,67.4,135.4,169.2,172.3,396.3,94.2,106.5,51.9,152,161.7,150.4,127.9,215.4,344.9,314.9
"PinellasCounty",155.3,207.1,357.2,169,150.6,260.3,319.6,97.7,97.5,184.1,163.3,187.9,88,154.6,217.1,449.6,179.6,293.9,284.4,150.2,162.7,341.4,216.6,81.9,170.8,57.2,114.3,21.1,359.9,159.2,322.5,236,190.6,107.2,131.2,252.2,125.7,291.8,242,37.6,115.7,192,271.5,357.7,226,409.1,154.2,103.8,101.8,224.2,42.6,12.7,66.4,166.3,204.2,171.3,432.6,68.3,119.5,82.8,188.3,198,181.3,144.4,251.7,381.2,351.2
"PolkCounty",152.8,204.5,388,166.5,107.7,197.3,350.4,91.1,104.5,181.6,144.9,185.4,59.4,180.1,198.7,480.4,136.7,319.4,315.2,169.5,107.3,387.9,214.1,34.4,129.5,82.1,58.9,45.4,390.6,95.8,353.2,266.8,208.5,73.8,112.8,289.6,145.3,339.2,239.5,81.8,105,128.6,214.7,321.3,223.2,439.9,98.8,60.9,58.9,160.8,67.4,66.4,23.1,140.1,161.3,107.9,463.4,106.5,76.6,75.8,203.8,223.5,178.8,101.5,277.2,412,382
"PutnamCounty",48.3,76.4,289.6,42.7,138.6,293.2,252.1,241.4,84.1,44,306.9,76.2,197.7,94.4,68.7,382,45.2,233.8,216.9,81.8,226.2,289.5,115.8,172.7,248.4,121.8,177.7,150.9,292.3,182,254.9,168.4,110.2,66.9,274.8,191.3,75.9,240.8,141.1,187.3,56,227.3,328.1,435.9,89.1,341.6,207.7,91.2,129.2,256.7,135.4,166.3,140.1,14.8,38.9,203.8,365,211.9,95.9,85.3,105.4,137.8,56.2,76.8,191.6,313.6,283.7
"StJohnsCounty",76.9,83.5,308.5,62.2,127.4,281.9,270.9,273.7,117.8,41.6,304.3,110.2,218.9,128.2,47.3,400.9,28.4,276.2,235.7,115.6,247.4,308.4,134.6,193.9,269.6,155.6,198.9,183.3,311.2,170.8,273.7,187.3,155.6,111.9,272.3,210.1,109.6,259.7,160,219.7,89.8,216.1,316.9,424.6,71.8,360.4,207.8,103.8,129.3,245.5,169.2,204.2,161.3,38.9,14.7,192.6,383.9,244.3,96,119.1,136.8,180.2,76.1,65.6,232.6,332.5,302.5
"StLucieCounty",228.8,266.2,464,242.5,72.4,91.4,426.4,134.3,192,224.3,162.9,261.4,102.6,256.1,230,556.4,168,395.4,391.2,245.5,73.7,463.9,290.1,107.8,93.8,183.1,80.8,150.3,466.6,33.3,429.2,342.8,284.5,151.2,130.8,365.6,231.7,415.2,315.5,150,181,22.7,126.3,234.1,254.5,515.9,45.9,121.5,93.1,55,172.3,171.3,107.9,203.8,192.6,13.5,539.4,150.8,125.6,164.6,279.8,299.5,254.8,137.7,353.2,488,458
"SantaRosaCounty",320.6,305.3,116.8,317,487.4,628.8,140.2,541,358.6,337.5,606.5,281.6,512.3,281.3,340.8,21.2,402.4,200.1,154.5,302.5,549.6,152.1,270.7,487.3,571.7,375.9,501.1,450.5,88.6,530.9,112.9,202.4,266.5,399.4,574.4,180.5,317.5,166.2,228.1,486.9,360.8,560.1,663.7,771.5,349.6,36.6,525.3,429.4,446.9,592.3,396.3,432.6,463.4,365,383.9,539.4,17.5,511.5,435,384.9,263.8,239,300.6,439.7,197.6,65.4,102.3
"SarasotaCounty",200.9,252.7,436.1,214.7,190.7,196,398.6,33.5,147.1,229.8,99,233.6,57.4,216.7,262.8,528.5,219.7,356.1,363.4,217.6,91.1,436,262.3,72.7,106.5,119.6,96.9,67.8,438.8,180.3,401.4,315,256.7,148.2,66.9,337.8,187.9,387.3,287.6,31,161.3,159.2,207.2,293.4,271.6,488.1,120.8,144,142,174.8,94.2,68.3,106.5,211.9,244.3,150.8,511.5,13.9,159.7,128.4,252,260.1,226.9,184.6,313.9,460.1,430.2
"SeminoleCounty",124.4,169.7,359.6,132.9,60.4,215,322,189.1,93,127.7,219.7,157,134.3,151.6,133.5,452,71.5,291,286.8,141.1,162.8,359.5,185.7,109.3,184.9,92.9,114.3,98.6,362.2,103.9,324.8,238.4,180.1,39.5,187.6,261.2,127.3,310.8,211,135,74.4,149.1,249.9,357.7,158,411.5,116.8,19.2,44.7,178.6,106.5,119.5,76.6,95.9,96,125.6,435,159.7,9.6,67,175.4,195.1,150.8,36.3,248.8,383.5,353.6
"SumterCounty",74.3,126,309.5,88,112.6,254,271.9,157.8,37.5,103.1,223.3,106.9,125.6,101.6,136.1,401.9,101.3,240.9,236.7,91,174.8,309.4,135.6,100.6,196.9,38.3,126.3,67.3,312.2,156.1,274.7,188.3,130,31.4,191.3,211.1,77.2,260.7,161,103.8,29.6,185.3,288.9,396.7,145,361.4,150.5,54.6,72.1,217.6,51.9,82.8,75.8,85.3,119.1,164.6,384.9,128.4,67,12.4,125.3,145,100.3,79.7,198.7,333.5,303.5
"SuwanneeCounty",61,58.2,188.4,69.8,227.8,369.2,150.8,281.4,114.3,90.3,346.9,34.5,252.7,52.9,93.6,280.8,155.3,156.1,115.6,40.4,290,188.3,23.5,227.7,312.1,131.6,241.5,190.9,191.1,271.3,153.6,67.2,32.8,139.8,314.8,90,73.3,139.6,39.9,227.3,101.2,300.5,404.1,511.9,102.5,240.4,265.7,169.8,187.3,332.8,152,188.3,203.8,105.4,136.8,279.8,263.8,252,175.4,125.3,13.5,57.4,53.5,166.7,112.6,212.4,182.4
"TaylorCounty",90.3,101.6,163.6,103.3,247.5,388.9,126.1,289.6,124,122.5,355.1,71.3,267.3,46.7,137,256,177.9,100.3,90.9,74.2,309.7,147.8,66.9,242.3,331.8,141.3,261.2,186.4,166.3,291,128.9,42.4,33.7,159.4,323,58.6,82.9,98.2,41.5,235.5,120.9,320.2,423.8,531.6,145.9,215.6,285.4,189.5,207,352.4,161.7,198,223.5,137.8,180.2,299.5,239,260.1,195.1,145,57.4,18.1,90.8,188.5,58.2,187.6,157.6
"UnionCounty",34.5,35.6,225.2,17,184.3,344.2,187.6,256.4,99,37.5,321.9,20.6,227.6,75.1,56.4,317.6,94.6,192.9,152.4,58.5,265,225.1,51.3,202.6,287.1,136.8,216.5,165.9,227.9,227.8,190.4,104,66.3,115.2,289.8,126.8,68.8,176.4,76.7,202.3,76.6,275.5,379.1,486.9,65.3,277.1,240.7,144.8,162.3,307.7,150.4,181.3,178.8,56.2,76.1,254.8,300.6,226.9,150.8,100.3,53.5,90.8,8.1,122.6,149.3,249.2,219.2
"VolusiaCounty",115.7,139.3,364.3,109,72.6,227.1,326.7,214,105.7,97.3,244.6,148.3,159.2,145.1,103.1,456.7,41,284.4,291.5,134.5,187.7,364.2,190.4,134.2,209.9,114.2,139.2,123.5,366.9,116,329.5,243.1,171.4,52.2,212.5,265.9,120.7,315.5,215.7,159.9,75.8,161.2,262,369.8,127.6,416.2,148.1,44.1,69.6,190.7,127.9,144.4,101.5,76.8,65.6,137.7,439.7,184.6,36.3,79.7,166.7,188.5,122.6,19.5,242.2,388.3,358.3
"WakullaCounty",169.4,154.1,101.7,165.7,301.2,442.6,64.1,343.3,177.7,186.2,408.8,130.3,321.1,100.5,189.5,214.6,251.2,45,49.4,128,363.4,92.4,119.4,296.1,385.5,195,314.9,240.1,124.8,344.7,87.4,51.2,85.6,213.2,376.7,29.6,136.7,50.4,76.9,289.2,174.6,373.9,477.5,585.3,198.4,174.1,339.1,243.2,260.7,406.2,215.4,251.7,277.2,191.6,232.6,353.2,197.6,313.9,248.8,198.7,112.6,58.2,149.3,242.2,14,146.2,116.2
"WaltonCounty",269.2,253.9,57.1,265.6,436,577.4,72.3,489.6,307.2,286.1,555.1,230.2,460.8,229.9,289.3,82.4,351,148.6,103.1,251.1,498.2,108.3,219.3,435.8,520.3,324.5,449.7,399.1,37.2,479.5,61.5,151,215.1,348,523,129.1,266.1,114.8,176.7,435.5,309.4,508.7,612.3,720.1,298.2,42,473.9,378,395.5,540.9,344.9,381.2,412,313.6,332.5,488,65.4,460.1,383.5,333.5,212.4,187.6,249.2,388.3,146.2,18.1,50.9
"WashingtonCounty",239.3,223.9,34.6,235.6,406,547.4,49.8,459.6,277.2,256.1,525.1,200.2,430.9,199.9,259.4,119.3,321.1,118.7,73.1,221.1,468.2,85.8,189.3,405.9,490.3,294.5,419.7,369.1,29.6,449.5,31.5,121.1,185.1,318,493,99.1,236.2,84.8,146.7,405.5,279.4,478.7,582.3,690.1,268.2,78.9,443.9,348,365.5,511,314.9,351.2,382,283.7,302.5,458,102.3,430.2,353.6,303.5,182.4,157.6,219.2,358.3,116.2,50.9,12.8
