"County","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"GladesCounty",239,290.7,474.2,252.7,134.3,100.9,436.6,66.5,202.2,267.8,91.6,271.6,66.1,266.2,284.9,566.6,222.9,405.6,401.4,255.7,16.2,474.1,300.3,76.9,27,179.8,49.8,141.8,476.8,95.3,439.4,353,294.7,160,59.5,375.8,241.9,425.4,325.6,113.5,191.1,79,112.2,218.8,309.4,526.1,45.6,147.1,117.7,85,163.8,162.7,107.3,226.2,247.4,73.7,549.6,91.1,162.8,174.8,290,309.7,265,187.7,363.4,498.2,468.2
"GulfCounty",245.1,229.8,51.3,241.5,411.9,553.3,44.2,465.5,267.3,262,531,206.1,436.8,190.1,265.3,169.1,326.9,55.4,79,227,474.1,14.1,195.2,411.8,496.2,284.6,425.6,375,111,455.4,71,126.9,191,323.9,498.9,105,226.3,74.6,152.6,411.4,285.3,484.6,588.2,696,274.1,130.7,449.8,353.9,371.4,516.8,305.1,341.4,387.9,289.5,308.4,463.9,152.1,436,359.5,309.4,188.3,147.8,225.1,364.2,92.4,108.3,85.8
"HamiltonCounty",71.4,56,195.3,67.7,238.1,379.5,157.7,291.7,134.4,88.2,357.2,32.3,263,76,91.5,287.7,153.2,163,122.5,63.5,300.3,195.2,11.7,238,322.4,172.1,251.8,201.2,197.9,281.6,160.5,74.1,42.4,150.1,325.1,96.9,103.5,146.4,34,237.6,111.5,310.8,414.4,522.2,100.3,247.2,276,180.1,197.6,343.1,185.7,216.6,214.1,115.8,134.6,290.1,270.7,262.3,185.7,135.6,23.5,66.9,51.3,190.4,119.4,219.3,189.3
"HardeeCounty",176.7,228.4,411.9,190.4,140.3,173,374.3,56.8,129.3,205.5,110.6,209.3,25.1,198.9,231.4,504.3,169.3,338.3,339.1,193.4,76.9,411.8,238,13,99,106.9,30,68.9,414.5,110.8,377.1,290.7,232.4,106.5,78.5,313.5,170.1,363,263.3,51.6,128.7,117.3,184.2,290.8,255.9,463.8,68.3,93.6,91.6,140.4,90.8,81.9,34.4,172.7,193.9,107.8,487.3,72.7,109.3,100.6,227.7,242.3,202.6,134.2,296.1,435.8,405.9
"HendryCounty",261.1,312.9,496.3,274.9,154.4,97.2,458.7,81.1,224.4,290,88.6,293.8,88.2,288.4,307,588.7,245,427.7,423.5,277.8,27,496.2,322.4,99,17.7,202,72,164,499,115.4,461.6,375.1,316.9,182.1,56.5,398,264,447.5,347.8,133.4,213.3,89.6,108.4,215,331.5,548.3,65.7,169.3,137.8,81.2,185.9,170.8,129.5,248.4,269.6,93.8,571.7,106.5,184.9,196.9,312.1,331.8,287.1,209.9,385.5,520.3,490.3
"HernandoCounty",110.8,162.5,300.5,124.5,131.2,272.5,262.9,149.1,40.8,139.6,214.6,143.4,139.3,97.9,172.6,392.9,135.9,237.2,227.7,93.5,179.8,284.6,172.1,106.9,202,12.5,131.3,45.6,303.1,174.6,265.7,179.3,133.9,62.7,182.5,195.5,69,235.1,167,95,71.2,203.9,287.1,393.7,181.5,352.4,169.1,72.2,90.6,236.1,20.9,57.2,82.1,121.8,155.6,183.1,375.9,119.6,92.9,38.3,131.6,141.3,136.8,114.2,195,324.5,294.5
"HighlandsCounty",190.5,242.2,425.7,204.2,145.4,145.9,388.1,80.2,153.7,219.3,117.7,223.1,48.5,217.8,236.4,518.1,174.4,357.1,352.9,207.2,49.8,425.6,251.8,30,72,131.3,17.1,93.3,428.3,97.5,390.9,304.5,246.2,111.5,85.7,327.3,193.4,376.9,277.1,75.8,142.6,90.3,157.2,263.8,260.9,477.6,41.3,98.6,96.6,113.4,115.3,114.3,58.9,177.7,198.9,80.8,501.1,96.9,114.3,126.3,241.5,261.2,216.5,139.2,314.9,449.7,419.7
"HillsboroughCounty",139.9,191.6,375.1,153.6,129.7,237.9,337.5,97.2,74.6,168.7,162.7,172.5,87.5,142.9,201.7,467.5,158.7,282.3,302.3,138.6,141.8,375,201.2,68.9,164,45.6,93.3,18.3,377.8,138.3,340.3,253.9,178.9,87.1,130.6,240.6,114.1,280.2,226.6,43.2,100.3,171.1,249.1,357.1,210.6,427,133.3,82.9,80.9,203.3,26.6,21.1,45.4,150.9,183.3,150.3,450.5,67.8,98.6,67.3,190.9,186.4,165.9,123.5,240.1,399.1,369.1
"HolmesCounty",247.9,232.6,61.6,244.2,414.7,556,67.4,468.2,285.8,264.7,533.7,208.8,439.5,208.6,268,105.6,329.7,127.3,81.8,229.7,476.8,111,197.9,414.5,499,303.1,428.3,377.8,11.4,458.1,40.1,129.7,193.7,326.6,501.6,107.7,244.8,93.5,155.4,414.2,288.1,487.4,591,698.8,276.9,65.1,452.6,356.6,374.1,519.6,323.6,359.9,390.6,292.3,311.2,466.6,88.6,438.8,362.2,312.2,191.1,166.3,227.9,366.9,124.8,37.2,29.6
"IndianRiverCounty",220.3,244.5,455.5,214.2,50.6,122.7,417.9,155.9,183.5,202.5,184.5,252.9,124.2,247.5,208.3,547.9,146.2,386.9,382.7,237,95.3,455.4,281.6,110.8,115.4,174.6,97.5,138.3,458.1,12.8,420.7,334.3,276,142.7,152.4,357.1,223.2,406.6,306.9,159.2,172.4,56.9,157.7,265.5,232.8,507.4,62.6,104.3,81,86.3,160.2,159.2,95.8,182,170.8,33.3,530.9,180.3,103.9,156.1,271.3,291,227.8,116,344.7,479.5,449.5
