County,Region,Msa
EscambiaCounty,,Pensacola
FlaglerCounty,,PalmCoastDaytonaBeachPortOrange
FranklinCounty,,NA
GadsdenCounty,,Tallahassee
GilchristCounty,,NA
GladesCounty,,NA
GulfCounty,,NA
HamiltonCounty,,NA
HardeeCounty,,NA
HendryCounty,,NA
HernandoCounty,,TampaStPetersburg
HighlandsCounty,,SebringAvonPark
HillsboroughCounty,,TampaStPetersburg
HolmesCounty,,NA
IndianRiverCounty,,Miami
JacksonCounty,,NA
JeffersonCounty,,NA
LafayetteCounty,,NA
LakeCounty,,Orlando
LeeCounty,,SarasotaBradenton
LeonCounty,,Tallahassee
LevyCounty,,NA
LibertyCounty,,NA
MadisonCounty,,NA
ManateeCounty,,SarasotaBradenton
MarionCounty,,Orlando
MartinCounty,,Miami
MiamiDadeCounty,,Miami
MonroeCounty,,NA
NassauCounty,,NA
OkaloosaCounty,,Pensacola
WashingtonCounty,,NA
OkeechobeeCounty,,NA
OrangeCounty,,Orlando
OsceolaCounty,,Orlando
PalmBeachCounty,,Miami
PascoCounty,,TampaStPetersburg
PinellasCounty,,TampaStPetersburg
PolkCounty,,TampaStPetersburg
PutnamCounty,,NA
StJohnsCounty,,Jacksonville
StLucieCounty,,Miami
SantaRosaCounty,,Pensacola
SarasotaCounty,,SarasotaBradenton
SeminoleCounty,,Orlando
SumterCounty,,Orlando
SuwanneeCounty,,NA
TaylorCounty,,NA
UnionCounty,,NA
VolusiaCounty,,PalmCoastDaytonaBeachPortOrange
AlachuaCounty,,Gainesville
WaltonCounty,,Pensacola
BayCounty,,Pensacola
WakullaCounty,,NA
BrevardCounty,,Miami
BradfordCounty,,NA
BrowardCounty,,Miami
CalhounCounty,,NA
CharlotteCounty,,SarasotaBradenton
CitrusCounty,,Orlando
ClayCounty,,Jacksonville
CollierCounty,,SarasotaBradenton
ColumbiaCounty,,NA
DeSotoCounty,,SarasotaBradenton
BakerCounty,,NA
DixieCounty,,NA
DuvalCounty,,Jacksonville
