"FAFZone","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"11",433.64,418.31,275.79,429.99,600.42,741.79,257.82,653.98,481.46,450.49,719.48,394.59,625.27,397.99,453.77,245.26,515.44,320.3,274.76,420.94,662.58,301.39,357.66,600.27,684.73,498.14,614.09,563.49,220.66,643.87,232.53,318.14,386.71,512.37,687.4,300.72,438.77,286.49,347.92,601.66,473.81,673.11,776.7,884.49,430.84,239.34,638.31,542.39,559.87,705.35,519.76,557.97,576.4,478.05,496.9,652.4,234,624.55,547.97,497.9,380.41,355.68,413.59,552.67,317.85,236.18,235.89
"12",386.8,371.45,183,383.15,553.6,694.95,206.35,607.15,424.75,403.65,672.65,347.75,578.45,347.5,406.95,49.55,468.6,266.25,220.7,368.65,615.75,218.3,336.85,553.45,637.9,442.05,567.25,516.65,154.75,597.05,179.05,268.65,332.65,465.55,640.55,246.65,383.7,232.4,294.3,554.825,426.95,626.3,729.85,837.65,415.8,102.75,591.5,495.55,513.05,658.55,462.5,498.8,529.55,431.2,450.05,605.55,70.45,577.75,501.15,451.05,329.95,305.2,366.75,505.85,263.75,131.6,168.55
"19",403.98,388.638181818182,248.054545454545,400.32,570.76,712.121818181818,238.683636363636,624.307272727273,449.638181818182,420.821818181818,689.82,364.92,595.587272727273,372.330909090909,424.087272727273,217.232727272727,485.78,300.905454545455,252.236363636364,389.249090909091,632.914545454546,280.074545454545,334.245454545455,570.587272727273,655.069090909091,468.72,584.42,533.829090909091,198.321818181818,614.203636363636,213.254545454545,292.030909090909,356.727272727273,482.7,657.729090909091,276.590909090909,409.054545454545,267.089090909091,317.830909090909,572.002727272727,444.152727272727,643.458181818182,747.047272727273,854.827272727273,416.581818181818,210.130909090909,608.654545454545,512.721818181818,530.214545454545,675.694545454545,490.889090909091,526.076363636364,546.729090909091,448.376363636364,467.241818181818,622.729090909091,206.767272727273,594.890909090909,518.303636363636,468.241818181818,350.2,329.223636363636,383.929090909091,523.005454545455,293.907272727273,209.509090909091,214.972727272727
"20",1533.66206896552,1523.61379310345,1458.58275862069,1531.2724137931,1642.93448275862,1735.55172413793,1446.8,1678.01724137931,1574.94827586207,1544.70344827586,1720.94482758621,1508.07586206897,1659.20344827586,1536.73103448276,1546.84137931034,1493.28965517241,1587.25517241379,1487.74482758621,1457.91724137931,1528.51724137931,1683.66206896552,1475.35172413793,1490.35862068966,1642.82413793103,1698.17586206897,1599.67586206897,1651.88620689655,1618.74137931034,1422.45517241379,1671.39310344828,1430.24137931034,1488.09655172414,1514.69655172414,1585.23793103448,1699.91724137931,1474.91379310345,1554.71034482759,1465.58965517241,1486.8275862069,1643.74655172414,1559.98965517241,1690.56206896552,1758.43103448276,1829.05172413793,1570.35172413793,1433.58620689655,1667.76551724138,1604.91379310345,1616.3724137931,1711.68275862069,1608.61379310345,1628.84827586207,1627.19310344828,1562.75517241379,1575.11034482759,1676.98620689655,1430.08275862069,1658.74482758621,1608.56551724138,1575.76551724138,1502.33448275862,1506.40689655172,1520.5275862069,1611.64482758621,1486.13103448276,1432.63448275862,1432.43793103448
"41",2006.8,1991.4,1802.95,2003.1,2173.5,2314.9,1826.3,2227.1,2044.7,2023.6,2292.6,1967.7,2198.4,1967.45,2026.9,1669.5,2088.6,1886.2,1840.6,1988.6,2235.7,1838.3,1956.8,2173.4,2257.8,2062,2187.2,2136.6,1774.7,2217,1799,1888.6,1952.6,2085.5,2260.5,1866.6,2003.65,1852.35,1914.2,2174.75,2046.9,2246.2,2349.8,2457.6,2035.7,1722.7,2211.4,2115.5,2133,2278.5,2082.4,2118.7,2149.5,2051.15,2070,2225.5,1690.4,2197.7,2121.1,2071,1949.9,1925.1,1986.7,2125.8,1883.7,1751.55,1788.5
"42",1928.55,1913.2,1724.75,1924.9,2095.3,2236.7,1748.1,2148.9,1966.5,1945.4,2214.4,1889.5,2120.15,1889.25,1948.65,1591.3,2010.35,1807.95,1762.4,1910.4,2157.5,1760.05,1878.6,2095.15,2179.6,1983.8,2109,2058.4,1696.5,2138.8,1720.8,1810.35,1874.4,2007.3,2182.3,1788.4,1925.45,1774.15,1836,2096.55,1968.7,2168,2271.6,2379.4,1957.55,1644.5,2133.2,2037.3,2054.8,2200.25,2004.25,2040.5,2071.3,1972.95,1991.8,2147.3,1612.15,2119.45,2042.9,1992.8,1871.7,1846.95,1908.5,2047.6,1805.5,1673.35,1710.25
"49",1967.13636363636,1951.81818181818,1763.33636363636,1963.49090909091,2133.91818181818,2275.29090909091,1786.66363636364,2187.49090909091,2005.09090909091,1983.99090909091,2252.99090909091,1928.09090909091,2158.75454545455,1927.83636363636,1987.25454545455,1629.89090909091,2048.95454545455,1846.55454545455,1801.02727272727,1948.99090909091,2196.09090909091,1798.63636363636,1917.16363636364,2133.75454545455,2218.22727272727,2022.4,2147.59090909091,2097,1735.10909090909,2177.36363636364,1759.39090909091,1848.95454545455,1912.99090909091,2045.86363636364,2220.9,1826.99090909091,1964.04545454545,1812.73636363636,1874.62727272727,2135.16818181818,2007.32727272727,2206.61818181818,2310.20909090909,2418.00909090909,1996.13636363636,1683.09090909091,2171.82727272727,2075.89090909091,2093.38181818182,2238.85454545455,2042.83636363636,2079.11818181818,2109.9,2011.54545454545,2030.41818181818,2185.9,1650.75454545455,2158.05454545455,2081.47272727273,2031.41818181818,1910.31818181818,1885.53636363636,1947.1,2086.17272727273,1844.1,1711.93636363636,1748.85454545455
"50",838.096666666667,822.757333333333,658.692,834.439333333333,1004.86333333333,1146.23533333333,655.417333333334,1058.422,876.026,854.939333333333,1123.94066666667,799.040666666667,1029.70733333333,798.790666666667,858.208666666667,541.731333333333,919.898,717.506,671.963333333333,819.939333333333,1067.026,688.93,762.162666666666,1004.70733333333,1089.174,893.35,1018.54066666667,967.951333333333,613.601333333334,1048.31333333333,629.502,719.908666666667,783.939333333333,916.813333333334,1091.85133333333,697.924666666667,834.998,683.691333333333,745.566,1006.11133333333,878.263333333333,1077.566,1181.15933333333,1288.94866666667,827.643333333333,594.45,1042.762,946.838,964.326,1109.80466666667,913.783333333333,950.066,980.85,882.498,901.361333333334,1056.85133333333,562.59,1029.00733333333,952.416666666667,902.361333333334,781.263333333333,756.489333333334,818.048666666667,957.118666666667,715.048666666667,608.884,628.278
"61",2390.38,2375.04,2186.58,2386.7,2557.16,2698.5,2209.88,2610.68,2428.3,2407.2,2676.2,2351.32,2581.98,2351.08,2410.48,2053.12,2472.18,2269.78,2224.26,2372.2,2619.3,2221.88,2340.38,2556.98,2641.46,2445.62,2570.82,2520.22,2158.34,2600.58,2182.62,2272.18,2336.2,2469.08,2644.12,2250.18,2387.28,2235.98,2297.86,2558.41,2430.56,2629.86,2733.44,2841.22,2419.38,2106.32,2595.06,2499.12,2516.6,2662.08,2466.08,2502.36,2533.12,2434.78,2453.66,2609.12,2073.98,2581.28,2504.68,2454.66,2333.56,2308.78,2370.32,2509.38,2267.32,2135.18,2172.08
"62",2751.61428571429,2736.3,2543.55714285714,2747.97142857143,2918.4,3059.75714285714,2566.87142857143,2971.94285714286,2793.11428571429,2768.47142857143,3037.47142857143,2712.55714285714,2943.21428571429,2708.05714285714,2771.71428571429,2410.1,2833.41428571429,2626.75714285714,2581.24285714286,2734.94285714286,2980.54285714286,2578.85714285714,2715.64285714286,2918.21428571429,3002.7,2813.37142857143,2932.05714285714,2881.47142857143,2515.32857142857,2961.82857142857,2539.6,2629.15714285714,2701.07142857143,2830.32857142857,3005.37142857143,2607.18571428571,2753.54285714286,2592.95714285714,2662.1,2919.64285714286,2791.8,2991.1,3094.68571428571,3202.47142857143,2799.04285714286,2463.28571428571,2956.3,2860.37142857143,2877.85714285714,3023.31428571429,2832.84285714286,2868.35714285714,2894.37142857143,2796.01428571429,2814.88571428571,2970.37142857143,2430.95714285714,2942.51428571429,2865.91428571429,2815.88571428571,2696.08571428571,2665.75714285714,2731.57142857143,2870.62857142857,2624.3,2492.15714285714,2529.05714285714
