Value,Area,Fwy,Art,Other
BusVmt,Gainesville,,,
TruckVmt,Gainesville,,,
BusVmt,Jacksonville,,,
TruckVmt,Jacksonville,,,
BusVmt,Miami,,,
TruckVmt,Miami,,,
BusVmt,Orlando,,,
TruckVmt,Orlando,,,
BusVmt,PalmCoastDaytonaBeachPortOrange,,,
TruckVmt,PalmCoastDaytonaBeachPortOrange,,,
BusVmt,Pensacola,,,
TruckVmt,Pensacola,,,
BusVmt,SarasotaBradenton,,,
TruckVmt,SarasotaBradenton,,,
BusVmt,SebringAvonPark,,,
TruckVmt,SebringAvonPark,,,
BusVmt,Tallahassee,,,
TruckVmt,Tallahassee,,,
BusVmt,TampaStPetersburg,,,
TruckVmt,TampaStPetersburg,,,
