Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Access,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
