Msa,Fwy,Art
Bloomington,0,0
Chicago,0,0
Cincinnati,0,0
Evansville,0,0
FortWayne,0,0
Indianapolis,0,0
Kokomo,0,0
Lafayette,0,0
LouisvilleJeffersonCounty,0,0
SouthBend,0,0
TerreHaute,0,0
