County,Metropolitan,Town
AdamsCounty,1,1
AntelopeCounty,1,1
ArthurCounty,1,1
BannerCounty,1,1
BlaineCounty,1,1
BooneCounty,1,1
BoxButteCounty,1,1
BoydCounty,1,1
BrownCounty,1,1
BuffaloCounty,1,1
BurtCounty,1,1
ButlerCounty,1,1
CassCounty,1,1
CedarCounty,1,1
ChaseCounty,1,1
CherryCounty,1,1
CheyenneCounty,1,1
ClayCounty,1,1
ColfaxCounty,1,1
CumingCounty,1,1
CusterCounty,1,1
DakotaCounty,1,1
DawesCounty,1,1
DawsonCounty,1,1
DeuelCounty,1,1
DixonCounty,1,1
DodgeCounty,1,1
DouglasCounty,1,1
DundyCounty,1,1
FillmoreCounty,1,1
FranklinCounty,1,1
FrontierCounty,1,1
FurnasCounty,1,1
GageCounty,1,1
GardenCounty,1,1
GarfieldCounty,1,1
GosperCounty,1,1
GrantCounty,1,1
GreeleyCounty,1,1
HallCounty,1,1
HamiltonCounty,1,1
HarlanCounty,1,1
HayesCounty,1,1
HitchcockCounty,1,1
HoltCounty,1,1
HookerCounty,1,1
HowardCounty,1,1
JeffersonCounty,1,1
JohnsonCounty,1,1
KearneyCounty,1,1
KeithCounty,1,1
KeyaPahaCounty,1,1
KimballCounty,1,1
KnoxCounty,1,1
LancasterCounty,1,1
LincolnCounty,1,1
LoganCounty,1,1
LoupCounty,1,1
MadisonCounty,1,1
McPhersonCounty,1,1
MerrickCounty,1,1
MorrillCounty,1,1
NanceCounty,1,1
NemahaCounty,1,1
NuckollsCounty,1,1
OtoeCounty,1,1
PawneeCounty,1,1
PerkinsCounty,1,1
PhelpsCounty,1,1
PierceCounty,1,1
PlatteCounty,1,1
PolkCounty,1,1
RedWillowCounty,1,1
RichardsonCounty,1,1
RockCounty,1,1
SalineCounty,1,1
SarpyCounty,1,1
SaundersCounty,1,1
ScottsBluffCounty,1,1
SewardCounty,1,1
SheridanCounty,1,1
ShermanCounty,1,1
SiouxCounty,1,1
StantonCounty,1,1
ThayerCounty,1,1
ThomasCounty,1,1
ThurstonCounty,1,1
ValleyCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WebsterCounty,1,1
WheelerCounty,1,1
YorkCounty,1,1
