"County","Metropolitan","Town","Rural"
"AdamsCounty",0,0,1
"AshlandCounty",0,0.4514,0.5486
"BarronCounty",0,0.3407,0.6593
"BayfieldCounty",0,0,1
"BrownCounty",0.8322,0.0229,0.1449
"BuffaloCounty",0,0,1
"BurnettCounty",0,0,1
"CalumetCounty",0.5197,0.205,0.2753
"ChippewaCounty",0.4298,0.1088,0.4614
"ClarkCounty",0,0.0827,0.9173
"ColumbiaCounty",0,0.3933,0.6067
"CrawfordCounty",0,0.3758,0.6242
"DaneCounty",0.823,0.0537,0.1233
"DodgeCounty",0,0.5136,0.4864
"DoorCounty",0,0.3101,0.6899
"DouglasCounty",0.6124,0,0.3876
"DunnCounty",0,0.4069,0.5931
"EauClaireCounty",0.77,0,0.23
"FlorenceCounty",0,0,1
"FondduLacCounty",0.5369,0.1118,0.3513
"ForestCounty",0,0,1
"GrantCounty",0,0.3551,0.6449
"GreenCounty",0,0.3978,0.6022
"GreenLakeCounty",0,0.2567,0.7433
"IowaCounty",0,0.2008,0.7992
"IronCounty",0,0.322,0.678
"JacksonCounty",0,0.2776,0.7224
"JeffersonCounty",0.026,0.6335,0.3405
"JuneauCounty",0,0.1651,0.8349
"KenoshaCounty",0.8928,0,0.1072
"KewauneeCounty",0,0.2767,0.7233
"LaCrosseCounty",0.8317,0,0.1683
"LafayetteCounty",0,0,1
"LangladeCounty",0,0.4084,0.5916
"LincolnCounty",0,0.4595,0.5405
"ManitowocCounty",0,0.6114,0.3886
"MarathonCounty",0.5567,0.0134,0.4299
"MarinetteCounty",0,0.3817,0.6183
"MarquetteCounty",0,0,1
"MenomineeCounty",0,0,1
"MilwaukeeCounty",0.9981,0,0.0019
"MonroeCounty",0,0.4233,0.5767
"OcontoCounty",0.0035,0.1831,0.8134
"OneidaCounty",0,0.2503,0.7497
"OutagamieCounty",0.7243,0.0283,0.2474
"OzaukeeCounty",0.7511,0,0.2489
"PepinCounty",0,0,1
"PierceCounty",0,0.4635,0.5365
"PolkCounty",0,0.1453,0.8547
"PortageCounty",0,0.6397,0.3603
"PriceCounty",0,0,1
"RacineCounty",0.7211,0.1561,0.1228
"RichlandCounty",0,0.2786,0.7214
"RockCounty",0.7159,0.0799,0.2042
"RuskCounty",0,0.2338,0.7662
"StCroixCounty",0.0033,0.465,0.5317
"SaukCounty",0,0.5385,0.4615
"SawyerCounty",0,0.158,0.842
"ShawanoCounty",0,0.2561,0.7439
"SheboyganCounty",0.6174,0.0998,0.2828
"TaylorCounty",0,0.1956,0.8044
"TrempealeauCounty",0,0.1039,0.8961
"VernonCounty",0.0055,0.1376,0.8569
"VilasCounty",0,0,1
"WalworthCounty",0.0658,0.5922,0.342
"WashburnCounty",0,0.168,0.832
"WashingtonCounty",0.6922,0,0.3078
"WaukeshaCounty",0.8535,0.0479,0.0986
"WaupacaCounty",0,0.3506,0.6494
"WausharaCounty",0,0.105,0.895
"WinnebagoCounty",0.8237,0.042,0.1343
"WoodCounty",0,0.6332,0.3668
