County,Region,Msa
ForestCounty,,NA
GrantCounty,,NA
GreenCounty,,NA
GreenLakeCounty,,NA
IowaCounty,,NA
IronCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,Milwaukee
JuneauCounty,,NA
KenoshaCounty,,Milwaukee
KewauneeCounty,,NA
LaCrosseCounty,,LaCrosse
LafayetteCounty,,NA
LangladeCounty,,NA
LincolnCounty,,NA
ManitowocCounty,,NA
MarathonCounty,,Wausau
MarinetteCounty,,NA
MarquetteCounty,,NA
MenomineeCounty,,NA
MilwaukeeCounty,,Milwaukee
MonroeCounty,,NA
OcontoCounty,,GreenBay
OneidaCounty,,NA
WashburnCounty,,NA
OutagamieCounty,,Appleton
ChippewaCounty,,EauClaire
OzaukeeCounty,,Milwaukee
PepinCounty,,NA
PierceCounty,,NA
PolkCounty,,NA
PortageCounty,,NA
PriceCounty,,NA
RacineCounty,,Milwaukee
RichlandCounty,,NA
RockCounty,,Janesville
RuskCounty,,NA
StCroixCounty,,MinneapolisStPaul
WaukeshaCounty,,Milwaukee
SaukCounty,,NA
SawyerCounty,,NA
ShawanoCounty,,NA
SheboyganCounty,,Sheboygan
TaylorCounty,,NA
TrempealeauCounty,,NA
VernonCounty,,LaCrosse
VilasCounty,,NA
WalworthCounty,,Milwaukee
AdamsCounty,,NA
AshlandCounty,,NA
BarronCounty,,NA
BayfieldCounty,,NA
BrownCounty,,GreenBay
WaupacaCounty,,NA
WinnebagoCounty,,Appleton
WoodCounty,,NA
CalumetCounty,,Appleton
BuffaloCounty,,NA
WashingtonCounty,,Milwaukee
BurnettCounty,,NA
ColumbiaCounty,,NA
CrawfordCounty,,NA
DaneCounty,,Madison
DodgeCounty,,NA
WausharaCounty,,NA
DoorCounty,,NA
DouglasCounty,,Duluth
DunnCounty,,NA
EauClaireCounty,,EauClaire
ClarkCounty,,NA
FlorenceCounty,,NA
FondduLacCounty,,Appleton
