Msa,DvmtFactor
Duluth,0.70
Sheboygan,0.75
LaCrosse,0.75
EauClaire,0.75
GreenBay,0.80
Appleton,0.80
Madison,0.80
Wausau,0.75
Milwaukee,1.00
Janesville,0.75
MinneapolisStPaul,0.70
