"County","Density"
"AdamsCounty",32.3
"AshlandCounty",8.5
"BarronCounty",35.5
"BayfieldCounty",10.2
"BrownCounty",85.2
"BuffaloCounty",20.2
"BurnettCounty",18.8
"CalumetCounty",45.2
"ChippewaCounty",29.6
"ClarkCounty",26.3
"ColumbiaCounty",45.8
"CrawfordCounty",18.3
"DaneCounty",58.3
"DodgeCounty",50.4
"DoorCounty",40.2
"DouglasCounty",13.3
"DunnCounty",31
"EauClaireCounty",37.8
"FlorenceCounty",9.1
"FondduLacCounty",52.1
"ForestCounty",9.2
"GrantCounty",29
"GreenCounty",38.4
"GreenLakeCounty",40.8
"IowaCounty",24.9
"IronCounty",5.3
"JacksonCounty",15
"JeffersonCounty",53.9
"JuneauCounty",29.1
"KenoshaCounty",87.7
"KewauneeCounty",43.9
"LaCrosseCounty",47.8
"LafayetteCounty",26.6
"LangladeCounty",13.6
"LincolnCounty",17.9
"ManitowocCounty",56.3
"MarathonCounty",38.5
"MarinetteCounty",18.6
"MarquetteCounty",33.8
"MenomineeCounty",11.8
"MilwaukeeCounty",106.2
"MonroeCounty",28.9
"OcontoCounty",30.8
"OneidaCounty",24.4
"OutagamieCounty",76.4
"OzaukeeCounty",112.8
"PepinCounty",32.2
"PierceCounty",39
"PolkCounty",41.6
"PortageCounty",32.5
"PriceCounty",11.3
"RacineCounty",92.8
"RichlandCounty",22.3
"RockCounty",49.8
"RuskCounty",12.4
"StCroixCounty",64.2
"SaukCounty",35.2
"SawyerCounty",11.1
"ShawanoCounty",35.2
"SheboyganCounty",69.2
"TaylorCounty",17.1
"TrempealeauCounty",35.3
"VernonCounty",32.3
"VilasCounty",25
"WalworthCounty",69
"WashburnCounty",16.6
"WashingtonCounty",109.5
"WaukeshaCounty",136.2
"WaupacaCounty",46.2
"WausharaCounty",35.1
"WinnebagoCounty",60.5
"WoodCounty",36
