"FAFZone","AdamsCounty","AshlandCounty","BarronCounty","BayfieldCounty","BrownCounty","BuffaloCounty","BurnettCounty","CalumetCounty","ChippewaCounty","ClarkCounty","ColumbiaCounty","CrawfordCounty","DaneCounty","DodgeCounty","DoorCounty","DouglasCounty","DunnCounty","EauClaireCounty","FlorenceCounty","FondduLacCounty","ForestCounty","GrantCounty","GreenCounty","GreenLakeCounty","IowaCounty","IronCounty","JacksonCounty","JeffersonCounty","JuneauCounty","KenoshaCounty","KewauneeCounty","LaCrosseCounty","LafayetteCounty","LangladeCounty","LincolnCounty","ManitowocCounty","MarathonCounty","MarinetteCounty","MarquetteCounty","MenomineeCounty","MilwaukeeCounty","MonroeCounty","OcontoCounty","OneidaCounty","OutagamieCounty","OzaukeeCounty","PepinCounty","PierceCounty","PolkCounty","PortageCounty","PriceCounty","RacineCounty","RichlandCounty","RockCounty","RuskCounty","StCroixCounty","SaukCounty","SawyerCounty","ShawanoCounty","SheboyganCounty","TaylorCounty","TrempealeauCounty","VernonCounty","VilasCounty","WalworthCounty","WashburnCounty","WashingtonCounty","WaukeshaCounty","WaupacaCounty","WausharaCounty","WinnebagoCounty","WoodCounty"
"11",864.57,1067.02,1015.84,1100.36,896.13,984.1,1070.58,863.84,984.01,958.34,815.63,902.93,793.5,837.8,947.65,1097.1,991.7,959.69,1018.69,843.21,996.9,854.9,784.19,875.34,834.79,1039.5,916.91,783.52,868.51,745.63,915.95,924.56,803.15,973.25,954.99,860.89,928.9,956.2,847.73,938.29,781.1,890.53,943.78,989.12,888.75,801.4,984.86,1009.8,1048.34,889.9,1014.65,757.75,857.46,756.1,1008.89,1026.78,839.79,1055.81,934.3,836.5,981.78,946,889.19,1016.75,770.77,1047.02,811.53,795.45,909.28,877.18,867.79,902.79
"12",1064.9,1267.35,1216.2,1300.7,1101.6,1184.45,1270.9,1069.3,1184.35,1158.7,1015.95,1088.55,993.85,1034.5,1153.1,1297.4,1192.05,1160,1224.15,1048.7,1202.35,1040.55,984.5,1075.1,1035.1,1239.8,1117.25,983.85,1068.85,951.1,1121.45,1124.9,1009.65,1178.6,1155.3,1066.35,1129.2,1161.65,1048.05,1143.75,986.55,1090.85,1149.25,1189.45,1094.25,1006.85,1185.2,1194.225,1248.7,1090.2,1214.95,963.2,1057.8,956.4,1209.2,1227.1,1040.1,1256.15,1139.75,1041.95,1182.1,1146.3,1102.5,1217.05,980.35,1247.35,1017,1000.95,1114.75,1077.5,1073.25,1103.1
"19",921.729090909091,1124.20181818182,1073.00727272727,1157.52,952.245454545455,1041.26909090909,1127.73090909091,919.943636363636,1041.17090909091,1015.50727272727,872.803636363636,952.305454545455,850.669090909091,888.96,1003.75636363636,1154.25090909091,1048.87636363636,1016.83818181818,1074.78545454545,899.330909090909,1052.99454545455,904.281818181818,841.338181818182,926.82,891.943636363636,1096.66727272727,974.092727272727,840.690909090909,925.681818181818,801.747272727273,972.049090909091,981.72,860.314545454546,1028.15272727273,1012.14909090909,916.987272727273,986.063636363636,1012.31272727273,904.9,994.394545454545,837.194545454545,947.7,999.870909090909,1046.29272727273,944.849090909091,857.501818181818,1042.01818181818,1066.95272727273,1105.50727272727,947.061818181818,1071.81272727273,813.849090909091,914.621818181818,813.267272727273,1066.04,1083.92727272727,896.943636363636,1112.98,990.412727272727,892.601818181818,1038.94,1003.15454545455,946.336363636364,1073.91272727273,828.356363636364,1104.19090909091,867.641818181818,851.547272727273,965.370909090909,934.327272727273,923.892727272727,959.945454545455
"20",738.710344827586,593.565517241379,638.737931034483,569.837931034483,784.144827586207,672.179310344828,627.637931034483,801.965517241379,669.26724137931,699.706896551724,763.872413793103,752.024137931034,776.110344827586,788.306896551724,821.886206896552,552.448275862069,646.748275862069,663.362068965517,681.1,786.110344827586,742.341379310345,757.013793103448,793.679310344828,765.437931034483,773.113793103448,614.972413793103,691.672413793103,794.013793103448,725.631034482759,840.751724137931,801.11724137931,706.062068965517,791.189655172414,755.448275862069,739.955172413793,807.686206896552,720.324137931035,800.372413793103,752.631034482759,767.603448275862,818.806896551724,716.113793103448,780.493103448276,652.375862068966,782.965517241379,813.731034482759,654.958620689655,634.031034482759,619.765517241379,738.148275862069,628.410344827586,834.268965517241,752.696551724138,799.520689655172,663.068965517241,628.165517241379,752.5,595.858620689655,755.058620689655,806.748275862069,705.648275862069,691.841379310345,730.644827586207,652.848275862069,814.558620689655,644.658620689655,805.513793103448,808.910344827586,766.227586206896,756.251724137931,780.441379310345,719.710344827586
"41",1893.8,1978.25,1870.35,1969.15,1980.75,1808.05,1875.75,1948.45,1875.2,1879.35,1873.45,1758.05,1851.35,1868.75,2032.25,1949.25,1840.85,1839.7,2066.55,1914,2024.65,1763.05,1796.55,1912.25,1784.1,2014.55,1859.75,1841.35,1866.85,1830.25,2000.55,1808.45,1768.45,1986.55,1962.9,1945.45,1932.95,2040.85,1905.55,2003.5,1865.7,1839.25,2011.15,1997.05,1953.95,1886,1803.25,1797.15,1841.15,1920.85,1958.45,1842.35,1796.55,1813.9,1915.6,1812.45,1829.85,1929.85,1981.45,1921.1,1910.55,1828.35,1795.25,2024.65,1827.35,1892.55,1887.65,1865.75,1957.25,1920.55,1933,1899.6
"42",1877.95,1962.4,1854.45,1953.325,1964.9,1792.2,1859.95,1932.6,1859.375,1863.5,1857.6,1742.2,1835.45,1852.9,2016.4,1933.35,1824.975,1823.85,2050.75,1898.15,2008.8,1747.15,1780.75,1896.45,1768.25,1998.7,1843.9,1825.475,1850.975,1814.4,1984.7,1792.65,1752.6,1970.7,1947.05,1929.65,1917.1,2024.95,1889.7,1987.65,1849.85,1823.45,1995.325,1981.2,1938.1,1870.15,1787.4,1781.275,1825.3,1904.95,1942.6,1826.5,1780.7,1798.05,1899.75,1796.65,1814.05,1914.025,1965.6,1905.25,1894.7,1812.45,1779.45,2008.8,1811.5,1876.7,1871.8,1849.9,1941.45,1904.75,1917.15,1883.75
"49",1827.16818181819,1911.61363636364,1803.69545454546,1902.53181818181,1910.44090909091,1741.42272727272,1809.15,1879.35909090909,1808.58636363636,1812.72272727273,1803.79545454545,1691.39545454545,1779.66363636364,1803.55,1968.12272727273,1882.58636363637,1774.19545454546,1773.05909090909,1999.95909090909,1844.35909090909,1957.99545454546,1696.39545454545,1729.95,1848.44090909091,1717.45909090909,1947.89545454545,1793.09545454546,1781.29545454545,1800.19545454546,1772.92272727272,1936.43181818181,1741.83181818181,1701.80454545454,1919.92272727272,1896.26818181818,1886.15909090909,1866.29545454545,1970.6,1839.35,1936.82272727272,1806.01363636363,1772.65909090909,1941.53181818181,1930.39545454545,1884.30454545454,1826.68636363637,1736.64090909091,1730.49545454546,1774.52272727272,1854.19545454546,1891.82272727272,1783.97727272728,1729.92272727272,1753.87727272727,1848.95909090909,1745.85,1763.25909090909,1863.23181818182,1914.82272727272,1861.77727272727,1843.89545454545,1761.68181818182,1728.65,1958.02272727272,1767.32272727272,1825.89545454545,1827.62272727273,1805.71363636364,1890.65,1853.95,1863.35909090909,1832.96818181819
"50",799.014,980.467333333333,901.73,995.014,855.025333333333,841.718,916.948666666667,822.725333333334,889.729333333333,874.474666666667,749.234,746.406,726.906666666667,744.336,906.531333333333,981.595333333333,870.604666666667,861.574,977.566,794.945333333334,951.634666666667,720.640666666667,717.576666666667,787.896,726.074,969.225333333334,840.582666666666,716.925333333334,801.230666666667,704.724666666667,874.832,822.548666666667,699.74,896.944,888.396,819.768666666667,862.105333333333,915.097333333333,781.137333333334,887.565333333333,739.984666666667,815.616,894.202,922.526666666666,838.014,760.292,841.019333333333,823.276666666667,882.664,823.302666666666,939.121333333333,716.633333333333,771.206,689.706,920.747333333333,855.398666666667,771.110666666666,953.508666666667,883.574666666666,795.388,900.288666666667,848.396666666667,772.824666666667,950.146666666667,703.154,927.652666666667,765.69,746.954,846.548666666667,810.566,817.066666666666,835.312
"61",2043.56,2128.02,2020.1,2118.92,2110.42,1957.82,2025.52,2084.82,2024.97,2029.12,2006.72,1907.82,1973.42,2026.46,2174.02,2099,1990.62,1989.46,2216.34,2047.26,2174.42,1912.8,1946.34,2077.36,1933.86,2164.32,2009.52,2028.12,2016.62,2047.02,2142.32,1958.22,1918.22,2136.32,2112.66,2140.02,2082.7,2170.86,2057.82,2153.06,2056.42,1989.04,2144.42,2146.82,2087.22,2080.56,1953.02,1946.9,1990.92,2070.6,2108.22,2047.52,1946.32,2000.68,2065.34,1962.24,1979.64,2079.62,2131.22,2115.66,2060.32,1978.08,1945.02,2174.42,2014.12,2042.32,2074.42,2052.52,2107.02,2070.34,2066.26,2049.36
"62",2052.07142857143,2023.41428571429,2028.58571428571,1987.2,2118.9,1966.3,2034.04285714286,2093.3,2033.48571428571,2037.61428571429,2015.2,1916.3,1981.94285714286,2034.97142857143,2182.5,1960.67142857143,1999.1,1997.97142857143,2224.87142857143,2055.75714285714,2182.9,1921.28571428571,1954.85714285714,2085.87142857143,1942.37142857143,2056.08571428571,2018,2036.6,2025.1,2055.5,2150.8,1966.71428571429,1926.7,2144.8,2121.17142857143,2148.54285714286,2091.2,2179.38571428571,2066.3,2161.57142857143,2064.9,1997.57142857143,2152.91428571429,2155.3,2095.7,2089.07142857143,1961.54285714286,1955.4,1999.41428571429,2079.08571428571,2116.71428571429,2056,1954.8,2009.17142857143,2073.87142857143,1970.75714285714,1988.15714285714,2088.14285714286,2139.71428571429,2124.17142857143,2068.78571428571,1986.58571428571,1953.54285714286,2182.91428571429,2022.61428571429,2050.8,2082.91428571429,2061,2115.54285714286,2078.85714285714,2074.75714285714,2057.87142857143
