"County","Metropolitan","Town","Rural"
"AndersonCounty",0,0.3294,0.6706
"AndrewsCounty",0,0.835,0.165
"AngelinaCounty",0,0.5692,0.4308
"AransasCounty",0,0.7274,0.2726
"ArcherCounty",0.1101,0,0.8899
"ArmstrongCounty",0,0,1
"AtascosaCounty",0,0.3929,0.6071
"AustinCounty",0,0.3366,0.6634
"BaileyCounty",0,0.7125,0.2875
"BanderaCounty",0,0,1
"BastropCounty",0,0.3615,0.6385
"BaylorCounty",0,0,1
"BeeCounty",0,0.5702,0.4298
"BellCounty",0.8459,0.0023,0.1519
"BexarCounty",0.9529,0.0017,0.0454
"BlancoCounty",0,0,1
"BordenCounty",0,0,1
"BosqueCounty",0,0.1878,0.8122
"BowieCounty",0.5627,0.083,0.3542
"BrazoriaCounty",0.7247,0.05,0.2253
"BrazosCounty",0.8794,0,0.1206
"BrewsterCounty",0,0.6513,0.3487
"BriscoeCounty",0,0,1
"BrooksCounty",0,0.6824,0.3176
"BrownCounty",0,0.596,0.404
"BurlesonCounty",0,0.2334,0.7666
"BurnetCounty",0,0.4433,0.5567
"CaldwellCounty",0.1117,0.4654,0.4229
"CalhounCounty",0,0.5527,0.4473
"CallahanCounty",0,0.2782,0.7218
"CameronCounty",0.8681,0.0477,0.0842
"CampCounty",0,0.3852,0.6148
"CarsonCounty",0,0.048,0.952
"CassCounty",0,0.2599,0.7401
"CastroCounty",0,0.5424,0.4576
"ChambersCounty",0.363,0.1798,0.4572
"CherokeeCounty",2e-04,0.3693,0.6305
"ChildressCounty",0,0.6685,0.3315
"ClayCounty",0,0.254,0.746
"CochranCounty",0,0,1
"CokeCounty",0,0,1
"ColemanCounty",0,0.4845,0.5155
"CollinCounty",0.9335,0.0141,0.0524
"CollingsworthCounty",0,0,1
"ColoradoCounty",0,0.3739,0.6261
"ComalCounty",0.4899,0.0486,0.4615
"ComancheCounty",0,0.2854,0.7146
"ConchoCounty",0,0,1
"CookeCounty",0,0.4097,0.5903
"CoryellCounty",0.6027,0.2031,0.1942
"CottleCounty",0,0,1
"CraneCounty",0,0.893,0.107
"CrockettCounty",0,0.7725,0.2275
"CrosbyCounty",0,0,1
"CulbersonCounty",0,0,1
"DallamCounty",0,0.7646,0.2354
"DallasCounty",0.9931,0,0.0069
"DawsonCounty",0,0.8371,0.1629
"DeafSmithCounty",0,0.8229,0.1771
"DeltaCounty",0,0,1
"DentonCounty",0.8866,0.0444,0.0691
"DeWittCounty",0,0.5038,0.4962
"DickensCounty",0,0,1
"DimmitCounty",0,0.6052,0.3948
"DonleyCounty",0,0,1
"DuvalCounty",0,0.3296,0.6704
"EastlandCounty",0,0.3965,0.6035
"EctorCounty",0.9054,0,0.0946
"EdwardsCounty",0,0,1
"EllisCounty",0.5582,0.122,0.3198
"ElPasoCounty",0.9647,0.0136,0.0217
"ErathCounty",0,0.5368,0.4632
"FallsCounty",0,0.3264,0.6736
"FanninCounty",0,0.2947,0.7053
"FayetteCounty",0,0.3286,0.6714
"FisherCounty",0,0,1
"FloydCounty",0,0.4668,0.5332
"FoardCounty",0,0,1
"FortBendCounty",0.9348,0.0099,0.0554
"FranklinCounty",0,0.3087,0.6913
"FreestoneCounty",0,0.3352,0.6648
"FrioCounty",0,0.7782,0.2218
"GainesCounty",0,0.3696,0.6304
"GalvestonCounty",0.7874,0.1511,0.0615
"GarzaCounty",0,0.7767,0.2233
"GillespieCounty",0,0.4635,0.5365
"GlasscockCounty",0,0,1
"GoliadCounty",0,0,1
"GonzalesCounty",0,0.3472,0.6528
"GrayCounty",0,0.8061,0.1939
"GraysonCounty",0.5121,0.0564,0.4315
"GreggCounty",0.76,0.1064,0.1336
"GrimesCounty",0,0.311,0.689
"GuadalupeCounty",0.555,0.1834,0.2616
"HaleCounty",0,0.769,0.231
"HallCounty",0,0,1
"HamiltonCounty",0,0.3562,0.6438
"HansfordCounty",0,0.5967,0.4033
"HardemanCounty",0,0,1
"HardinCounty",0.3101,0.1744,0.5155
"HarrisCounty",0.9879,0,0.0121
"HarrisonCounty",0.0488,0.3906,0.5605
"HartleyCounty",0,0.4274,0.5726
"HaskellCounty",0,0.5238,0.4762
"HaysCounty",0.6271,0.0558,0.3171
"HemphillCounty",0,0.7305,0.2695
"HendersonCounty",0,0.3989,0.6011
"HidalgoCounty",0.9415,0.0071,0.0514
"HillCounty",0,0.2373,0.7627
"HockleyCounty",0,0.6015,0.3985
"HoodCounty",0,0.6715,0.3285
"HopkinsCounty",0,0.4037,0.5963
"HoustonCounty",0,0.2651,0.7349
"HowardCounty",0,0.7994,0.2006
"HudspethCounty",0,0,1
"HuntCounty",0,0.4337,0.5663
"HutchinsonCounty",0,0.7744,0.2256
"IrionCounty",0,0,1
"JackCounty",0,0.4678,0.5322
"JacksonCounty",0,0.3818,0.6182
"JasperCounty",0,0.2181,0.7819
"JeffDavisCounty",0,0,1
"JeffersonCounty",0.916,0,0.084
"JimHoggCounty",0,0.826,0.174
"JimWellsCounty",0,0.5991,0.4009
"JohnsonCounty",0.2938,0.3275,0.3787
"JonesCounty",0,0.1485,0.8515
"KarnesCounty",0,0.6161,0.3839
"KaufmanCounty",0.0245,0.4873,0.4882
"KendallCounty",0.0382,0.3802,0.5816
"KenedyCounty",0,0,1
"KentCounty",0,0,1
"KerrCounty",0,0.589,0.411
"KimbleCounty",0,0.557,0.443
"KingCounty",0,0,1
"KinneyCounty",0,0.7954,0.2046
"KlebergCounty",0,0.8113,0.1887
"KnoxCounty",0,0,1
"LamarCounty",0,0.5292,0.4708
"LambCounty",0,0.4231,0.5769
"LampasasCounty",0.0083,0.309,0.6827
"LaSalleCounty",0,0.5365,0.4635
"LavacaCounty",0,0.1868,0.8132
"LeeCounty",0,0.3028,0.6972
"LeonCounty",0,0,1
"LibertyCounty",0,0.3677,0.6323
"LimestoneCounty",0,0.4638,0.5362
"LipscombCounty",0,0,1
"LiveOakCounty",0,0,1
"LlanoCounty",0,0.5482,0.4518
"LovingCounty",0,0,1
"LubbockCounty",0.8513,0.0354,0.1134
"LynnCounty",0,0.4328,0.5672
"McCullochCounty",0,0.6467,0.3533
"McLennanCounty",0.7338,0.0327,0.2335
"McMullenCounty",0,0,1
"MadisonCounty",0,0.326,0.674
"MarionCounty",0,0,1
"MartinCounty",0,0,1
"MasonCounty",0,0,1
"MatagordaCounty",0,0.6358,0.3642
"MaverickCounty",0,0.9074,0.0926
"MedinaCounty",0,0.3844,0.6156
