County,Region,Msa
DonleyCounty,,NA
DuvalCounty,,NA
EastlandCounty,,NA
EctorCounty,,Odessa
EdwardsCounty,,NA
EllisCounty,,DallasFortWorthArlington
ElPasoCounty,,ElPaso
ErathCounty,,NA
FallsCounty,,NA
FanninCounty,,NA
FayetteCounty,,NA
FisherCounty,,NA
FloydCounty,,NA
FoardCounty,,NA
FortBendCounty,,Houston
FranklinCounty,,NA
FreestoneCounty,,NA
FrioCounty,,NA
GainesCounty,,NA
GalvestonCounty,,Houston
GarzaCounty,,NA
GillespieCounty,,NA
GlasscockCounty,,NA
GoliadCounty,,NA
GonzalesCounty,,NA
GrayCounty,,NA
GraysonCounty,,Sherman
GreggCounty,,Longview
GrimesCounty,,NA
GuadalupeCounty,,SanAntonio
HaleCounty,,NA
HallCounty,,NA
HamiltonCounty,,NA
HansfordCounty,,NA
HardemanCounty,,NA
HardinCounty,,PortArthur
HarrisCounty,,Houston
HarrisonCounty,,Longview
HartleyCounty,,NA
HaskellCounty,,NA
HaysCounty,,SanAntonio
HemphillCounty,,NA
HendersonCounty,,NA
HidalgoCounty,,McAllen
HillCounty,,NA
HockleyCounty,,NA
HoodCounty,,NA
HopkinsCounty,,NA
HoustonCounty,,NA
HowardCounty,,NA
HudspethCounty,,NA
HuntCounty,,NA
HutchinsonCounty,,NA
IrionCounty,,NA
JackCounty,,NA
JacksonCounty,,NA
JasperCounty,,NA
JeffDavisCounty,,NA
JeffersonCounty,,PortArthur
JimHoggCounty,,NA
JimWellsCounty,,NA
JohnsonCounty,,DallasFortWorthArlington
JonesCounty,,NA
KarnesCounty,,NA
KaufmanCounty,,DallasFortWorthArlington
KendallCounty,,SanAntonio
KenedyCounty,,NA
KentCounty,,NA
KerrCounty,,NA
KimbleCounty,,NA
KingCounty,,NA
KinneyCounty,,NA
KlebergCounty,,NA
KnoxCounty,,NA
LamarCounty,,NA
LambCounty,,NA
LampasasCounty,,Killeen
LaSalleCounty,,NA
LavacaCounty,,NA
LeeCounty,,NA
LeonCounty,,NA
LibertyCounty,,NA
LimestoneCounty,,NA
LipscombCounty,,NA
LiveOakCounty,,NA
LlanoCounty,,NA
LovingCounty,,NA
LubbockCounty,,Lubbock
LynnCounty,,NA
McCullochCounty,,NA
McLennanCounty,,Waco
McMullenCounty,,NA
MadisonCounty,,NA
MarionCounty,,NA
MartinCounty,,NA
MasonCounty,,NA
MatagordaCounty,,NA
MaverickCounty,,NA
MedinaCounty,,NA
MenardCounty,,NA
MidlandCounty,,Odessa
MilamCounty,,NA
MillsCounty,,NA
MitchellCounty,,NA
MontagueCounty,,NA
MontgomeryCounty,,Houston
MooreCounty,,NA
MorrisCounty,,NA
MotleyCounty,,NA
NacogdochesCounty,,NA
NavarroCounty,,NA
NewtonCounty,,NA
NolanCounty,,NA
NuecesCounty,,CorpusChristi
OchiltreeCounty,,NA
OldhamCounty,,NA
OrangeCounty,,PortArthur
PaloPintoCounty,,NA
PanolaCounty,,NA
ParkerCounty,,DallasFortWorthArlington
ParmerCounty,,NA
PecosCounty,,NA
PolkCounty,,NA
PotterCounty,,Amarillo
PresidioCounty,,NA
RainsCounty,,NA
RandallCounty,,Amarillo
ReaganCounty,,NA
RealCounty,,NA
RedRiverCounty,,NA
ReevesCounty,,NA
RefugioCounty,,NA
RobertsCounty,,NA
RobertsonCounty,,NA
RockwallCounty,,DallasFortWorthArlington
RunnelsCounty,,NA
RuskCounty,,Longview
SabineCounty,,NA
SanAugustineCounty,,NA
SanJacintoCounty,,NA
SanPatricioCounty,,CorpusChristi
SanSabaCounty,,NA
SchleicherCounty,,NA
ScurryCounty,,NA
ShackelfordCounty,,NA
ShelbyCounty,,NA
ShermanCounty,,NA
SmithCounty,,Tyler
SomervellCounty,,NA
StarrCounty,,NA
StephensCounty,,NA
SterlingCounty,,NA
StonewallCounty,,NA
SuttonCounty,,NA
SwisherCounty,,NA
TarrantCounty,,DallasFortWorthArlington
TaylorCounty,,Abilene
TerrellCounty,,NA
TerryCounty,,NA
ThrockmortonCounty,,NA
TitusCounty,,NA
TomGreenCounty,,SanAngelo
TravisCounty,,SanAntonio
TrinityCounty,,NA
TylerCounty,,NA
UpshurCounty,,Longview
UptonCounty,,NA
UvaldeCounty,,NA
ValVerdeCounty,,NA
VanZandtCounty,,NA
VictoriaCounty,,Victoria
WalkerCounty,,NA
WallerCounty,,Houston
WardCounty,,NA
WashingtonCounty,,NA
WebbCounty,,Laredo
WhartonCounty,,NA
WheelerCounty,,NA
WichitaCounty,,WichitaFalls
WilbargerCounty,,NA
WillacyCounty,,NA
WilliamsonCounty,,SanAntonio
WilsonCounty,,NA
WinklerCounty,,NA
WiseCounty,,NA
WoodCounty,,NA
YoakumCounty,,NA
YoungCounty,,NA
ZapataCounty,,NA
ZavalaCounty,,NA
AndersonCounty,,NA
AndrewsCounty,,NA
AngelinaCounty,,NA
AransasCounty,,NA
ArcherCounty,,WichitaFalls
ArmstrongCounty,,NA
AtascosaCounty,,NA
AustinCounty,,NA
BaileyCounty,,NA
BanderaCounty,,NA
BastropCounty,,NA
BaylorCounty,,NA
BeeCounty,,NA
BellCounty,,Killeen
BexarCounty,,SanAntonio
BlancoCounty,,NA
BordenCounty,,NA
BosqueCounty,,NA
BowieCounty,,TexarkanaTexarkana
BrazoriaCounty,,Houston
BrazosCounty,,CollegeStationBryan
BrewsterCounty,,NA
BriscoeCounty,,NA
BrooksCounty,,NA
BrownCounty,,NA
BurlesonCounty,,NA
BurnetCounty,,NA
CaldwellCounty,,SanAntonio
CalhounCounty,,NA
CallahanCounty,,NA
CameronCounty,,McAllen
CampCounty,,NA
CarsonCounty,,NA
CassCounty,,NA
CastroCounty,,NA
ChambersCounty,,Houston
CherokeeCounty,,Tyler
ChildressCounty,,NA
ClayCounty,,NA
CochranCounty,,NA
CokeCounty,,NA
ColemanCounty,,NA
CollinCounty,,DallasFortWorthArlington
CollingsworthCounty,,NA
ColoradoCounty,,NA
ComalCounty,,SanAntonio
ComancheCounty,,NA
ConchoCounty,,NA
CookeCounty,,NA
CoryellCounty,,Killeen
CottleCounty,,NA
CraneCounty,,NA
CrockettCounty,,NA
CrosbyCounty,,NA
CulbersonCounty,,NA
DallamCounty,,NA
DallasCounty,,DallasFortWorthArlington
DawsonCounty,,NA
DeafSmithCounty,,NA
DeltaCounty,,NA
DentonCounty,,DallasFortWorthArlington
DeWittCounty,,NA
DickensCounty,,NA
DimmitCounty,,NA
