"County","Density"
"AndersonCounty",37.5
"AndrewsCounty",1.6
"AngelinaCounty",49.4
"AransasCounty",26.8
"ArcherCounty",8.9
"ArmstrongCounty",2.1
"AtascosaCounty",22.6
"AustinCounty",29.4
"BaileyCounty",2.5
"BanderaCounty",25.9
"BastropCounty",54.5
"BaylorCounty",4.3
"BeeCounty",15.8
"BellCounty",50.6
"BexarCounty",108.2
"BlancoCounty",14.8
"BordenCounty",0.7
"BosqueCounty",15.1
"BowieCounty",39.4
"BrazoriaCounty",57.4
"BrazosCounty",45.7
"BrewsterCounty",0.5
"BriscoeCounty",1.8
"BrooksCounty",2.4
"BrownCounty",16.6
"BurlesonCounty",20.1
"BurnetCounty",24.3
"CaldwellCounty",30.5
"CalhounCounty",19.1
"CallahanCounty",10.9
"CameronCounty",47.7
"CampCounty",39.8
"CarsonCounty",6.4
"CassCounty",24.3
"CastroCounty",4.1
"ChambersCounty",27.9
"CherokeeCounty",30.8
"ChildressCounty",3.4
"ClayCounty",7.4
"CochranCounty",4
"CokeCounty",3.6
"ColemanCounty",3.6
"CollinCounty",71.7
"CollingsworthCounty",3.3
"ColoradoCounty",13.7
"ComalCounty",97.1
"ComancheCounty",10.7
"ConchoCounty",4.2
"CookeCounty",26.2
"CoryellCounty",14.3
"CottleCounty",1.7
"CraneCounty",0.6
"CrockettCounty",0.3
"CrosbyCounty",6.7
"CulbersonCounty",0.6
"DallamCounty",1.1
"DallasCounty",90.6
"DawsonCounty",2.5
"DeafSmithCounty",2.3
"DeltaCounty",20.4
"DentonCounty",71.6
"DeWittCounty",11
"DickensCounty",2.7
"DimmitCounty",3
"DonleyCounty",4
"DuvalCounty",4.4
"EastlandCounty",12.2
"EctorCounty",15.4
"EdwardsCounty",0.9
"EllisCounty",56.2
"ElPasoCounty",22.4
"ErathCounty",16.4
"FallsCounty",15.8
"FanninCounty",27
"FayetteCounty",17.4
"FisherCounty",4.4
"FloydCounty",3.5
"FoardCounty",1.9
"FortBendCounty",51
"FranklinCounty",26.1
"FreestoneCounty",15.1
"FrioCounty",3.4
"GainesCounty",7.4
"GalvestonCounty",75.7
"GarzaCounty",1.6
"GillespieCounty",12.7
"GlasscockCounty",1.4
"GoliadCounty",8.5
"GonzalesCounty",12.2
"GrayCounty",4.8
"GraysonCounty",58.5
"GreggCounty",87.7
"GrimesCounty",23.5
"GuadalupeCounty",52.7
"HaleCounty",8.5
"HallCounty",3.8
"HamiltonCounty",6.6
"HansfordCounty",2.5
"HardemanCounty",6
"HardinCounty",32.5
"HarrisCounty",101.9
"HarrisonCounty",42.2
