County,Region,Msa
DoddridgeCounty,,NA
FayetteCounty,,NA
GilmerCounty,,NA
GrantCounty,,NA
GreenbrierCounty,,NA
HampshireCounty,,NA
HancockCounty,,WeirtonSteubenville
HardyCounty,,NA
HarrisonCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,Hagerstown
KanawhaCounty,,Huntington
LewisCounty,,NA
LincolnCounty,,NA
LoganCounty,,NA
McDowellCounty,,NA
MarionCounty,,NA
MarshallCounty,,Wheeling
MasonCounty,,NA
MercerCounty,,NA
MineralCounty,,Cumberland
MingoCounty,,NA
MonongaliaCounty,,Morgantown
MonroeCounty,,NA
MorganCounty,,NA
NicholasCounty,,NA
OhioCounty,,Wheeling
PendletonCounty,,NA
PleasantsCounty,,NA
PocahontasCounty,,NA
PrestonCounty,,NA
PutnamCounty,,Huntington
RaleighCounty,,NA
RandolphCounty,,NA
RitchieCounty,,NA
RoaneCounty,,NA
SummersCounty,,NA
TaylorCounty,,NA
TuckerCounty,,NA
TylerCounty,,NA
UpshurCounty,,NA
WayneCounty,,Huntington
WebsterCounty,,NA
WetzelCounty,,NA
WirtCounty,,NA
WoodCounty,,Parkersburg
WyomingCounty,,NA
BarbourCounty,,NA
BerkeleyCounty,,Hagerstown
BooneCounty,,NA
BraxtonCounty,,NA
BrookeCounty,,WeirtonSteubenville
CabellCounty,,Huntington
CalhounCounty,,NA
ClayCounty,,NA
