"County","Metropolitan","Town","Rural"
"BarbourCounty",0,0.1628,0.8372
"BerkeleyCounty",0.6837,0,0.3163
"BooneCounty",0,0.1859,0.8141
"BraxtonCounty",0,0,1
"BrookeCounty",0.5787,0,0.4213
"CabellCounty",0.7844,0,0.2156
"CalhounCounty",0,0,1
"ClayCounty",0,0,1
"DoddridgeCounty",0,0,1
"FayetteCounty",0.3505,0.0708,0.5787
"GilmerCounty",0,0.3928,0.6072
"GrantCounty",0,0.2132,0.7868
"GreenbrierCounty",0,0.3026,0.6974
"HampshireCounty",0,0,1
"HancockCounty",0.5457,0.1512,0.3031
"HardyCounty",0,0.1948,0.8052
"HarrisonCounty",0,0.6295,0.3705
"JacksonCounty",0,0.2856,0.7144
"JeffersonCounty",0.0105,0.5058,0.4837
"KanawhaCounty",0.7257,0.0224,0.2519
"LewisCounty",0,0.3101,0.6899
"LincolnCounty",0,0,1
"LoganCounty",0,0.2925,0.7075
"McDowellCounty",0,0.1401,0.8599
"MarionCounty",0,0.5852,0.4148
"MarshallCounty",0.5101,0,0.4899
"MasonCounty",0,0.3499,0.6501
"MercerCounty",0,0.5927,0.4073
"MineralCounty",0.0797,0.2744,0.6459
"MingoCounty",0,0.1026,0.8974
"MonongaliaCounty",0.7314,0,0.2686
"MonroeCounty",0,0.1148,0.8852
"MorganCounty",0,0,1
"NicholasCounty",0,0.1284,0.8716
"OhioCounty",0.7691,0,0.2309
"PendletonCounty",0,0,1
"PleasantsCounty",0,0.4554,0.5446
"PocahontasCounty",0,0,1
"PrestonCounty",0,0.0955,0.9045
"PutnamCounty",0.6422,0,0.3578
"RaleighCounty",0.6072,2e-04,0.3926
"RandolphCounty",0,0.3762,0.6238
"RitchieCounty",0,0,1
"RoaneCounty",0,0.2001,0.7999
"SummersCounty",0,0.2787,0.7213
"TaylorCounty",0,0.403,0.597
"TuckerCounty",0,0,1
"TylerCounty",0,0.0895,0.9105
"UpshurCounty",0,0.36,0.64
"WayneCounty",0.3335,0.0146,0.6519
"WebsterCounty",0,0,1
"WetzelCounty",0,0.4614,0.5386
"WirtCounty",0,0,1
"WoodCounty",0.6859,0.0464,0.2677
"WyomingCounty",0,0.1112,0.8888
