"County","BarbourCounty","BerkeleyCounty","BooneCounty","BraxtonCounty","BrookeCounty","CabellCounty","CalhounCounty","ClayCounty","DoddridgeCounty","FayetteCounty","GilmerCounty","GrantCounty","GreenbrierCounty","HampshireCounty","HancockCounty","HardyCounty","HarrisonCounty","JacksonCounty","JeffersonCounty","KanawhaCounty","LewisCounty","LincolnCounty","LoganCounty","McDowellCounty","MarionCounty","MarshallCounty","MasonCounty","MercerCounty","MineralCounty","MingoCounty","MonongaliaCounty","MonroeCounty","MorganCounty","NicholasCounty","OhioCounty","PendletonCounty","PleasantsCounty","PocahontasCounty","PrestonCounty","PutnamCounty","RaleighCounty","RandolphCounty","RitchieCounty","RoaneCounty","SummersCounty","TaylorCounty","TuckerCounty","TylerCounty","UpshurCounty","WayneCounty","WebsterCounty","WetzelCounty","WirtCounty","WoodCounty","WyomingCounty"
"GilmerCounty",65.1,225.9,114.9,33.9,155.3,127.4,29.4,62.4,37.6,91.6,9.5,133.1,117.1,162.8,169.7,143.7,57.4,65.3,241.4,87.1,29.6,118.6,144.4,166.6,72.6,115.5,89.1,152.7,145.8,155.6,85.1,144.8,205.4,65.7,160.5,128.1,67.9,130.6,97.1,107.4,112.3,74.5,49.3,46.1,139.4,67.7,93.1,68.6,47.4,152.3,99.6,100.8,45.8,72.6,143.8
"GrantCounty",89.4,106.9,232.3,139.1,162.1,244.8,162.5,179.8,115.6,196.8,133.1,11.3,154.1,53.1,176.5,30.5,95.8,203.2,113.2,204.4,106,236,261.8,246.9,97.2,157.5,217.6,206,35.1,273,91.9,161.4,102,170.9,167.3,38.3,146.9,95.7,62.2,224.8,198.5,73,141.5,179.2,186.4,74.2,41.8,147.6,95.5,269.6,129.8,139.3,187.5,165.1,227.9
"GreenbrierCounty",154.3,227.4,113.4,85.4,244.5,149.1,124.7,89.6,151.5,55.3,117.1,154.1,16.5,192.2,258.9,164.7,146.5,145.9,228,105.1,116.9,140.3,118.6,104.1,161.7,223.3,158.9,72,185.1,133.5,174.3,33.9,236.3,56.8,249.7,120.3,173.3,68.2,186.3,129.1,51.9,110.2,156.7,139.2,39.8,156.9,146,182.5,136.5,173.9,82.6,203.9,153,181.2,81.3
"HampshireCounty",112.8,58.8,262,168.8,165.7,274.5,194.5,209.4,137.7,226.5,162.8,53.1,192.2,13.1,180.1,42.3,117.9,225.4,64,234.1,135.7,265.7,291.5,285,128.6,180.6,239.7,244.1,34.5,302.7,115.1,199.5,42,200.6,170.9,74.8,169.1,133.8,78.4,254.5,247.2,111.1,163.7,208.9,224.5,96.4,72.5,169.8,126.9,299.3,167.8,169.9,209.7,187.3,266
"HancockCounty",129.5,214.8,237.1,175.7,17.1,230.4,153.6,216.3,144.6,233.4,169.7,176.5,258.9,180.1,4.8,200.2,124.8,173,230.3,209.2,142.6,240.8,266.5,308.4,105.3,49.4,187.4,294.5,159.4,277.8,84.7,286.6,194.3,207.5,37.9,210.7,104.7,216.3,114.5,209.7,254.1,160.2,122.8,185.8,281.2,113.1,163.5,95.7,148.1,255.2,194.7,86.2,157.3,134.9,285.6
"HardyCounty",100,82.4,242.9,149.7,185.8,255.4,173.1,190.4,141.9,207.4,143.7,30.5,164.7,42.3,200.2,12.4,122.1,208.9,88.7,215,116.6,246.6,272.4,257.5,123.5,183.8,243.9,216.6,46,283.6,118.2,172,89.4,181.5,191,47.3,173.2,106.3,88.5,235.4,209.1,83.6,167.8,189.8,197,100.5,68.1,173.9,106.1,280.2,140.4,165.6,188.5,191.4,238.5
"HarrisonCounty",31.1,181,156.6,63.3,110.4,169,79.7,104,22.9,121,57.4,95.8,146.5,117.9,124.8,122.1,10.5,110.6,196.5,128.6,30.2,160.2,186,196,27.7,89.3,124.9,182.1,100.9,197.2,40.2,174.3,160.6,95.1,115.7,115.8,54.3,118.3,52.2,149,141.8,62.3,48.8,103.4,168.9,22.9,80.8,55,35.7,193.9,82.3,64,94.9,72.4,173.2
"JacksonCounty",138.5,288.5,70.1,83.9,162.7,68,50,81.4,88.9,96.1,65.3,203.2,145.9,225.4,173,208.9,110.6,11.2,304,42.2,94.9,73.8,99.6,152.5,135.2,117,27.9,138.6,208.4,110.8,147.7,170,268,105.5,146.3,193.3,64.8,179.7,159.7,42.7,98.2,139.7,75.3,34.7,128.3,130.4,158.3,90.3,112.6,92.8,139.4,101.4,54.4,41.3,129.7
"JeffersonCounty",173.4,16.4,333.7,247.3,215.9,353,273.1,288,216.3,275.5,241.4,113.2,228,64,230.3,88.7,196.5,304,7.5,312.6,214.2,344.2,338.9,324.5,178.7,230.8,318.3,283.5,95,353.8,165.2,235.3,46.6,277,221.1,134.8,247.6,189,153.3,333,272.1,166.4,242.2,287.4,260.1,157,133.1,248.3,187.5,377.9,223.1,220,288.3,265.8,301.6
"KanawhaCounty",136.4,297.2,29.3,67.5,198.9,45.4,71.8,47.9,125,55.2,87.1,204.4,105.1,234.1,209.2,215,128.6,42.2,312.6,15.5,99,36.6,62.3,111.7,143.9,153.2,55.2,97.8,217.1,73.6,156.4,129.2,276.7,74,182.5,199.4,101,144.5,168.4,25.4,57.4,145.8,111.5,44.9,87.5,139,164.4,126.5,118.7,70.2,107.9,137.6,72.2,77.5,88.9
