"County","FIPS","StateFIPS","CountyFIPS"
"BarbourCounty",54001,54,1
"BerkeleyCounty",54003,54,3
"BooneCounty",54005,54,5
"BraxtonCounty",54007,54,7
"BrookeCounty",54009,54,9
"CabellCounty",54011,54,11
"CalhounCounty",54013,54,13
"ClayCounty",54015,54,15
"DoddridgeCounty",54017,54,17
"FayetteCounty",54019,54,19
"GilmerCounty",54021,54,21
"GrantCounty",54023,54,23
"GreenbrierCounty",54025,54,25
"HampshireCounty",54027,54,27
"HancockCounty",54029,54,29
"HardyCounty",54031,54,31
"HarrisonCounty",54033,54,33
"JacksonCounty",54035,54,35
"JeffersonCounty",54037,54,37
"KanawhaCounty",54039,54,39
"LewisCounty",54041,54,41
"LincolnCounty",54043,54,43
"LoganCounty",54045,54,45
"McDowellCounty",54047,54,47
"MarionCounty",54049,54,49
"MarshallCounty",54051,54,51
"MasonCounty",54053,54,53
"MercerCounty",54055,54,55
"MineralCounty",54057,54,57
"MingoCounty",54059,54,59
"MonongaliaCounty",54061,54,61
"MonroeCounty",54063,54,63
"MorganCounty",54065,54,65
"NicholasCounty",54067,54,67
"OhioCounty",54069,54,69
"PendletonCounty",54071,54,71
"PleasantsCounty",54073,54,73
"PocahontasCounty",54075,54,75
"PrestonCounty",54077,54,77
"PutnamCounty",54079,54,79
"RaleighCounty",54081,54,81
"RandolphCounty",54083,54,83
"RitchieCounty",54085,54,85
"RoaneCounty",54087,54,87
"SummersCounty",54089,54,89
"TaylorCounty",54091,54,91
"TuckerCounty",54093,54,93
"TylerCounty",54095,54,95
"UpshurCounty",54097,54,97
"WayneCounty",54099,54,99
"WebsterCounty",54101,54,101
"WetzelCounty",54103,54,103
"WirtCounty",54105,54,105
"WoodCounty",54107,54,107
"WyomingCounty",54109,54,109
