"SCTG","PctEmpty","N"
1,0.251445419584759,11
2,0.409262159847782,8
3,0.393373430401785,12
4,0.40062253072999,7
5,0.199516035193507,9
6,0.177208547846433,10
7,0.115354187848207,13
8,0.209453973305391,3
9,0.220797674677544,1
10,0.414613341906919,14
11,0.406653723247503,8
12,0.466382879658522,61
13,0.407727130216136,15
14,0.330631811974,2
15,0.483361539383795,33
16,0.411406611770122,1
17,0.405256894636644,3
18,0.30780628855648,6
19,0.39768176620626,11
20,0.319153846071907,5
21,0.163003296356002,2
22,0.381398011930285,3
23,0.329297413853261,4
24,0.259173648542417,5
25,0.42238321925076,81
26,0.234061724299099,43
27,0.207833893632727,2
28,0.216947168869503,1
29,0.142965266998763,6
30,0.150707615637309,1
31,0.418431151176,64
32,0.211102557269401,13
33,0.0959659966239712,42
34,0.322917342413211,50
35,0.159588441529491,4
36,0.406554982667688,24
37,0.179037995207116,7
38,0.253528170079209,1
39,0.198651658784435,5
40,0.203900705869054,146
41,0.266510031318518,42
43,0.105357192966401,15
99,0.377666020609811,7
